elemento1;elemento2;qtdAlg;min;max;med
7350;8473;8;1.0;1.0;1.0
5477;9076;8;0.9666666686534882;0.991666667163372;0.9838516515261237
6663;6665;8;0.9545454382896423;0.9886363595724107;0.9779795156206919
7606;8538;8;1.0;1.0;1.0
3678;4266;8;1.0;1.0;1.0
8668;8843;8;1.0;1.0;1.0
4179;4732;7;0.9000000059604645;0.9611111134290696;0.9329230927182856
3678;6690;8;1.0;1.0;1.0
8919;9083;8;1.0;1.0;1.0
2781;9669;8;1.0;1.0;1.0
6948;7365;8;0.9523809552192688;0.9783296138048172;0.9671368596508452
2577;2581;8;0.9666666686534882;0.991666667163372;0.9838516515261237
7918;9172;8;1.0;1.0;1.0
4975;5889;8;0.9166666567325592;0.9791666641831399;0.9596291215964347
10230;7653;6;0.8462963104248047;0.9112847298383714;0.8879924214620522
8778;9060;8;1.0;1.0;1.0
10383;7852;8;1.0;1.0;1.0
10383;8029;8;1.0;1.0;1.0
6382;7920;7;0.9375;0.9687500000000001;0.9486499309868874
7008;8831;8;1.0;1.0;1.0
7134;9695;8;1.0;1.0;1.0
7344;8291;6;0.9161184132099152;0.9580592066049577;0.9335768594138097
6922;9161;7;0.9000000059604645;0.9522727280855179;0.9209250913581987
10938;11125;8;1.0;1.0;1.0
7980;9790;8;0.93202905356884;0.9832589384168386;0.9687705140815067
11530;5099;8;1.0;1.0;1.0
3931;5754;8;1.0;1.0;1.0
7920;8494;7;0.9152778089046478;0.9618055652827026;0.9388702115361509
7363;8118;8;0.9545454382896423;0.9886363595724107;0.9779795156206919
10064;2819;8;1.0;1.0;1.0
8043;8234;8;1.0;1.0;1.0
2619;6174;8;0.9375;0.9843750000000001;0.9697218448067634
6925;6926;8;0.972222238779068;1.0;0.9907482992149079
5664;8717;8;1.0;1.0;1.0
4508;9662;8;1.0;1.0;1.0
6719;8453;8;1.0;1.0;1.0
7061;7469;8;1.0;1.0;1.0
7852;8029;8;1.0;1.0;1.0
6771;8507;8;1.0;1.0;1.0
7540;8823;5;0.8745819330215454;0.9372909665107727;0.9031190873920053
4586;7633;8;0.936218798160553;0.9772727191448212;0.9598439227596177
5731;8779;8;1.0;1.0;1.0
3383;6969;8;0.894173875451088;0.9601190518587829;0.930604771392618
5238;8297;8;0.9258741272820367;0.9711538404226303;0.9493483650939009
4441;7515;8;1.0;1.0;1.0
8311;8312;8;1.0;1.0;1.0
102361;103634;8;0.9516128897666931;0.9758064448833467;0.9591660709232811
10230;10383;8;0.9333333373069763;0.9781250059604646;0.9601635589007883
5835;9278;8;1.0;1.0;1.0
3529;4114;8;0.9761904776096344;0.9940476194024086;0.9884654653758026
100198;106489;8;1.0;1.0;1.0
8609;9130;8;1.0;1.0;1.0
2427;8640;8;0.9503837674856186;0.9777960535138847;0.9662956088333692
4851;7708;8;1.0;1.0;1.0
2957;3106;8;1.0;1.0;1.0
6358;9694;8;0.951124981045723;0.9825721140950918;0.9711598324947114
3475;8592;8;0.9444444477558136;0.9809027835726738;0.9661473055563615
9421;9489;8;0.949999988079071;0.9874999970197679;0.9757774700703109
6944;9868;8;0.9642857015132904;0.9910714253783227;0.9826981908448292
6272;7460;8;1.0;1.0;1.0
5912;8949;8;1.0;1.0;1.0
4297;8636;8;1.0;1.0;1.0
3159;9969;8;0.9895833432674408;0.9973958358168602;0.9949536456137104
7604;9790;8;0.8715977817773819;0.946180557832122;0.9183253545532283
8368;9076;8;0.9666666686534882;0.991666667163372;0.9838516515261237
3356;6955;8;1.0;1.0;1.0
5025;9863;5;0.8791666626930237;0.9383928552269936;0.9095833300896313
8224;8754;8;1.0;1.0;1.0
2813;3155;8;0.9577922374010086;0.9880952388048172;0.9760083576252657
10107;7341;8;1.0;1.0;1.0
7653;7852;6;0.8796296318372091;0.9444444477558136;0.9233845033579402
7653;8029;6;0.8796296318372091;0.9444444477558136;0.9233845033579402
6919;8060;8;0.9646464586257935;1.0;0.9825769545901836
3670;4441;8;0.9347826242446899;0.9680706560611726;0.9459397556161248
4266;6690;8;1.0;1.0;1.0
5577;8990;8;0.96875;0.9921875;0.9848609224033816
5324;7847;8;1.0;1.0;1.0
10383;6858;8;0.9259259303410848;0.9666666686534882;0.9454235979490846
4441;8151;6;0.9029720276594162;0.9514860138297082;0.9231666579734589
3192;7923;8;0.949999988079071;0.9874999970197679;0.9757774700703109
7859;9798;8;0.9615384638309479;0.990384615957737;0.9813672902224504
10000;8664;6;0.9131944477558136;0.9565972238779069;0.9312614648694385
6858;7852;8;0.9259259303410848;0.9666666686534882;0.9454235979490846
6858;8029;8;0.9259259303410848;0.9666666686534882;0.9454235979490846
4179;4911;7;0.9000000059604645;0.9611111134290696;0.9329230927182856
6547;6741;8;0.9000000059604645;0.9660714268684387;0.9387174327340392
9348;9485;8;1.0;1.0;1.0
6802;7794;7;0.888293668627739;0.9476190488785508;0.91716824811443
10061;3517;8;0.9722222089767456;0.9930555522441865;0.9865430357195617
5394;5418;8;1.0;1.0;1.0
10652;9640;8;1.0;1.0;1.0
10449;6162;8;1.0;1.0;1.0
6102;9115;8;1.0;1.0;1.0
3539;4190;8;0.96875;0.9921875;0.9848609224033816
4481;6716;8;1.0;1.0;1.0
100170;100358;8;0.9333333373069763;0.9750000014901162;0.9557216209966851
5426;7869;8;1.0;1.0;1.0
7525;8995;5;0.8812499940395355;0.9406249970197679;0.9082699229319889
6802;9063;8;1.0;1.0;1.0
2440;5443;8;1.0;1.0;1.0
6802;8890;8;0.9579365253448486;0.9857142865657806;0.9740171057232858
3792;8891;6;0.8938405811786652;0.9411458354443312;0.9120911358842166
7161;8131;8;0.9629629552364349;1.0;0.9845338228725544
4178;7199;8;1.0;1.0;1.0
2252;4733;8;1.0;1.0;1.0
6316;7311;8;1.0;1.0;1.0
4292;8795;8;1.0;1.0;1.0
4395;8725;8;0.9444444477558136;0.9777777791023254;0.9611044038213106
10230;7852;8;0.9333333373069763;0.9781250059604646;0.9601635589007883
10230;8029;8;0.9333333373069763;0.9781250059604646;0.9601635589007883
10383;7653;6;0.8796296318372091;0.9444444477558136;0.9233845033579402
3722;8453;8;1.0;1.0;1.0
2571;9019;8;1.0;1.0;1.0
7123;9038;8;0.9210526347160339;0.9802631586790086;0.9617539107493588
9614;9678;8;1.0;1.0;1.0
3670;7515;8;0.9347826242446899;0.9680706560611726;0.9459397556161248
4306;8636;8;1.0;1.0;1.0
2807;7064;8;0.9871794879436493;1.0;0.9983974359929562
9333;9450;8;0.9895833432674408;1.0;0.9986979179084301
