elemento1;elemento2;qtdAlg;min;max;med;duplicata
5542;6695;7;0.9259259435865614;0.9791666716337204;0.9551378931436273;1.0
6756;8537;7;0.9441269569926791;0.9821428507566452;0.9649436646446411;1.0
6413;7975;7;0.9555555582046509;1.0;0.9801846112570036;1.0
4179;4732;6;0.922222226858139;0.9611111134290696;0.9384102738445891;1.0
7769;8151;3;0.8552075987276825;0.9029720276594162;0.8847033626575401;1.0
3395;5122;5;0.8573499010956805;1.0;0.9509640285016403;1.0
1838;7934;4;0.880952388048172;0.940476194024086;0.9148119443460652;1.0
10230;7653;6;0.8462963104248047;0.9112847298383714;0.8879924214620522;1.0
7898;8422;1;0.8288474989973981;0.8288474989973981;0.8288474989973981;1.0
6382;7920;7;0.9375;0.9687500000000001;0.9486499309868874;1.0
7344;8291;6;0.9161184132099152;0.9580592066049577;0.9335768594138097;1.0
109608;109714;2;0.8110367940819783;0.8641826957464218;0.8376097449142;0.0
103832;109732;1;0.8608695631441864;0.8608695631441864;0.8608695631441864;0.0
8364;8526;7;0.9642857015132904;0.9910714253783227;0.9827775251431412;1.0
3134;6210;5;0.8937198130980781;1.0;0.9634661857524645;1.0
2366;2367;3;0.8974073926607767;0.9091787338256836;0.9049731526109906;1.0
100810;105094;2;0.8633540402288024;0.8690476218859354;0.8662008310573689;0.0
1884;9542;5;0.9210069477558136;0.9605034738779069;0.9407361303694582;1.0
5204;7514;5;0.876811595066734;1.0;0.9576539858041897;1.0
6922;9161;6;0.9045454561710358;0.9522727280855179;0.9244126055911543;1.0
7920;8494;7;0.9152778089046478;0.9618055652827026;0.9388702115361509;1.0
5574;7562;1;0.8217391345811929;0.8217391345811929;0.8217391345811929;1.0
4563;5122;1;0.8110765970271567;0.8110765970271567;0.8110765970271567;1.0
1818;7075;4;0.875;0.9186197910457851;0.8891960100162829;1.0
7515;7769;5;0.9227053186167842;1.0;0.9734299532745195;1.0
3757;6377;5;0.8761603931585947;0.9251738693565131;0.901550933583707;1.0
101462;104145;1;0.6860681875892308;0.6860681875892308;0.6860681875892308;0.0
3395;4563;1;0.6738095166890518;0.6738095166890518;0.6738095166890518;1.0
6761;7869;3;0.8499999940395355;0.8999999947845936;0.8702898489284343;1.0
4490;7121;2;0.884057967559151;0.8888888855775198;0.8864734265683354;1.0
101462;109714;1;0.7845298310984736;0.7845298310984736;0.7845298310984736;0.0
