idDBLP,idACM
144,375678
1531,375694
311,375669
2091,375672
1745,375687
2317,375743
2137,375789
1695,375714
55,375780
1959,375767
813,375709
944,375786
1209,375754
1700,375729
1921,375674
2465,375736
309,375682
1045,375728
291,375664
1909,375742
206,375749
1463,375677
656,375710
2213,375751
950,375752
2514,375745
1041,375773
582,375739
871,375705
2285,375762
2049,375716
2273,375814
57,375720
126,375755
90,375689
2365,375703
49,375792
463,375706
1898,375810
1587,375693
424,375779
550,375670
391,375744
17,375774
355,375679
1009,375765
429,375764
1343,375798
1338,375712
1856,375684
1893,375692
1243,375748
1454,375685
1065,375718
2254,375686
2083,375757
1089,375769
98,375688
691,375722
2051,375733
344,375668
2099,375737
1870,375681
1282,375808
1880,375680
768,375731
1975,375666
327,375671
584,375673
74,375690
732,375727
1669,375724
2488,375665
2528,375759
1469,375730
1200,375783
1334,375777
748,375761
1480,375812
278,375796
1001,375723
382,375771
1176,375776
821,335378
1110,335379
2260,335383
795,335384
1285,335390
558,335414
1155,335419
2590,335420
1708,335421
1444,335423
696,335426
605,335428
443,335429
596,335436
1318,335437
583,335439
2269,335448
1410,335450
1568,335451
1589,335452
602,335457
590,335461
153,335465
1842,335469
1291,335495
46,336560
1388,336568
2395,336570
1949,336577
510,336579
922,336589
1132,335372
1570,335375
711,335376
1742,335381
1603,335388
793,335391
1661,335393
1939,335395
1650,335405
1461,335409
1014,335412
1778,335415
1252,335413
610,335416
1162,335418
2025,335422
1838,335424
2448,335427
2540,335430
2390,335432
527,335433
2274,335434
2236,335438
2588,335449
2430,335454
847,335462
2600,335463
1920,335466
585,335468
1384,335471
1223,335474
2114,335479
1989,335482
2483,335492
268,335494
1913,335496
649,335497
937,336562
751,336564
1777,336572
180,336573
45,336575
2561,336578
1872,336583
494,336587
1625,336590
1599,304185
1703,304188
2246,304190
2382,304192
233,304193
633,304197
336,304199
544,304201
1503,304203
102,304209
1078,304213
1892,304214
800,304215
1744,304218
6,304219
2345,304221
1792,304224
2304,304225
1181,304228
66,304230
1047,304232
1825,304235
1714,304239
729,304241
1060,304242
1238,304569
1226,304570
1668,304571
2018,304572
31,304573
1125,304574
2449,304575
1471,304587
270,304183
2370,304184
1897,304186
485,304187
167,304189
1249,304191
380,304194
1216,304195
1875,304196
2224,304198
1671,304200
386,304202
492,304204
231,304206
896,304207
1819,304208
818,304210
1127,304211
2451,304212
863,304216
528,304217
2489,304220
933,304222
2066,304223
755,304227
932,304229
591,304231
128,304233
618,304234
581,304236
919,304240
1278,304243
1059,304244
1696,304248
615,304250
474,304568
1917,304576
2513,304577
1185,304578
324,304579
1029,304580
2023,304581
974,304582
1147,304583
1699,304584
1672,304585
2124,304586
441,304589
464,304590
2052,276307
2279,276311
744,276312
2444,276313
1766,276314
433,276315
1582,276317
216,276320
2325,276327
1031,276328
657,276331
746,276332
1054,276333
1380,276336
1413,276337
2358,276340
143,276341
1349,276342
438,276345
521,276348
790,276350
497,276353
363,276355
2487,276358
1741,276360
279,276366
1024,276367
349,276368
1679,276369
742,276372
25,276374
555,276376
620,276377
110,276381
588,276383
913,276384
759,276391
909,276392
1680,276382
906,276306
2504,276308
506,276309
2233,276310
1944,276316
1948,276318
244,276319
1372,276321
250,276322
2220,276323
960,276324
2368,276325
1072,276326
1221,276329
1364,276330
2221,276334
2295,276335
2116,276338
2388,276339
535,276343
1836,276344
2466,276346
192,276347
1133,276349
979,276351
134,276352
1159,276354
828,276356
651,276357
82,276359
205,276362
1088,276364
