abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
DS;1 - acm diverg;10;1;0;0;1.0;0.14046822742474915;0.24633431085043989;42;0;0;42;0;47652904;257
DS;1 - acm diverg;10;2;0;0;0.9902912621359223;0.3411371237458194;0.5074626865671642;103;0;0;102;1;47652903;197
DS;1 - acm diverg;10;3;0;0;1.0;0.13043478260869565;0.23076923076923078;39;0;0;39;0;47652904;260
DS;1 - acm diverg;10;4;0;0;0.9811320754716981;0.17391304347826086;0.2954545454545454;53;0;0;52;1;47652903;247
DS;1 - acm diverg;10;5;0;0;0.9782608695652174;0.1505016722408027;0.2608695652173913;46;0;0;45;1;47652903;254
DS;1 - acm diverg;15;1;0;0;0.9782608695652174;0.1505016722408027;0.2608695652173913;46;0;0;45;1;47652903;254
DS;1 - acm diverg;15;2;0;0;1.0;0.19063545150501673;0.3202247191011236;57;0;0;57;0;47652904;242
DS;1 - acm diverg;15;3;0;0;1.0;0.13377926421404682;0.2359882005899705;40;0;0;40;0;47652904;259
DS;1 - acm diverg;15;4;0;0;1.0;0.19063545150501673;0.3202247191011236;57;0;0;57;0;47652904;242
DS;1 - acm diverg;15;5;0;0;0.9763779527559056;0.41471571906354515;0.5821596244131455;127;0;0;124;3;47652901;175
DS;1 - acm diverg;20;1;0;0;1.0;0.13043478260869565;0.23076923076923078;39;0;0;39;0;47652904;260
DS;1 - acm diverg;20;2;0;0;1.0;0.14046822742474915;0.24633431085043989;42;0;0;42;0;47652904;257
DS;1 - acm diverg;20;3;0;0;1.0;0.13377926421404682;0.2359882005899705;40;0;0;40;0;47652904;259
DS;1 - acm diverg;20;4;0;0;1.0;0.13043478260869565;0.23076923076923078;39;0;0;39;0;47652904;260
DS;1 - acm diverg;20;5;0;0;1.0;0.14046822742474915;0.24633431085043989;42;0;0;42;0;47652904;257
