abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
DS;1 - acm diverg;10;1;0;0;1.0;0.14046822742474915;0.2463343108504399;42;0;0;42;0;47652904;257
DS;1 - acm diverg;10;2;0;0;0.9902912621359224;0.3411371237458194;0.5074626865671642;103;0;0;102;1;47652903;197
DS;1 - acm diverg;10;3;0;0;1.0;0.13043478260869565;0.2307692307692308;39;0;0;39;0;47652904;260
DS;1 - acm diverg;10;4;0;0;0.981132075471698;0.17391304347826084;0.2954545454545454;53;0;0;52;1;47652903;247
DS;1 - acm diverg;10;5;0;0;0.9782608695652174;0.1505016722408027;0.2608695652173913;46;0;0;45;1;47652903;254
DS;1 - acm diverg;15;1;0;0;0.9782608695652174;0.1505016722408027;0.2608695652173913;46;0;0;45;1;47652903;254
DS;1 - acm diverg;15;2;0;0;1.0;0.1906354515050168;0.3202247191011236;57;0;0;57;0;47652904;242
DS;1 - acm diverg;15;3;0;0;1.0;0.13377926421404682;0.2359882005899705;40;0;0;40;0;47652904;259
DS;1 - acm diverg;15;4;0;0;1.0;0.1906354515050168;0.3202247191011236;57;0;0;57;0;47652904;242
DS;1 - acm diverg;15;5;0;0;0.9763779527559056;0.4147157190635452;0.5821596244131455;127;0;0;124;3;47652901;175
DS;1 - acm diverg;20;1;0;0;1.0;0.13043478260869565;0.2307692307692308;39;0;0;39;0;47652904;260
DS;1 - acm diverg;20;2;0;0;1.0;0.14046822742474915;0.2463343108504399;42;0;0;42;0;47652904;257
DS;1 - acm diverg;20;3;0;0;1.0;0.13377926421404682;0.2359882005899705;40;0;0;40;0;47652904;259
DS;1 - acm diverg;20;4;0;0;1.0;0.13043478260869565;0.2307692307692308;39;0;0;39;0;47652904;260
DS;1 - acm diverg;20;5;0;0;1.0;0.14046822742474915;0.2463343108504399;42;0;0;42;0;47652904;257
DS;2 - AA[pet-chr];10;1;1;74;1.0;0.3010033444816054;0.4627249357326478;42;48;26;90;0;47652904;209
DS;2 - AA[pet-chr];10;2;1;190;0.994011976047904;0.5551839464882943;0.7124463519313304;103;64;126;166;1;47652903;133
DS;2 - AA[pet-chr];10;3;1;201;1.0;0.4214046822742475;0.5929411764705883;39;87;114;126;0;47652904;173
DS;2 - AA[pet-chr];10;4;1;318;0.994186046511628;0.5719063545150501;0.7261146496815286;53;119;199;171;1;47652903;128
DS;2 - AA[pet-chr];10;5;1;204;0.992063492063492;0.4180602006688963;0.5882352941176471;46;80;124;125;1;47652903;174
DS;2 - AA[pet-chr];15;1;1;198;0.9924812030075189;0.4414715719063545;0.6111111111111112;46;87;111;132;1;47652903;167
DS;2 - AA[pet-chr];15;2;1;212;1.0;0.4214046822742475;0.5929411764705883;57;69;143;126;0;47652904;173
DS;2 - AA[pet-chr];15;3;1;203;1.0;0.4214046822742475;0.5929411764705883;40;86;117;126;0;47652904;173
DS;2 - AA[pet-chr];15;4;1;194;1.0;0.4682274247491639;0.6378132118451024;57;83;111;140;0;47652904;159
DS;2 - AA[pet-chr];15;5;1;315;0.986842105263158;0.7525083612040134;0.8538899430740039;127;101;214;225;3;47652901;74
DS;2 - AA[pet-chr];20;1;1;217;1.0;0.3879598662207358;0.5590361445783133;39;77;140;116;0;47652904;183
DS;2 - AA[pet-chr];20;2;1;205;1.0;0.431438127090301;0.6028037383177571;42;87;118;129;0;47652904;170
DS;2 - AA[pet-chr];20;3;1;301;1.0;0.5117056856187291;0.6769911504424779;40;113;188;153;0;47652904;146
DS;2 - AA[pet-chr];20;4;1;211;1.0;0.42474916387959866;0.5962441314553991;39;88;123;127;0;47652904;172
DS;2 - AA[pet-chr];20;5;1;205;1.0;0.431438127090301;0.6028037383177571;42;87;118;129;0;47652904;170
DS;3 - clasf;10;1;2;74;0.9682539682539683;0.8160535117056856;0.8856624319419237;204;48;26;244;8;47652896;55
DS;3 - clasf;10;2;2;190;0.9793388429752066;0.7926421404682275;0.8761552680221812;178;64;126;237;5;47652899;62
DS;3 - clasf;10;3;2;201;0.9919678714859438;0.8260869565217391;0.9014598540145986;162;87;114;247;2;47652902;52
DS;3 - clasf;10;4;2;318;0.9849056603773585;0.8729096989966555;0.925531914893617;146;119;199;261;4;47652900;38
DS;3 - clasf;10;5;2;204;0.9810606060606061;0.8662207357859532;0.9200710479573713;184;80;124;259;5;47652899;40
DS;3 - clasf;15;1;2;198;0.9773584905660377;0.8662207357859532;0.9184397163120567;178;87;111;259;6;47652898;40
DS;3 - clasf;15;2;2;212;0.9772727272727273;0.862876254180602;0.91651865008881;195;69;143;258;6;47652898;41
DS;3 - clasf;15;3;2;203;0.9844357976653697;0.8461538461538461;0.9100719424460432;171;86;117;253;4;47652900;46
DS;3 - clasf;15;4;2;194;0.9734848484848485;0.8595317725752508;0.9129662522202486;181;83;111;257;7;47652897;42
DS;3 - clasf;15;5;2;315;0.9814814814814815;0.8862876254180602;0.9314586994727593;169;101;214;265;5;47652899;34
DS;3 - clasf;20;1;2;217;0.9811320754716981;0.8695652173913043;0.9219858156028368;188;77;140;260;5;47652899;39
DS;3 - clasf;20;2;2;205;0.9739776951672863;0.8762541806020067;0.9225352112676056;182;87;118;262;7;47652897;37
DS;3 - clasf;20;3;2;301;0.9884615384615385;0.8595317725752508;0.9194991055456171;147;113;188;257;3;47652901;42
DS;3 - clasf;20;4;2;211;0.9739776951672863;0.8762541806020067;0.9225352112676056;181;88;123;262;7;47652897;37
DS;3 - clasf;20;5;2;205;0.9739776951672863;0.8762541806020067;0.9225352112676056;182;87;118;262;7;47652897;37
