permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;vp;fp;fn
0;0;0;0.9230769230769231;0.2809364548494983;0.43076923076923074;91;0;0;84;7;215
0;0;33;0.9468085106382979;0.2976588628762542;0.4529262086513996;64;30;3;89;5;210
0;0;74;0.9629629629629629;0.43478260869565216;0.5990783410138248;64;71;3;130;5;169
0;0;76;0.9632352941176471;0.43812709030100333;0.6022988505747126;64;72;4;131;5;168
0;0;79;0.9632352941176471;0.43812709030100333;0.6022988505747126;61;75;4;131;5;168
0;0;0;0.940677966101695;0.3712374581939799;0.5323741007194244;118;0;0;111;7;188
0;0;71;0.9632352941176471;0.43812709030100333;0.6022988505747126;69;67;4;131;5;168
0;0;79;0.9632352941176471;0.43812709030100333;0.6022988505747126;61;75;4;131;5;168
0;0;79;0.9632352941176471;0.43812709030100333;0.6022988505747126;61;75;4;131;5;168
0;0;79;1.0;0.45484949832775917;0.6252873563218391;61;75;4;136;0;163
0;0;0;1.0;0.30434782608695654;0.4666666666666667;91;0;0;91;0;208
0;0;0;1.0;0.30434782608695654;0.4666666666666667;91;0;0;91;0;208
0;0;33;1.0;0.32441471571906355;0.4898989898989899;64;33;0;97;0;202
0;0;72;1.0;0.45484949832775917;0.6252873563218391;64;72;0;136;0;163
0;0;74;1.0;0.45819397993311034;0.6284403669724771;64;73;1;137;0;162
0;0;77;1.0;0.45819397993311034;0.6284403669724771;61;76;1;137;0;162
0;0;77;0.9416058394160584;0.44329896907216493;0.602803738317757;61;76;1;129;8;162
0;0;77;0.9416058394160584;0.44329896907216493;0.602803738317757;61;76;1;129;8;162
0;0;77;0.9416058394160584;0.44329896907216493;0.602803738317757;61;76;1;129;8;162
0;0;77;0.9416058394160584;0.44329896907216493;0.602803738317757;61;76;1;129;8;162
0;0;77;0.9416058394160584;0.44329896907216493;0.602803738317757;61;76;1;129;8;162
0;0;77;0.9416058394160584;0.431438127090301;0.591743119266055;61;76;1;129;8;170
0;0;77;0.9416058394160584;0.431438127090301;0.591743119266055;61;76;1;129;8;170
0;0;77;0.9416058394160584;0.431438127090301;0.591743119266055;61;76;1;129;8;170
0;0;77;0.9416058394160584;0.431438127090301;0.591743119266055;61;76;1;129;8;170
0;0;77;0.9416058394160584;0.431438127090301;0.591743119266055;61;76;1;129;8;170
0;0;0;0.9230769230769231;0.2809364548494983;0.43076923076923074;91;0;0;84;7;215
0;0;33;0.9468085106382979;0.2976588628762542;0.4529262086513996;64;30;3;89;5;210
0;0;72;0.9624060150375939;0.4280936454849498;0.5925925925925927;64;69;3;128;5;171
0;0;74;0.9626865671641791;0.431438127090301;0.5958429561200924;64;70;4;129;5;170
0;0;77;0.9626865671641791;0.431438127090301;0.5958429561200924;61;73;4;129;5;170
