algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
10;1;0;0;0.9781021897810219;0.44816053511705684;0.6146788990825688;137;0;0;134;3;47652901;165
10;1;1;60;0.9835164835164835;0.5986622073578596;0.7442827442827443;137;45;15;179;3;47652901;120
10;1;2;74;0.9846153846153847;0.6421404682274248;0.7773279352226722;137;58;16;192;3;47652901;107
10;1;3;79;0.9846153846153847;0.6421404682274248;0.7773279352226722;132;63;16;192;3;47652901;107
10;1;4;79;0.9846153846153847;0.6421404682274248;0.7773279352226722;132;63;16;192;3;47652901;107
10;1;5;268;0.9876543209876543;0.802675585284281;0.885608856088561;129;114;154;240;3;47652901;59
10;1;6;288;0.9883720930232558;0.8528428093645485;0.9156193895870736;129;129;159;255;3;47652901;44
10;1;7;347;0.99609375;0.8528428093645485;0.9189189189189189;70;186;161;255;1;47652903;44
10;1;8;353;0.9961389961389961;0.862876254180602;0.9247311827956988;68;191;162;258;1;47652903;41
10;1;9;380;1.0;0.862876254180602;0.9263913824057451;42;216;164;258;0;47652904;41
10;2;0;0;0.9781021897810219;0.44816053511705684;0.6146788990825688;137;0;0;134;3;47652901;165
10;2;1;31;0.9820359281437125;0.5484949832775919;0.7038626609442061;137;30;1;164;3;47652901;135
10;2;2;60;0.9835164835164835;0.5986622073578596;0.7442827442827443;137;45;15;179;3;47652901;120
10;2;3;74;0.9846153846153847;0.6421404682274248;0.7773279352226722;137;58;16;192;3;47652901;107
10;2;4;359;0.9851485148514851;0.6655518394648829;0.7944111776447106;136;66;293;199;3;47652901;100
10;2;5;363;0.9851485148514851;0.6655518394648829;0.7944111776447106;132;70;293;199;3;47652901;100
10;2;6;391;0.9866071428571429;0.7391304347826086;0.8451242829827915;132;92;299;221;3;47652901;78
10;2;7;391;0.9866071428571429;0.7391304347826086;0.8451242829827915;132;92;299;221;3;47652901;78
10;2;8;408;0.9873949579831933;0.7859531772575251;0.8752327746741154;130;108;300;235;3;47652901;64
10;2;9;495;0.9958333333333333;0.7993311036789298;0.8868274582560297;103;137;358;239;1;47652903;60
10;3;0;0;0.9781021897810219;0.44816053511705684;0.6146788990825688;137;0;0;134;3;47652901;165
10;3;1;31;0.9820359281437125;0.5484949832775919;0.7038626609442061;137;30;1;164;3;47652901;135
10;3;2;60;0.9835164835164835;0.5986622073578596;0.7442827442827443;137;45;15;179;3;47652901;120
10;3;3;260;0.9873417721518988;0.782608695652174;0.873134328358209;130;107;153;234;3;47652901;65
10;3;4;266;0.9876543209876543;0.802675585284281;0.885608856088561;130;113;153;240;3;47652901;59
10;3;5;326;0.995850622406639;0.802675585284281;0.888888888888889;70;171;155;240;1;47652903;59
10;3;6;410;0.9959677419354839;0.8260869565217391;0.9031078610603291;70;178;232;247;1;47652903;52
10;3;7;410;0.9959677419354839;0.8260869565217391;0.9031078610603291;70;178;232;247;1;47652903;52
10;3;8;477;1.0;0.8294314381270903;0.9067641681901281;58;190;287;248;0;47652904;51
10;3;9;498;1.0;0.8327759197324415;0.9087591240875912;39;210;288;249;0;47652904;50
10;4;0;0;0.9811320754716981;0.34782608695652173;0.5135802469135802;106;0;0;104;2;47652902;195
10;4;1;62;0.9879518072289156;0.5484949832775919;0.7053763440860216;106;60;2;164;2;47652902;135
10;4;2;83;0.989247311827957;0.6153846153846154;0.7587628865979382;106;80;3;184;2;47652902;115
10;4;3;89;0.9894179894179894;0.6254180602006689;0.7663934426229508;103;86;3;187;2;47652902;112
10;4;4;104;0.9901477832512315;0.6722408026755853;0.800796812749004;103;100;4;201;2;47652902;98
10;4;5;284;0.9917695473251029;0.8060200668896321;0.8892988929889301;100;143;141;241;2;47652902;58
10;4;6;303;0.9922178988326849;0.8528428093645485;0.9172661870503597;100;157;146;255;2;47652902;44
10;4;7;687;0.9924528301886792;0.8795986622073578;0.9326241134751773;100;165;522;263;2;47652902;36
10;4;8;687;0.9924528301886792;0.8795986622073578;0.9326241134751773;100;165;522;263;2;47652902;36
10;4;9;735;0.9962121212121212;0.8795986622073578;0.9342806394316163;53;211;524;263;1;47652903;36
10;5;0;0;0.9811320754716981;0.34782608695652173;0.5135802469135802;106;0;0;104;2;47652902;195
10;5;1;62;0.9879518072289156;0.5484949832775919;0.7053763440860216;106;60;2;164;2;47652902;135
10;5;2;73;0.9885057471264368;0.5752508361204013;0.7272727272727272;103;71;2;172;2;47652902;127
10;5;3;96;0.9897959183673469;0.6488294314381271;0.7838383838383839;103;93;3;194;2;47652902;105
10;5;4;277;0.9915611814345991;0.7859531772575251;0.8768656716417911;100;137;140;235;2;47652902;64
10;5;5;376;0.9919678714859438;0.8260869565217391;0.9014598540145986;100;149;227;247;2;47652902;52
10;5;6;408;0.9924242424242424;0.8762541806020067;0.930728241563055;100;164;244;262;2;47652902;37
10;5;7;408;0.9924242424242424;0.8762541806020067;0.930728241563055;100;164;244;262;2;47652902;37
10;5;8;482;0.9962121212121212;0.8795986622073578;0.9342806394316163;80;184;298;263;1;47652903;36
10;5;9;517;0.9962121212121212;0.8795986622073578;0.9342806394316163;46;218;299;263;1;47652903;36
0;1;0;0;0.8911290322580645;0.7391304347826086;0.8080438756855576;248;0;0;221;27;47652877;78
0;1;1;74;0.9869565217391304;0.7591973244147158;0.8582230623818526;186;44;30;227;3;47652901;72
0;1;2;121;0.9872881355932204;0.7792642140468228;0.8710280373831776;146;90;31;233;3;47652901;66
0;1;3;134;0.9872881355932204;0.7792642140468228;0.8710280373831776;133;103;31;233;3;47652901;66
0;1;4;160;0.9881422924901185;0.8361204013377926;0.9057971014492754;133;120;40;250;3;47652901;49
0;1;5;160;0.9881422924901185;0.8361204013377926;0.9057971014492754;133;120;40;250;3;47652901;49
0;1;6;252;0.9883720930232558;0.8528428093645485;0.9156193895870736;133;125;127;255;3;47652901;44
0;1;7;319;0.99609375;0.8528428093645485;0.9189189189189189;66;190;129;255;1;47652903;44
0;1;8;387;0.9961240310077519;0.8595317725752508;0.9228007181328546;56;202;185;257;1;47652903;42
0;1;9;387;0.9961240310077519;0.8595317725752508;0.9228007181328546;56;202;185;257;1;47652903;42
0;1;10;714;0.9961538461538462;0.8662207357859532;0.9266547406082289;56;204;510;259;1;47652903;40
0;1;11;714;0.9961538461538462;0.8662207357859532;0.9266547406082289;56;204;510;259;1;47652903;40
0;1;12;953;0.9961538461538462;0.8662207357859532;0.9266547406082289;56;204;749;259;1;47652903;40
0;1;13;961;0.9961538461538462;0.8662207357859532;0.9266547406082289;48;212;749;259;1;47652903;40
0;1;14;1092;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;871;266;1;47652903;33
0;1;15;1092;0.9962546816479401;0.8896321070234113;0.9399293286219081;46;221;871;266;1;47652903;33
0;1;16;1099;1.0;0.8896321070234113;0.9415929203539823;39;227;872;266;0;47652904;33
0;1;17;1099;1.0;0.8896321070234113;0.9415929203539823;39;227;872;266;0;47652904;33
0;1;18;1099;1.0;0.8896321070234113;0.9415929203539823;39;227;872;266;0;47652904;33
0;1;19;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;1;20;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;1;21;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
0;1;22;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
