abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
AS;only;10;1;0;0;0.2890046613655059;0.4739208633093525;0.3590529722364163;3647;0;0;1054;2593;5996287;1170
AS;only;10;1;1;3396;0.9570119802677942;0.6106115107913669;0.7455393906121328;568;851;2545;1358;61;5998819;866
AS;only;10;1;2;3792;0.9948979591836735;0.6137589928057554;0.7591768631813126;435;937;2855;1365;7;5998873;859
AS;only;10;1;3;3899;0.9951823812801102;0.6501798561151079;0.7865107424530867;435;1018;2881;1446;7;5998873;778
AS;only;10;1;4;4438;0.9976456739258387;0.7621402877697842;0.8641345908743308;212;1487;2951;1695;4;5998876;529
AS;only;10;1;5;4530;0.9976456739258387;0.7621402877697842;0.8641345908743308;130;1569;2961;1695;4;5998876;529
AS;only;10;1;6;5290;0.9977616116396195;0.8017086330935251;0.8890550984791822;130;1657;3633;1783;4;5998876;441
AS;only;10;1;7;5694;0.9977616116396195;0.8017086330935251;0.8890550984791822;130;1657;4037;1783;4;5998876;441
AS;only;10;1;8;5726;0.9977616116396195;0.8017086330935251;0.8890550984791822;108;1679;4047;1783;4;5998876;441
AS;only;10;1;9;5770;0.9978070175438597;0.8183453237410072;0.8992094861660079;108;1716;4054;1820;4;5998876;404
AS;only;15;1;0;0;0.8766149870801033;0.6101618705035972;0.7195121951219513;1548;0;0;1357;191;5998689;867
AS;only;15;1;1;3477;0.9240437158469945;0.760341726618705;0.8342377898371979;859;971;2506;1691;139;5998741;533
AS;only;15;1;2;3477;0.9240437158469945;0.760341726618705;0.8342377898371979;859;971;2506;1691;139;5998741;533
AS;only;15;1;3;3630;0.9679450486548369;0.760341726618705;0.8516746411483253;706;1041;2589;1691;56;5998824;533
AS;only;15;1;4;3985;0.9960091220068416;0.7855215827338129;0.8783308195072901;418;1336;2649;1747;7;5998873;477
AS;only;15;1;5;4038;0.99606962380685;0.7976618705035972;0.885892634207241;418;1363;2675;1774;7;5998873;450
AS;only;15;1;6;4942;0.9960893854748604;0.8017086330935251;0.8883906327852515;418;1372;3570;1783;7;5998873;441
AS;only;15;1;7;5360;0.9960893854748604;0.8017086330935251;0.8883906327852515;418;1372;3988;1783;7;5998873;441
AS;only;15;1;8;5366;0.9960893854748604;0.8017086330935251;0.8883906327852515;412;1378;3988;1783;7;5998873;441
AS;only;15;1;9;5682;0.9963636363636363;0.862410071942446;0.9245601349722824;406;1519;4163;1918;7;5998873;306
AS;only;15;1;10;5682;0.9963636363636363;0.862410071942446;0.9245601349722824;406;1519;4163;1918;7;5998873;306
AS;only;15;1;11;5981;0.9968814968814969;0.862410071942446;0.9247830279652844;117;1807;4174;1918;6;5998874;306
AS;only;15;1;12;6011;0.9968831168831169;0.8628597122302158;0.9250421788382743;117;1808;4203;1919;6;5998874;305
AS;only;15;1;13;7208;0.9972862957937585;0.9914568345323741;0.9943630214205186;117;2094;5114;2205;6;5998874;19
AS;only;15;1;14;7209;0.9972862957937585;0.9914568345323741;0.9943630214205186;117;2094;5115;2205;6;5998874;19
AS;only;20;1;0;0;0.8766149870801033;0.6101618705035972;0.7195121951219513;1548;0;0;1357;191;5998689;867
AS;only;20;1;1;918;0.9623402824478816;0.6434352517985612;0.7712206952303962;706;781;137;1431;56;5998824;793
AS;only;20;1;2;1350;0.9954308093994778;0.6857014388489209;0.8120340788072418;418;1114;236;1525;7;5998873;699
AS;only;20;1;3;1646;0.995475113122172;0.6924460431654677;0.8167594802439672;418;1129;517;1540;7;5998873;684
AS;only;20;1;4;1653;0.995475113122172;0.6924460431654677;0.8167594802439672;418;1129;524;1540;7;5998873;684
AS;only;20;1;5;1725;0.9955947136563876;0.7113309352517986;0.8297928140571728;418;1171;554;1582;7;5998873;642
AS;only;20;1;6;2194;0.9975859987929994;0.7432553956834532;0.851842308683329;199;1458;736;1653;4;5998876;571
AS;only;20;1;7;2323;0.9976470588235294;0.762589928057554;0.8644240570846076;199;1501;822;1696;4;5998876;528
AS;only;20;1;8;2425;0.9976470588235294;0.762589928057554;0.8644240570846076;127;1573;852;1696;4;5998876;528
AS;only;20;1;9;2859;0.99795605518651;0.8781474820143885;0.93422626165989;127;1830;1029;1953;4;5998876;271
AS;only;20;1;10;5914;0.9981033665244191;0.9464928057553957;0.9716132010154628;127;1982;3932;2105;4;5998876;119
AS;only;20;1;11;6560;0.9981033665244191;0.9464928057553957;0.9716132010154628;127;1982;4578;2105;4;5998876;119
AS;only;20;1;12;7035;0.9981033665244191;0.9464928057553957;0.9716132010154628;127;1982;5053;2105;4;5998876;119
AS;only;20;1;13;7035;0.9981033665244191;0.9464928057553957;0.9716132010154628;127;1982;5053;2105;4;5998876;119
AS;only;20;1;14;7035;0.9981033665244191;0.9464928057553957;0.9716132010154628;127;1982;5053;2105;4;5998876;119
AS;only;20;1;15;7035;0.9981033665244191;0.9464928057553957;0.9716132010154628;127;1982;5053;2105;4;5998876;119
AS;only;20;1;16;7074;0.9981033665244191;0.9464928057553957;0.9716132010154628;127;1982;5092;2105;4;5998876;119
AS;only;20;1;17;7074;0.9981033665244191;0.9464928057553957;0.9716132010154628;127;1982;5092;2105;4;5998876;119
AS;only;20;1;18;8015;0.9981941309255079;0.9941546762589928;0.9961703086280693;127;2088;5927;2211;4;5998876;13
AS;only;20;1;19;8015;0.9981941309255079;0.9941546762589928;0.9961703086280693;127;2088;5927;2211;4;5998876;13
