abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn;pc
DS;1 - acm diverg;5;1;0;0;0.986496624156039;0.5912769784172662;0.7393871239808828;1333;0;0;1315;18;-2242;909;2993
DS;1 - acm diverg;5;2;0;0;0.9857369255150554;0.5593525179856115;0.7137119908204246;1262;0;0;1244;18;-2242;980;2952
DS;1 - acm diverg;5;3;0;0;0.9862490450725745;0.5804856115107914;0.7308236626096801;1309;0;0;1291;18;-2242;933;2949
DS;1 - acm diverg;5;4;0;0;0.9878260869565217;0.5107913669064749;0.6733847065797273;1150;0;0;1136;14;-2238;1088;3062
DS;1 - acm diverg;5;5;0;0;0.9867211440245148;0.43435251798561153;0.6031845145176398;979;0;0;966;13;-2237;1258;3030
DS;1 - acm diverg;5;6;0;0;0.9877425944841676;0.4348021582733813;0.6038089291289416;979;0;0;967;12;-2236;1257;2007
DS;1 - acm diverg;5;7;0;0;0.9877425944841676;0.4348021582733813;0.6038089291289416;979;0;0;967;12;-2236;1257;2007
DS;1 - acm diverg;5;8;0;0;0.986734693877551;0.4348021582733813;0.6036204744069913;980;0;0;967;13;-2237;1257;1927
DS;1 - acm diverg;5;9;0;0;0.9872673849167483;0.45323741007194246;0.6212634822804315;1021;0;0;1008;13;-2237;1216;3135
DS;1 - acm diverg;5;10;0;0;0.9867211440245148;0.43435251798561153;0.6031845145176398;979;0;0;966;13;-2237;1258;3180
