abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
AS;only;5;1;0;0;0.8393057110862262;0.6740107913669064;0.7476309226932668;1786;0;0;1499;287;5998593;725
AS;only;5;1;1;910;0.9287484510532837;0.6740107913669064;0.7811360083376759;1466;148;762;1499;115;5998765;725
AS;only;5;1;2;1651;0.9897959183673469;0.8286870503597122;0.902104747919726;1352;510;1141;1843;19;5998861;381
AS;only;5;1;3;1651;0.9897959183673469;0.8286870503597122;0.902104747919726;1352;510;1141;1843;19;5998861;381
AS;only;5;1;4;2993;0.991899189918992;0.9910071942446043;0.9914529914529914;1333;889;2104;2204;18;5998862;20
AS;only;5;2;0;0;0.8766149870801033;0.6101618705035972;0.7195121951219513;1548;0;0;1357;191;5998689;867
AS;only;5;2;1;862;0.9360730593607306;0.6452338129496403;0.7639073729039128;1371;162;700;1435;98;5998782;789
AS;only;5;2;2;1623;0.9898341359015517;0.8318345323741008;0.9039824089909602;1279;590;1033;1850;19;5998861;374
AS;only;5;2;3;1623;0.9898341359015517;0.8318345323741008;0.9039824089909602;1279;590;1033;1850;19;5998861;374
AS;only;5;2;4;2952;0.9918955425484016;0.9905575539568345;0.9912260967379077;1262;959;1993;2203;18;5998862;21
AS;only;5;3;0;0;0.6571011673151751;0.6074640287769785;0.6313084112149533;2056;0;0;1351;705;5998175;873
AS;only;5;3;1;1408;0.9567031820552947;0.8246402877697842;0.8857763825163003;1416;501;907;1834;83;5998797;390
AS;only;5;3;2;1408;0.9567031820552947;0.8246402877697842;0.8857763825163003;1416;501;907;1834;83;5998797;390
AS;only;5;3;3;1628;0.9898774640383591;0.835431654676259;0.9061204584247745;1327;550;1078;1858;19;5998861;366
AS;only;5;3;4;2949;0.9918955425484016;0.9905575539568345;0.9912260967379077;1309;912;2037;2203;18;5998862;21
AS;only;5;4;0;0;0.8766149870801033;0.6101618705035972;0.7195121951219513;1548;0;0;1357;191;5998689;867
AS;only;5;4;1;480;0.9286142771445711;0.6960431654676259;0.7956823438704702;1427;240;240;1548;119;5998761;676
AS;only;5;4;2;1303;0.9926931106471816;0.8552158273381295;0.918840579710145;1167;749;554;1902;14;5998866;322
AS;only;5;4;3;1838;0.9926931106471816;0.8552158273381295;0.918840579710145;1156;760;1078;1902;14;5998866;322
AS;only;5;4;4;3062;0.9936823104693141;0.9901079136690647;0.9918918918918919;1150;1066;1996;2202;14;5998866;22
