abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
DS;1 - acm diverg;8;1;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;2;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;3;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;4;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;5;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;6;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;7;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;8;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;9;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;10;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;11;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;12;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;13;0;0;0.9772727272727273;0.431438127090301;0.5986078886310905;132;0;0;129;3;47652901;170
DS;1 - acm diverg;8;14;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;15;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;16;0;0;0.9772727272727273;0.431438127090301;0.5986078886310905;132;0;0;129;3;47652901;170
DS;1 - acm diverg;8;17;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;18;0;0;0.9772727272727273;0.431438127090301;0.5986078886310905;132;0;0;129;3;47652901;170
DS;1 - acm diverg;8;19;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;20;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;21;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;22;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;23;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;24;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;25;0;0;0.9772727272727273;0.431438127090301;0.5986078886310905;132;0;0;129;3;47652901;170
DS;1 - acm diverg;8;26;0;0;0.9772727272727273;0.431438127090301;0.5986078886310905;132;0;0;129;3;47652901;170
DS;1 - acm diverg;8;27;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;28;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;29;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;30;0;0;0.9772727272727273;0.431438127090301;0.5986078886310905;132;0;0;129;3;47652901;170
DS;1 - acm diverg;8;31;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;32;0;0;0.9805825242718447;0.3377926421404682;0.5024875621890548;103;0;0;101;2;47652902;198
DS;1 - acm diverg;8;33;0;0;0.9772727272727273;0.431438127090301;0.5986078886310905;132;0;0;129;3;47652901;170
