permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
1;0;0;0.3547854785478548;0.7190635451505016;0.47513812154696133;606;0;0;215;391;47652513;84
1;1;455;0.9728506787330317;0.7190635451505016;0.826923076923077;152;69;386;215;6;47652898;84
1;2;469;0.9862385321100917;0.7190635451505016;0.8317214700193423;138;80;389;215;3;47652901;84
1;3;481;0.9869565217391304;0.7591973244147158;0.8582230623818526;138;92;389;227;3;47652901;72
1;4;631;0.988;0.8260869565217391;0.8998178506375227;135;115;516;247;3;47652901;52
1;5;696;0.9959677419354839;0.8260869565217391;0.9031078610603291;70;178;518;247;1;47652903;52
1;6;731;0.9960159362549801;0.8361204013377926;0.9090909090909092;70;181;550;250;1;47652903;49
1;7;731;0.9960159362549801;0.8361204013377926;0.9090909090909092;70;181;550;250;1;47652903;49
1;8;793;1.0;0.8394648829431438;0.9127272727272727;58;193;600;251;0;47652904;48
1;9;811;1.0;0.882943143812709;0.9378330373001776;58;206;605;264;0;47652904;35
1;10;812;1.0;0.882943143812709;0.9378330373001776;58;206;606;264;0;47652904;35
1;11;824;1.0;0.8862876254180602;0.9397163120567376;58;207;617;265;0;47652904;34
1;12;824;1.0;0.8862876254180602;0.9397163120567376;58;207;617;265;0;47652904;34
1;13;826;1.0;0.8896321070234113;0.9415929203539823;57;209;617;266;0;47652904;33
1;14;845;1.0;0.8896321070234113;0.9415929203539823;39;227;618;266;0;47652904;33
1;15;845;1.0;0.8896321070234113;0.9415929203539823;39;227;618;266;0;47652904;33
1;16;845;1.0;0.8896321070234113;0.9415929203539823;39;227;618;266;0;47652904;33
1;17;845;1.0;0.8896321070234113;0.9415929203539823;39;227;618;266;0;47652904;33
1;18;845;1.0;0.8896321070234113;0.9415929203539823;39;227;618;266;0;47652904;33
1;19;1084;1.0;0.8896321070234113;0.9415929203539823;39;227;857;266;0;47652904;33
1;20;1084;1.0;0.8896321070234113;0.9415929203539823;39;227;857;266;0;47652904;33
1;21;1084;1.0;0.8896321070234113;0.9415929203539823;39;227;857;266;0;47652904;33
1;22;1101;1.0;0.8896321070234113;0.9415929203539823;39;227;874;266;0;47652904;33
2;0;0;0.9552238805970149;0.6421404682274248;0.7679999999999999;201;0;0;192;9;47652895;107
2;1;84;0.9863636363636363;0.725752508361204;0.8362235067437379;157;63;21;217;3;47652901;82
2;2;87;0.9863636363636363;0.725752508361204;0.8362235067437379;154;66;21;217;3;47652901;82
2;3;144;0.9877049180327869;0.8060200668896321;0.8876611418047883;145;99;45;241;3;47652901;58
2;4;426;0.9877049180327869;0.8060200668896321;0.8876611418047883;141;103;323;241;3;47652901;58
2;5;467;0.9917695473251029;0.8060200668896321;0.8892988929889301;100;143;324;241;2;47652902;58
2;6;467;0.9917695473251029;0.8060200668896321;0.8892988929889301;100;143;324;241;2;47652902;58
2;7;467;0.9917695473251029;0.8060200668896321;0.8892988929889301;100;143;324;241;2;47652902;58
2;8;467;0.9917695473251029;0.8060200668896321;0.8892988929889301;100;143;324;241;2;47652902;58
2;9;467;0.9917695473251029;0.8060200668896321;0.8892988929889301;100;143;324;241;2;47652902;58
2;10;498;0.9958677685950413;0.8060200668896321;0.8909426987060999;69;173;325;241;1;47652903;58
2;11;653;0.9961538461538462;0.8662207357859532;0.9266547406082289;68;192;461;259;1;47652903;40
