iteracao;algUtl;classificador;media_f1;desvio_padrao
1;10;LR;0.861666666667;0.0825687143693
1;10;KNN;0.907936507937;0.046979836784
1;10;DTC;0.893650793651;0.127390223665
1;10;SVM;0.865555555556;0.085807709228
1;10;RF;0.854365079365;0.120911988631
2;10;LR;0.903892773893;0.078564672587
2;10;KNN;0.918337218337;0.0665699241739
2;10;DTC;0.881060606061;0.14953440136
2;10;SVM;0.896317016317;0.0813029955174
2;10;RF;0.908838383838;0.0752715893417
3;10;LR;0.915405427905;0.0578432521666
3;10;KNN;0.924883449883;0.061559361959
3;10;DTC;0.891941391941;0.0891333065714
3;10;SVM;0.906000666001;0.088445064975
3;10;RF;0.916117216117;0.103869892823
4;10;LR;0.891101237943;0.0873375636525
4;10;KNN;0.92067517278;0.0436806698923
4;10;DTC;0.915116668677;0.0643628886179
4;10;SVM;0.905224044961;0.064421447091
4;10;RF;0.938680033417;0.0445432661194
5;10;LR;0.850714285714;0.075307758587
5;10;KNN;0.846117216117;0.0922213387582
5;10;DTC;0.77965416936;0.109936766842
5;10;SVM;0.861428571429;0.0674259482944
5;10;RF;0.841481851482;0.0877171195607
1;15;LR;0.841248473748;0.23045483088
1;15;KNN;0.863980202804;0.135894735932
1;15;DTC;0.872939021763;0.0992608687251
1;15;SVM;0.864733893557;0.164223003068
1;15;RF;0.853589204913;0.124376324588
2;15;LR;0.82329004329;0.0870936177428
2;15;KNN;0.862994782995;0.0908116259407
2;15;DTC;0.787132312132;0.0910457210344
2;15;SVM;0.812054612055;0.105850732357
2;15;RF;0.789125874126;0.197809889519
3;15;LR;0.891327300151;0.0784858969747
3;15;KNN;0.907948717949;0.0808049371624
3;15;DTC;0.864581807082;0.0821654852566
3;15;SVM;0.920641025641;0.0765722770294
3;15;RF;0.87274671407;0.0663511408461
4;15;LR;0.893631221719;0.0432738579334
4;15;KNN;0.910363247863;0.0264812908704
4;15;DTC;0.873159340659;0.0973192626058
4;15;SVM;0.873302090067;0.111452300836
4;15;RF;0.907304460246;0.0849864925107
5;15;LR;0.865044851949;0.0552725929441
5;15;KNN;0.883550543024;0.0640490066349
5;15;DTC;0.90310469802;0.0478028996802
5;15;SVM;0.873672302929;0.0693490146172
5;15;RF;0.870540699411;0.0740867353499
1;20;LR;0.868911088911;0.0791352296293
1;20;KNN;0.874625374625;0.0759520033815
1;20;DTC;0.851048951049;0.0872115792994
1;20;SVM;0.883196803197;0.0881072305147
1;20;RF;0.860372960373;0.101900800689
2;20;LR;0.897126895293;0.0978094317768
2;20;KNN;0.895991902834;0.0914653274369
2;20;DTC;0.869842118666;0.076183154771
2;20;SVM;0.907658730159;0.0850699714223
2;20;RF;0.886996336996;0.0960843286115
3;20;LR;0.869405822935;0.0556725231159
3;20;KNN;0.883485630297;0.0449364762979
3;20;DTC;0.831087277016;0.0535838698476
3;20;SVM;0.866545284781;0.0738692521543
3;20;RF;0.876323160843;0.047228991611
4;20;LR;0.898316993464;0.0771955693911
4;20;KNN;0.908039215686;0.0668283794153
4;20;DTC;0.871101414925;0.0771234200601
4;20;SVM;0.884047619048;0.0744332326481
4;20;RF;0.887031302031;0.0695649070001
5;20;LR;0.892086834734;0.0681015982198
5;20;KNN;0.881107519931;0.0896086583186
5;20;DTC;0.840294705295;0.127870734336
5;20;SVM;0.88756302521;0.0846435567248
5;20;RF;0.854615384615;0.116151582024
