First Object;Second Object;Similarity Value;TP;FP
cddb.[1858];cddb.[9637];1.0;1;
cddb.[2004];cddb.[3710];1.0;1;
cddb.[2187];cddb.[2418];1.0;1;
cddb.[2188];cddb.[8063];0.9083333164453506;1;
cddb.[2252];cddb.[4733];1.0;1;
cddb.[2366];cddb.[2367];0.8583333492279053;1;
cddb.[2406];cddb.[7291];0.9874999970197678;1;
cddb.[10314];cddb.[2427];0.8864583373069763;1;
cddb.[2440];cddb.[5443];1.0;1;
cddb.[2571];cddb.[9019];1.0;1;
cddb.[2577];cddb.[2581];1.0;1;
cddb.[2619];cddb.[6174];0.96875;1;
cddb.[2781];cddb.[9669];1.0;1;
cddb.[2807];cddb.[7064];0.9615384638309479;1;
