"First Object";"Second Object";"Similarity Value";"First Object Data";"Second Object Data"
"cd.[4975]";"cd.[5889]";"0.8333333134651184";"";""
"cd.[5577]";"cd.[8990]";"0.9375";"";""
"cd.[3475]";"cd.[8592]";"1.0";"";""
"cd.[4441]";"cd.[8151]";"0.7272727489471436";"";""
"cd.[3670]";"cd.[4441]";"0.875";"";""
"cd.[4441]";"cd.[7769]";"1.0";"";""
"cd.[4441]";"cd.[7515]";"1.0";"";""
"cd.[3670]";"cd.[8151]";"0.6363636255264282";"";""
"cd.[7769]";"cd.[8151]";"0.7272727489471436";"";""
"cd.[7515]";"cd.[8151]";"0.7272727489471436";"";""
"cd.[3670]";"cd.[7769]";"0.875";"";""
"cd.[3670]";"cd.[7515]";"0.875";"";""
"cd.[7515]";"cd.[7769]";"1.0";"";""
"cd.[8224]";"cd.[8754]";"1.0";"";""
"cd.[4124]";"cd.[7722]";"1.0";"";""
"cd.[4124]";"cd.[6737]";"1.0";"";""
"cd.[6737]";"cd.[7722]";"1.0";"";""
"cd.[106803]";"cd.[107918]";"1.0";"";""
"cd.[4179]";"cd.[4732]";"0.800000011920929";"";""
"cd.[4179]";"cd.[4911]";"0.800000011920929";"";""
"cd.[4732]";"cd.[4911]";"1.0";"";""
"cd.[6811]";"cd.[7429]";"1.0";"";""
"cd.[6339]";"cd.[7517]";"1.0";"";""
"cd.[7653]";"cd.[7852]";"1.0";"";""
"cd.[7653]";"cd.[8029]";"1.0";"";""
"cd.[10383]";"cd.[7653]";"1.0";"";""
"cd.[10230]";"cd.[7653]";"0.8666666746139526";"";""
"cd.[6858]";"cd.[7653]";"0.8666666746139526";"";""
"cd.[7852]";"cd.[8029]";"1.0";"";""
"cd.[10383]";"cd.[7852]";"1.0";"";""
"cd.[10230]";"cd.[7852]";"0.8666666746139526";"";""
"cd.[6858]";"cd.[7852]";"0.8666666746139526";"";""
"cd.[10383]";"cd.[8029]";"1.0";"";""
"cd.[10230]";"cd.[8029]";"0.8666666746139526";"";""
"cd.[6858]";"cd.[8029]";"0.8666666746139526";"";""
"cd.[10230]";"cd.[10383]";"0.8666666746139526";"";""
"cd.[10383]";"cd.[6858]";"0.8666666746139526";"";""
"cd.[10230]";"cd.[6858]";"1.0";"";""
"cd.[10064]";"cd.[2819]";"1.0";"";""
"cd.[6314]";"cd.[8464]";"0.782608687877655";"";""
"cd.[4291]";"cd.[4905]";"1.0";"";""
"cd.[6722]";"cd.[7707]";"1.0";"";""
"cd.[3722]";"cd.[8453]";"1.0";"";""
"cd.[6719]";"cd.[8453]";"1.0";"";""
"cd.[3722]";"cd.[6719]";"1.0";"";""
"cd.[6413]";"cd.[7975]";"1.0";"";""
"cd.[6562]";"cd.[8870]";"1.0";"";""
"cd.[7606]";"cd.[8538]";"1.0";"";""
"cd.[7671]";"cd.[8759]";"1.0";"";""
"cd.[5360]";"cd.[8430]";"0.9545454382896423";"";""
"cd.[7540]";"cd.[7542]";"0.20930230617523193";"";""
"cd.[7542]";"cd.[8823]";"0.3720930218696594";"";""
