elemento1;elemento2;duplicata;similaridade
[cd.[4441]];[cd.[8151]];1.0;1.0
[cd.[3670]];[cd.[4441]];1.0;1.0
[cd.[4441]];[cd.[7515]];1.0;1.0
[cd.[3670]];[cd.[8151]];1.0;1.0
[cd.[7515]];[cd.[8151]];1.0;1.0
[cd.[3670]];[cd.[7515]];1.0;1.0
[cd.[3475]];[cd.[8592]];1.0;0.96875
[cd.[10061]];[cd.[3517]];1.0;1.0
[cd.[2807]];[cd.[7064]];1.0;0.9615384638309479
[cd.[3529]];[cd.[4114]];1.0;1.0
[cd.[2813]];[cd.[3155]];1.0;0.9545454382896423
[cd.[3192]];[cd.[7923]];1.0;1.0
[cd.[2187]];[cd.[2418]];1.0;1.0
[cd.[3383]];[cd.[6969]];1.0;0.9772727191448212
[cd.[2406]];[cd.[7291]];1.0;0.9749999940395355
[cd.[3159]];[cd.[9969]];1.0;1.0
[cd.[3678]];[cd.[4266]];1.0;1.0
[cd.[4266]];[cd.[6690]];1.0;1.0
[cd.[3678]];[cd.[6690]];1.0;1.0
[cd.[10064]];[cd.[2819]];1.0;1.0
[cd.[2004]];[cd.[3710]];1.0;1.0
[cd.[2577]];[cd.[2581]];1.0;1.0
[cd.[3722]];[cd.[8453]];1.0;1.0
[cd.[6719]];[cd.[8453]];1.0;1.0
[cd.[3722]];[cd.[6719]];1.0;1.0
[cd.[2619]];[cd.[6174]];1.0;1.0
[cd.[1858]];[cd.[9637]];1.0;1.0
[cd.[2440]];[cd.[5443]];1.0;1.0
[cd.[2571]];[cd.[9019]];1.0;1.0
[cd.[2781]];[cd.[9669]];1.0;1.0
[cd.[2957]];[cd.[3106]];1.0;1.0
[cd.[2823]];[cd.[4684]];1.0;0.9705882370471954
[cd.[3539]];[cd.[4190]];1.0;1.0
[cd.[2427]];[cd.[8640]];1.0;0.96875
[cd.[3356]];[cd.[6955]];1.0;1.0
[cd.[2252]];[cd.[4733]];1.0;1.0
