First Object;Second Object;similaridade
Amazon.[b000jz4hqo];GoogleProducts.[http://www.google.com/base/feeds/snippets/18441480711193821750];0.4893617033958435
Amazon.[b000ap2wyw];GoogleProducts.[http://www.google.com/base/feeds/snippets/2622452102774676117];0.5
Amazon.[b000ap2wyw];GoogleProducts.[http://www.google.com/base/feeds/snippets/15918748426604243470];0.4375
Amazon.[b000o24l3q];GoogleProducts.[http://www.google.com/base/feeds/snippets/5181661570525386541];0.5
Amazon.[b0009jlux8];GoogleProducts.[http://www.google.com/base/feeds/snippets/4923451909983851979];0.4852941036224365
Amazon.[b00023azve];GoogleProducts.[http://www.google.com/base/feeds/snippets/4949402291543451335];0.4761904776096344
Amazon.[b00023azve];GoogleProducts.[http://www.google.com/base/feeds/snippets/14691100460127614059];0.4523809552192688
Amazon.[b000cpmtwk];GoogleProducts.[http://www.google.com/base/feeds/snippets/1417708435719198149];0.5
Amazon.[b0002qnd2y];GoogleProducts.[http://www.google.com/base/feeds/snippets/975032998818002648];0.5
Amazon.[b000bl40dg];GoogleProducts.[http://www.google.com/base/feeds/snippets/10381298233088883938];0.4791666567325592
Amazon.[b000h22rbg];GoogleProducts.[http://www.google.com/base/feeds/snippets/10500380486679990055];0.4583333432674408
Amazon.[b000bezsyi];GoogleProducts.[http://www.google.com/base/feeds/snippets/10911853136488554482];0.46296295523643494
Amazon.[b0007g9760];GoogleProducts.[http://www.google.com/base/feeds/snippets/11567429261409321598];0.5
Amazon.[b000ivhozk];GoogleProducts.[http://www.google.com/base/feeds/snippets/12543046747030237240];0.5
Amazon.[b000buqo9a];GoogleProducts.[http://www.google.com/base/feeds/snippets/12604725900103506627];0.5
Amazon.[b000buqo9a];GoogleProducts.[http://www.google.com/base/feeds/snippets/12768847283587745008];0.5
Amazon.[b000butd6q];GoogleProducts.[http://www.google.com/base/feeds/snippets/6990565128537638388];0.5
Amazon.[b0009i9tqy];GoogleProducts.[http://www.google.com/base/feeds/snippets/12306142837405920435];0.5
Amazon.[b000ap0h94];GoogleProducts.[http://www.google.com/base/feeds/snippets/7651654029530591686];0.5
Amazon.[b00006j02n];GoogleProducts.[http://www.google.com/base/feeds/snippets/18268949289189904876];0.4615384638309479
Amazon.[b0009ren8e];GoogleProducts.[http://www.google.com/base/feeds/snippets/18152695793777845265];0.47727271914482117
Amazon.[b000bnb72g];GoogleProducts.[http://www.google.com/base/feeds/snippets/17010841797296818807];0.5
Amazon.[b000ap422c];GoogleProducts.[http://www.google.com/base/feeds/snippets/2622452102774676117];0.4375
Amazon.[b000ap422c];GoogleProducts.[http://www.google.com/base/feeds/snippets/15918748426604243470];0.5
Amazon.[b000fa5ens];GoogleProducts.[http://www.google.com/base/feeds/snippets/18384136689746651786];0.5
Amazon.[b000gaoo7y];GoogleProducts.[http://www.google.com/base/feeds/snippets/18384280629938052082];0.5
Amazon.[b000jj4fbw];GoogleProducts.[http://www.google.com/base/feeds/snippets/18427202789383020961];0.4375
Amazon.[b000qs8n64];GoogleProducts.[http://www.google.com/base/feeds/snippets/18422266773656246362];0.4375
Amazon.[b000brgbpa];GoogleProducts.[http://www.google.com/base/feeds/snippets/3011334164286500167];0.47058823704719543
Amazon.[b000brgbpa];GoogleProducts.[http://www.google.com/base/feeds/snippets/11524039735478682676];0.47058823704719543
Amazon.[b000hkgj8k];GoogleProducts.[http://www.google.com/base/feeds/snippets/18417354130985846422];0.4897959232330322
Amazon.[b000hysu2y];GoogleProducts.[http://www.google.com/base/feeds/snippets/18409957880168870961];0.5
Amazon.[b000056b62];GoogleProducts.[http://www.google.com/base/feeds/snippets/18446496383812786183];0.47058823704719543
Amazon.[b000fbk6gc];GoogleProducts.[http://www.google.com/base/feeds/snippets/18446612824766852081];0.5
Amazon.[b000eavbdq];GoogleProducts.[http://www.google.com/base/feeds/snippets/18443105453266961029];0.5
Amazon.[b0009hmx36];GoogleProducts.[http://www.google.com/base/feeds/snippets/18435954901092427938];0.5
Amazon.[b000e5n0mg];GoogleProducts.[http://www.google.com/base/feeds/snippets/10008484121273338467];0.43661972880363464
Amazon.[b000aly75i];GoogleProducts.[http://www.google.com/base/feeds/snippets/18391095906680955632];0.5
Amazon.[b000hlt57q];GoogleProducts.[http://www.google.com/base/feeds/snippets/16709319501877103249];0.43589743971824646
