Algoritmo,Start Time,End Time,Runtime in ms,Max. Memory in KB,Min. Memory in KB,Avg. Memory in KB,Number of Data Records,Number of Comparison Candidates,Number of created pairs,Number of actual comparisons,Reduction Ratio,Number of real Duplicates,Precision,Recall,F-Measure,True Positives,False Positives,True Negatives,False Negatives,Precision based on actual comparisons,Recall based on actual comparisons,F-Measure based on actual comparisons,Reduction Ratio based on actual comparisons,True Positives based on actual comparisons,False Positives based on actual comparisons,True Negatives based on actual comparisons,False Negatives based on actual comparisons
Alg1,Wed Nov 07 14:10:17 BRT 2018,Wed Nov 07 14:12:13 BRT 2018,115962,1114917,99074,451904,1879,1764381,1754766,1754766,"0,005449503253549",64578,"0,868661365685712","0,820465173898232","0,843875673910793",52984,8011,1691792,11594,"0,868661365685712","0,820465173898232","0,843875673910793","0,005449503253549",52984,8011,1673484,20287
Alg2,Wed Nov 07 14:17:34 BRT 2018,Wed Nov 07 14:18:10 BRT 2018,35607,575575,134949,323368,1879,1764381,1704654,1704654,"0,033851532067053",64578,1,"0,233221840255195","0,378231770866033",15061,0,1699803,49517,1,"0,233221840255195","0,378231770866033","0,033851532067053",15061,0,1637729,51864
Alg3,Wed Nov 07 14:18:59 BRT 2018,Wed Nov 07 14:19:39 BRT 2018,40071,904719,84820,432973,1879,1764381,1707977,1707977,"0,03196815200345",64578,"0,877166137485177","0,355074483570256","0,505517036122532",22930,3211,1696592,41648,"0,877166137485177","0,355074483570256","0,505517036122532","0,03196815200345",22930,3211,1635767,46069
Alg4,Wed Nov 07 14:21:07 BRT 2018,Wed Nov 07 14:21:44 BRT 2018,37534,769151,102749,394483,1879,1764381,1717208,1717208,"0,026736288817438",64578,1,"0,51173774350398","0,677019206145967",33047,0,1699803,31531,1,"0,51173774350398","0,677019206145967","0,026736288817438",33047,0,1637729,46432
Alg5,Wed Nov 07 14:22:33 BRT 2018,Wed Nov 07 14:23:23 BRT 2018,49500,590646,113803,284862,1879,1764381,1710102,1710102,"0,03076376360888",64578,"0,993541770608127","0,555065192480411","0,71222778572564",35845,233,1699570,28733,"0,993541770608127","0,555065192480411","0,71222778572564","0,03076376360888",35845,233,1637725,36299
Alg6,Wed Nov 07 14:23:11 BRT 2018,Wed Nov 07 14:23:53 BRT 2018,42073,818175,114031,320920,1879,1764381,1716338,1716338,"0,02722937959545",64578,"0,999971685825924","0,546889033416953","0,707075358372708",35317,1,1699802,29261,"0,999971685825924","0,546889033416953","0,707075358372708","0,02722937959545",35317,1,1637728,43292
Alg7,Wed Nov 07 14:24:15 BRT 2018,Wed Nov 07 14:25:11 BRT 2018,56349,945092,100146,337137,1879,1764381,1705114,1705114,"0,033590817402817",64578,"0,993687034747613","0,584982501780792","0,736429650567766",37777,240,1699563,26801,"0,993687034747613","0,584982501780792","0,736429650567766","0,033590817402817",37777,240,1637651,29446
Alg8,Wed Nov 07 14:26:37 BRT 2018,Wed Nov 07 14:27:43 BRT 2018,66253,818205,83699,311007,1879,1764381,1702297,1702297,"0,03518741133576",64578,"0,993837463088972","0,59935272074081","0,747756537194633",38705,240,1699563,25873,"0,993837463088972","0,59935272074081","0,747756537194633","0,03518741133576",38705,240,1637557,25795
Alg9,Wed Nov 07 14:30:36 BRT 2018,Wed Nov 07 14:31:29 BRT 2018,52915,1282534,148533,488279,1879,1764381,1717557,1717557,"0,026538485735224",64578,"0,945248696094644","0,57531976834216","0,715285465379321",37153,2152,1697651,27425,"0,945248696094644","0,57531976834216","0,715285465379321","0,026538485735224",37153,2152,1637086,41166
Alg10,Wed Nov 07 14:28:39 BRT 2018,Wed Nov 07 14:41:45 BRT 2018,785271,1282458,128634,454951,1879,1764381,1701158,1701158,"0,03583296351525",64578,"0,313340550944304","0,605035770695903","0,412863958409282",39072,85623,1614180,25506,"0,313340550944304","0,605035770695903","0,412863958409282","0,03583296351525",39072,85623,1553329,23134
Alg11,Wed Nov 07 14:35:09 BRT 2018,Wed Nov 07 14:36:05 BRT 2018,56190,694500,84563,334013,1879,1764381,1716060,1716060,"0,02738694193601",64578,"0,98305623212962","0,574994580197591","0,725588666340987",37132,640,1699163,27446,"0,98305623212962","0,574994580197591","0,725588666340987","0,02738694193601",37132,640,1637712,40576
Alg12,Wed Nov 07 15:15:38 BRT 2018,Wed Nov 07 15:22:51 BRT 2018,433219,1328712,66939,350464,1879,1764381,1705252,1705252,"0,033512603003546",64578,1,"0,162501161386231","0,279571611253197",10494,0,1699803,54084,1,"0,162501161386231","0,279571611253197","0,033512603003546",10494,0,1637729,57029
Alg13,Wed Nov 07 14:37:19 BRT 2018,Wed Nov 07 14:38:14 BRT 2018,54243,928839,83611,342121,1879,1764381,1716396,1716396,"0,027196506876916",64578,1,"0,571324599708879","0,727188513200556",36895,0,1699803,27683,1,"0,571324599708879","0,727188513200556","0,027196506876916",36895,0,1637729,41772
Alg14,Wed Nov 07 14:39:14 BRT 2018,Wed Nov 07 14:40:09 BRT 2018,54988,1007391,111120,514046,1879,1764381,1715810,1715810,"0,027528634688313",64578,1,"0,575118461395522","0,73025423228927",37140,0,1699803,27438,1,"0,575118461395522","0,73025423228927","0,027528634688313",37140,0,1637729,40941
Alg15,Wed Nov 07 15:17:22 BRT 2018,Wed Nov 07 15:18:45 BRT 2018,82395,1011812,80547,358262,1879,1764381,1704849,1704849,"0,033741011720258",64578,"0,961806784287953","0,589225432809935","0,730766276166699",38051,1511,1698292,26527,"0,961806784287953","0,589225432809935","0,730766276166699","0,033741011720258",38051,1511,1637586,27701
Alg16,Wed Nov 07 15:17:24 BRT 2018,Wed Nov 07 15:18:56 BRT 2018,91922,802451,85107,271355,1879,1764381,1700568,1700568,"0,036167358410683",64578,"0,993316774639592","0,600699928768311","0,748656290106242",38792,261,1699542,25786,"0,993316774639592","0,600699928768311","0,748656290106242","0,036167358410683",38792,261,1637475,24040
Alg17,Wed Nov 07 14:49:11 BRT 2018,Wed Nov 07 14:57:29 BRT 2018,498352,1336940,75266,409806,1879,1764381,1738231,1738231,"0,014821061890827",64578,"0,539111088638317","0,495307999628356","0,516282110258335",31986,27345,1672458,32592,"0,539111088638317","0,495307999628356","0,516282110258335","0,014821061890827",31986,27345,1637696,41204
Alg18,Wed Nov 07 14:52:27 BRT 2018,Wed Nov 07 14:53:00 BRT 2018,32747,1203733,134501,558027,1879,1764381,1713485,1713485,"0,028846377284725",64578,1,"0,492721979621543","0,660165772793759",31819,0,1699803,32759,1,"0,492721979621543","0,660165772793759","0,028846377284725",31819,0,1637729,43937
Alg19,Wed Nov 07 14:53:25 BRT 2018,Wed Nov 07 14:54:01 BRT 2018,35865,1176909,211551,565388,1879,1764381,1706760,1706760,"0,032657912321658",64578,1,"0,270122952088947","0,425349296530199",17444,0,1699803,47134,1,"0,270122952088947","0,425349296530199","0,032657912321658",17444,0,1637729,51587
Alg20,Wed Nov 07 14:56:17 BRT 2018,Wed Nov 07 14:56:48 BRT 2018,31008,946939,304827,599891,1879,1764381,1713501,1713501,"0,028837308948577",64578,1,"0,496190653163616","0,663271959511907",32043,0,1699803,32535,1,"0,496190653163616","0,663271959511907","0,028837308948577",32043,0,1637729,43729
Alg21,Wed Nov 07 15:06:54 BRT 2018,Wed Nov 07 15:11:19 BRT 2018,265175,1083118,114143,565262,1879,1764381,1724990,1724990,"0,02232567682377",64578,"0,331232988704001","0,514463129858466","0,402998562582257",33223,67078,1632725,31355,"0,331232988704001","0,514463129858466","0,402998562582257","0,02232567682377",33223,67078,1595867,28822
Alg22,Wed Nov 07 15:30:59 BRT 2018,Wed Nov 07 15:32:15 BRT 2018,76262,1009057,84590,311466,1879,1764381,1731626,1731626,"0,018564584406656",64578,"0,843262623244697","0,874105732602434","0,858407214221627",56448,10492,1689311,8130,"0,843262623244697","0,874105732602434","0,858407214221627","0,018564584406656",56448,10492,1633993,30693
