First Object;Second Object;similaridade
ACM.[309852];DBLP2.[journals/sigmod/Mackay99];0.7913343608379364
ACM.[673321];DBLP2.[conf/vldb/PoosalaI96];1.0
ACM.[673484];DBLP2.[conf/vldb/GardarinGT96];1.0
ACM.[673135];DBLP2.[conf/vldb/HoelS95];1.0
ACM.[304219];DBLP2.[conf/sigmod/Keim99];0.8022063076496124
ACM.[672977];DBLP2.[conf/vldb/KemperK94];1.0
ACM.[764221];DBLP2.[journals/vldb/SheikholeslamiCZ00];0.7736459076404572
ACM.[767145];DBLP2.[journals/vldb/ChangG01];1.0
ACM.[673491];DBLP2.[conf/vldb/ShaferAM96];1.0
ACM.[375774];DBLP2.[conf/sigmod/AgichteinGV01];0.7723032832145691
ACM.[672029];DBLP2.[conf/vldb/CuiW01];1.0
ACM.[565135];DBLP2.[journals/sigmod/Hammer02];0.8577630817890167
ACM.[671873];DBLP2.[conf/vldb/Bar-YossefBCFW00];1.0
ACM.[262763];DBLP2.[journals/sigmod/FernandezFLS97];0.7959291040897369
ACM.[673475];DBLP2.[conf/vldb/BertinoBFS96];1.0
ACM.[671496];DBLP2.[conf/vldb/ChenCFGJMTW99];1.0
ACM.[672999];DBLP2.[conf/vldb/Bernstein94];1.0
ACM.[672041];DBLP2.[conf/vldb/LuoN01];1.0
ACM.[945737];DBLP2.[journals/sigmod/PitouraAPSV03];1.0
ACM.[304573];DBLP2.[conf/sigmod/BraumandlKK99];0.8901960849761963
ACM.[672998];DBLP2.[conf/vldb/ZemankovaI94];1.0
ACM.[671016];DBLP2.[conf/vldb/BerckenSW97];1.0
ACM.[673498];DBLP2.[conf/vldb/CochranePM96];1.0
ACM.[767093];DBLP2.[journals/vldb/SaltenisJ02];1.0
ACM.[872779];DBLP2.[conf/sigmod/Dyreson03];0.7647149860858917
ACM.[641006];DBLP2.[journals/sigmod/ChakravarthyAEFO03];0.8482323288917542
ACM.[672984];DBLP2.[conf/vldb/OzdenBRS94];1.0
ACM.[671661];DBLP2.[conf/vldb/NinkHR99];1.0
ACM.[564737];DBLP2.[conf/sigmod/WangWYY02];1.0
ACM.[336575];DBLP2.[conf/sigmod/Rodriguez-Martinez00];0.7624361515045166
ACM.[336560];DBLP2.[conf/sigmod/ChenDLT00];0.7647180557250977
ACM.[671678];DBLP2.[conf/sigmod/ChenDLT00];0.7962848544120789
ACM.[604280];DBLP2.[journals/sigmod/MeltonE01];0.801495760679245
ACM.[673492];DBLP2.[conf/vldb/Sheth96];1.0
ACM.[248616];DBLP2.[journals/sigmod/ChaudhuriD97];0.7779342234134674
ACM.[672992];DBLP2.[journals/sigmod/ChaudhuriD97];0.7592119574546814
ACM.[191852];DBLP2.[conf/sigmod/BersonGMJ94];0.7625533938407898
ACM.[959073];DBLP2.[journals/sigmod/GerlaX03];1.0
ACM.[672997];DBLP2.[conf/vldb/PirotteZMY94];1.0
ACM.[375780];DBLP2.[conf/sigmod/DattaDRTV01];0.778580367565155
ACM.[190631];DBLP2.[journals/sigmod/Bertram94];0.8338873088359833
ACM.[375720];DBLP2.[conf/sigmod/TatarinovIHW01];1.0
ACM.[637435];DBLP2.[journals/sigmod/RoantreeS02];0.8389086723327637
ACM.[276386];DBLP2.[conf/sigmod/BaumannDFRW98];0.7728266417980194
ACM.[641270];DBLP2.[conf/vldb/AnSVKIG01];0.7665014863014221
ACM.[672374];DBLP2.[conf/vldb/AnSVKIG01];1.0
ACM.[671528];DBLP2.[conf/vldb/Graefe99];1.0
ACM.[564754];DBLP2.[conf/sigmod/Weininger02];1.0
ACM.[758380];DBLP2.[conf/vldb/ChristopheBPV00];1.0
ACM.[767143];DBLP2.[conf/vldb/ChristopheBPV00];0.8023092150688171
ACM.[671501];DBLP2.[conf/vldb/JagadishKNS99];1.0
ACM.[765516];DBLP2.[journals/vldb/HarderST99];0.7883895337581635
ACM.[304230];DBLP2.[conf/sigmod/Mohan99];0.8590608537197113
ACM.[673169];DBLP2.[conf/vldb/GardarinGT95];1.0
ACM.[671164];DBLP2.[conf/vldb/Garcia-MolinaLY98];1.0
ACM.[248618];DBLP2.[journals/sigmod/Qian97];0.8067944943904877
