First Object;Second Object;similaridade
ACM.[309852];DBLP2.[journals/sigmod/Mackay99];0.8762696385383606
ACM.[673321];DBLP2.[conf/vldb/PoosalaI96];0.8644184619188309
ACM.[507358];DBLP2.[conf/vldb/PalpanasSCP02];0.6982894241809845
ACM.[565127];DBLP2.[conf/vldb/PalpanasSCP02];0.7037167996168137
ACM.[673484];DBLP2.[conf/vldb/GardarinGT96];0.8054928928613663
ACM.[673135];DBLP2.[conf/vldb/HoelS95];0.8644184619188309
ACM.[304219];DBLP2.[conf/sigmod/Keim99];0.8332982808351517
ACM.[507358];DBLP2.[journals/sigmod/Ouksel02];0.7278590053319931
ACM.[565127];DBLP2.[journals/sigmod/Ouksel02];0.733693853020668
ACM.[765531];DBLP2.[journals/vldb/Seshadri98];0.8379409462213516
ACM.[273251];DBLP2.[journals/vldb/Seshadri98];0.7471873462200165
ACM.[672977];DBLP2.[conf/vldb/KemperK94];0.8644184619188309
ACM.[764221];DBLP2.[journals/vldb/SheikholeslamiCZ00];0.856205627322197
ACM.[767145];DBLP2.[journals/vldb/ChangG01];0.83119797706604
ACM.[673491];DBLP2.[conf/vldb/ShaferAM96];0.8644184619188309
ACM.[253304];DBLP2.[conf/sigmod/GriffinH97];0.8198420703411102
ACM.[672029];DBLP2.[conf/vldb/CuiW01];0.8644184619188309
ACM.[601859];DBLP2.[journals/sigmod/Hammer02];0.85566246509552
ACM.[507358];DBLP2.[journals/sigmod/Hammer02];0.7081535086035728
ACM.[565135];DBLP2.[journals/sigmod/Hammer02];0.8907326906919479
ACM.[565127];DBLP2.[journals/sigmod/Hammer02];0.713835708796978
ACM.[671873];DBLP2.[conf/vldb/Bar-YossefBCFW00];0.8644184619188309
ACM.[673475];DBLP2.[conf/vldb/BertinoBFS96];0.8202242851257324
ACM.[276374];DBLP2.[conf/sigmod/LiS98];0.7949222326278687
ACM.[671496];DBLP2.[conf/vldb/ChenCFGJMTW99];0.8403622061014175
ACM.[672999];DBLP2.[conf/vldb/Bernstein94];0.8644184619188309
ACM.[672041];DBLP2.[conf/vldb/LuoN01];0.7937077879905701
ACM.[945737];DBLP2.[journals/sigmod/PitouraAPSV03];0.8953071236610413
ACM.[304573];DBLP2.[conf/sigmod/BraumandlKK99];0.8531754165887833
ACM.[672998];DBLP2.[conf/vldb/ZemankovaI94];0.7937077879905701
ACM.[671016];DBLP2.[conf/vldb/BerckenSW97];0.8202242851257324
ACM.[673477];DBLP2.[conf/vldb/LabioG96];0.776030108332634
ACM.[673498];DBLP2.[conf/vldb/CochranePM96];0.8287041932344437
ACM.[507358];DBLP2.[journals/vldb/SaltenisJ02];0.67718905210495
ACM.[565127];DBLP2.[journals/vldb/SaltenisJ02];0.6800795942544937
ACM.[767093];DBLP2.[journals/vldb/SaltenisJ02];0.8678005188703537
ACM.[872779];DBLP2.[conf/sigmod/Dyreson03];0.8332982808351517
ACM.[641006];DBLP2.[journals/sigmod/ChakravarthyAEFO03];0.8515348881483078
ACM.[672984];DBLP2.[conf/vldb/OzdenBRS94];0.8102918714284897
ACM.[671661];DBLP2.[conf/vldb/NinkHR99];0.7922496795654297
ACM.[507358];DBLP2.[conf/sigmod/WangWYY02];0.7349916398525238
ACM.[564737];DBLP2.[conf/sigmod/WangWYY02];0.8638917058706284
ACM.[565127];DBLP2.[conf/sigmod/WangWYY02];0.7394142150878906
ACM.[671678];DBLP2.[conf/sigmod/ChenDLT00];0.7688751816749573
ACM.[604280];DBLP2.[journals/sigmod/MeltonE01];0.8584936857223511
ACM.[673492];DBLP2.[conf/vldb/Sheth96];0.8644184619188309
ACM.[253373];DBLP2.[journals/sigmod/ChaudhuriD97];0.8176425397396088
ACM.[248616];DBLP2.[journals/sigmod/ChaudhuriD97];0.8681624680757523
ACM.[191852];DBLP2.[conf/sigmod/BersonGMJ94];0.7990806996822357
ACM.[959073];DBLP2.[journals/sigmod/GerlaX03];0.9306624680757523
ACM.[672997];DBLP2.[conf/vldb/PirotteZMY94];0.8102918714284897
ACM.[190631];DBLP2.[journals/sigmod/Bertram94];0.8599517941474915
ACM.[375720];DBLP2.[conf/sigmod/TatarinovIHW01];0.8710341900587082
ACM.[507358];DBLP2.[journals/sigmod/RoantreeS02];0.7595574110746384
ACM.[565127];DBLP2.[journals/sigmod/RoantreeS02];0.7651161104440689
ACM.[637435];DBLP2.[journals/sigmod/RoantreeS02];0.815757617354393
ACM.[672374];DBLP2.[conf/vldb/AnSVKIG01];0.8391646444797516
ACM.[671528];DBLP2.[conf/vldb/Graefe99];0.8644184619188309
ACM.[507358];DBLP2.[conf/sigmod/Weininger02];0.6583428308367729
ACM.[564754];DBLP2.[conf/sigmod/Weininger02];0.903175413608551
ACM.[565127];DBLP2.[conf/sigmod/Weininger02];0.6611129269003868
ACM.[758380];DBLP2.[conf/vldb/ChristopheBPV00];0.8202242851257324
ACM.[671501];DBLP2.[conf/vldb/JagadishKNS99];0.8290631175041199
ACM.[304230];DBLP2.[conf/sigmod/Mohan99];0.8442498445510864
ACM.[671526];DBLP2.[conf/sigmod/Mohan99];0.7534371018409729
ACM.[673169];DBLP2.[conf/vldb/GardarinGT95];0.8054928928613663
ACM.[671164];DBLP2.[conf/vldb/Garcia-MolinaLY98];0.8054928928613663
ACM.[248618];DBLP2.[journals/sigmod/Qian97];0.8584936857223511
ACM.[673666];DBLP2.[conf/vldb/EicklerKK97];0.8227517902851105
ACM.[507358];DBLP2.[journals/sigmod/Liu02];0.707888625562191
ACM.[565127];DBLP2.[journals/sigmod/Liu02];0.7127252891659737
ACM.[507358];DBLP2.[conf/sigmod/ZhangMCMR02];0.75190868973732
ACM.[564767];DBLP2.[conf/sigmod/ZhangMCMR02];0.8710341900587082
ACM.[565127];DBLP2.[conf/sigmod/ZhangMCMR02];0.7572302371263504
ACM.[673149];DBLP2.[conf/vldb/MoserKK95];0.8054928928613663
ACM.[671500];DBLP2.[conf/vldb/Sarawagi99];0.8644184619188309
ACM.[673158];DBLP2.[conf/vldb/WuYCT95];0.8290631175041199
ACM.[191942];DBLP2.[conf/sigmod/Vaskevitch94];0.8521443754434586
ACM.[362091];DBLP2.[journals/sigmod/KantM00];0.872650533914566
ACM.[671692];DBLP2.[conf/vldb/PottingerL00];0.8644184619188309
ACM.[507358];DBLP2.[journals/sigmod/Snodgrass02];0.7278929799795151
ACM.[565127];DBLP2.[journals/sigmod/Snodgrass02];0.7333203554153442
ACM.[375689];DBLP2.[conf/sigmod/GionisGK01];0.8198420703411102
ACM.[507358];DBLP2.[conf/vldb/ChakrabartiRS02];0.6913230568170547
ACM.[565127];DBLP2.[conf/vldb/ChakrabartiRS02];0.6972088366746902
ACM.[672211];DBLP2.[conf/vldb/DayalHL01];0.8054928928613663
ACM.[671871];DBLP2.[conf/vldb/Bowker00];0.8644184619188309
ACM.[219056];DBLP2.[journals/tods/SrivastavaSRN95];0.828476682305336
ACM.[381901];DBLP2.[journals/sigmod/Qian96b];0.832604393362999
ACM.[234903];DBLP2.[journals/sigmod/Qian96b];0.8286003917455673
ACM.[245909];DBLP2.[journals/sigmod/Qian96b];0.7639957964420319
ACM.[672965];DBLP2.[conf/vldb/PoulovassilisS94];0.8644184619188309
ACM.[756643];DBLP2.[conf/vldb/DeutschPT99];0.8644184619188309
ACM.[672359];DBLP2.[conf/vldb/Sondag01];0.8644184619188309
ACM.[671018];DBLP2.[conf/vldb/ShaferA97];0.7937077879905701
ACM.[958947];DBLP2.[journals/tods/DiaoAFZF03];0.8807390779256821
ACM.[671351];DBLP2.[conf/vldb/Johnson99];0.8644184619188309
ACM.[671365];DBLP2.[conf/vldb/ChanI99];0.8644184619188309
ACM.[937599];DBLP2.[journals/tods/WijesekeraJPH03];0.8609526306390762
ACM.[276381];DBLP2.[conf/sigmod/AmbiteABKMMMPT98];0.8113245069980621
ACM.[503101];DBLP2.[journals/tods/MamoulisP01];0.8266908675432205
ACM.[310075];DBLP2.[journals/sigmod/EisenbergM99a];0.8411481082439423
ACM.[344864];DBLP2.[journals/sigmod/EisenbergM99a];0.8690317720174789
