Algoritmo;Start Time;End Time;Runtime in ms;Max. Memory in KB;Min. Memory in KB;Avg. Memory in KB;Number of Data Records;Number of Comparison Candidates;Number of created pairs;Number of actual comparisons;Reduction Ratio;Number of real Duplicates;Precision;Recall;F-Measure;True Positives;False Positives;True Negatives;False Negatives;Precision based on actual comparisons;Recall based on actual comparisons;F-Measure based on actual comparisons;Reduction Ratio based on actual comparisons;True Positives based on actual comparisons;False Positives based on actual comparisons;True Negatives based on actual comparisons;False Negatives based on actual comparisons
Alg1;Wed Oct 31 13:20:53 BRT 2018;Wed Oct 31 13:39:53 BRT 2018;1140017;206,638;10,310;34,057;4910;6001104;6001104;6001104;0;2224;0,904030710172745;0,635341726618705;0,746237127013467;1413;150;5998730;811;0,904030710172745;0,635341726618705;0,746237127013467;0;1413;150;5998730;811
Alg2;Wed Oct 31 14:00:13 BRT 2018;Wed Oct 31 14:01:49 BRT 2018;96366;524,163;8,436;206,038;4910;6001104;6001104;6001104;0;2224;0,289004661365506;0,473920863309353;0,359052972236416;1054;2593;5996287;1170;0,289004661365506;0,473920863309353;0,359052972236416;0;1054;2593;5996287;1170
Alg3;Wed Oct 31 13:33:55 BRT 2018;Wed Oct 31 13:35:23 BRT 2018;88461;928,680;9,400;211,929;4910;6001104;6001104;6001104;0;2224;0,876614987080103;0,610161870503597;0,719512195121951;1357;191;5998689;867;0,876614987080103;0,610161870503597;0,719512195121951;0;1357;191;5998689;867
Alg4;Wed Oct 31 13:26:32 BRT 2018;Wed Oct 31 13:28:05 BRT 2018;93194;911,494;9,771;264,362;4910;6001104;6001104;6001104;0;2224;0,925831202046036;0,325539568345324;0,481703260146374;724;58;5998822;1500;0,925831202046036;0,325539568345324;0,481703260146374;0;724;58;5998822;1500
Alg5;Wed Oct 31 13:21:23 BRT 2018;Wed Oct 31 13:25:57 BRT 2018;273825;754,637;10,119;113,490;4910;6001104;6001104;6001104;0;2224;0,91638418079096;0,364658273381295;0,521711161145063;811;74;5998806;1413;0,91638418079096;0,364658273381295;0,521711161145063;0;811;74;5998806;1413
Alg6;Wed Oct 31 14:05:57 BRT 2018;Wed Oct 31 14:07:25 BRT 2018;87761;913,143;19,439;218,964;4910;6001104;6001104;6001104;0;2224;0,686580882352941;0,335881294964029;0,451086956521739;747;341;5998539;1477;0,686580882352941;0,335881294964029;0,451086956521739;0;747;341;5998539;1477
Alg7;Wed Oct 31 13:41:33 BRT 2018;Wed Oct 31 13:45:44 BRT 2018;251129;878,934;18,277;205,369;4910;6001104;6001104;6001104;0;2224;0,909192825112108;0,364658273381295;0,520539152759949;811;81;5998799;1413;0,909192825112108;0,364658273381295;0,520539152759949;0;811;81;5998799;1413
Alg8;Wed Oct 31 13:34:48 BRT 2018;Wed Oct 31 13:39:29 BRT 2018;280131;991,789;11,885;142,579;4910;6001104;6001104;6001104;0;2224;0,897727272727273;0,426258992805755;0,578048780487805;948;108;5998772;1276;0,897727272727273;0,426258992805755;0,578048780487805;0;948;108;5998772;1276
Alg9;Wed Oct 31 13:34:10 BRT 2018;Wed Oct 31 13:35:28 BRT 2018;78338;858,691;38,075;267,269;4910;6001104;6001104;6001104;0;2224;0,832140015910899;0,470323741007194;0,600976730824476;1046;211;5998669;1178;0,832140015910899;0,470323741007194;0,600976730824476;0;1046;211;5998669;1178
Alg10;Wed Oct 31 13:35:52 BRT 2018;Wed Oct 31 13:37:20 BRT 2018;87910;1,216,533;14,615;304,043;4910;6001104;6001104;6001104;0;2224;0,839305711086226;0,674010791366906;0,747630922693267;1499;287;5998593;725;0,839305711086226;0,674010791366906;0,747630922693267;0;1499;287;5998593;725
