First Object;Second Object;similaridade
ACM.[309852];DBLP2.[journals/sigmod/Mackay99];0.9473938047885895
ACM.[673321];DBLP2.[conf/vldb/PoosalaI96];0.8723214343190193
ACM.[673135];DBLP2.[conf/vldb/HoelS95];0.8723214343190193
ACM.[304219];DBLP2.[conf/sigmod/Keim99];0.8697040677070618
ACM.[672977];DBLP2.[conf/vldb/KemperK94];0.8723214343190193
ACM.[673491];DBLP2.[conf/vldb/ShaferAM96];0.8723214343190193
ACM.[253304];DBLP2.[conf/sigmod/GriffinH97];0.8689696937799454
ACM.[672029];DBLP2.[conf/vldb/CuiW01];0.8723214343190193
ACM.[565135];DBLP2.[journals/sigmod/Hammer02];0.9505986124277115
ACM.[253403];DBLP2.[journals/sigmod/FernandezFLS97];0.7191753461956978
ACM.[276374];DBLP2.[conf/sigmod/LiS98];0.8641737699508667
ACM.[671496];DBLP2.[conf/vldb/ChenCFGJMTW99];0.7850198522210121
ACM.[672999];DBLP2.[conf/vldb/Bernstein94];0.8723214343190193
ACM.[945737];DBLP2.[journals/sigmod/PitouraAPSV03];0.8865983635187149
ACM.[304573];DBLP2.[conf/sigmod/BraumandlKK99];0.8754972964525223
ACM.[673498];DBLP2.[conf/vldb/CochranePM96];0.849780447781086
ACM.[872779];DBLP2.[conf/sigmod/Dyreson03];0.8664926141500473
ACM.[641006];DBLP2.[journals/sigmod/ChakravarthyAEFO03];0.9420685023069382
ACM.[564737];DBLP2.[conf/sigmod/WangWYY02];0.8180035501718521
ACM.[336560];DBLP2.[conf/sigmod/ChenDLT00];0.7764850854873657
ACM.[671678];DBLP2.[conf/sigmod/ChenDLT00];0.7424800023436546
ACM.[604280];DBLP2.[journals/sigmod/MeltonE01];0.9498085826635361
ACM.[673492];DBLP2.[conf/vldb/Sheth96];0.8723214343190193
ACM.[248616];DBLP2.[journals/sigmod/ChaudhuriD97];0.9478171616792679
ACM.[191852];DBLP2.[conf/sigmod/BersonGMJ94];0.7960289567708969
ACM.[959073];DBLP2.[journals/sigmod/GerlaX03];0.9576210826635361
ACM.[187445];DBLP2.[journals/sigmod/Klein94];0.861787736415863
ACM.[672997];DBLP2.[conf/vldb/PirotteZMY94];0.8016692623496056
ACM.[190631];DBLP2.[journals/sigmod/Bertram94];0.9483618289232254
ACM.[375720];DBLP2.[conf/sigmod/TatarinovIHW01];0.8017928153276443
ACM.[671528];DBLP2.[conf/vldb/Graefe99];0.8723214343190193
ACM.[564754];DBLP2.[conf/sigmod/Weininger02];0.8791737705469131
ACM.[671501];DBLP2.[conf/vldb/JagadishKNS99];0.8050137385725975
ACM.[304230];DBLP2.[conf/sigmod/Mohan99];0.873491957783699
ACM.[234890];DBLP2.[journals/sigmod/Camps96];0.8849859535694122
ACM.[673484];DBLP2.[conf/vldb/GardarinGT95];0.6737103089690208
ACM.[673169];DBLP2.[conf/vldb/GardarinGT95];0.7889880910515785
ACM.[248618];DBLP2.[journals/sigmod/Qian97];0.950545608997345
ACM.[673666];DBLP2.[conf/vldb/EicklerKK97];0.8473214283585548
ACM.[202107];DBLP2.[journals/tods/AikenHW95];0.880634143948555
ACM.[276359];DBLP2.[conf/sigmod/Spiro98];0.8164559900760651
ACM.[671500];DBLP2.[conf/vldb/Sarawagi99];0.8723214343190193
ACM.[673158];DBLP2.[conf/vldb/WuYCT95];0.8268668875098228
ACM.[191942];DBLP2.[conf/sigmod/Vaskevitch94];0.8686103969812393
ACM.[223882];DBLP2.[conf/sigmod/Sheth95];0.7714814692735672
ACM.[671692];DBLP2.[conf/vldb/PottingerL00];0.8723214343190193
ACM.[507369];DBLP2.[journals/sigmod/Snodgrass02];0.8982460796833038
ACM.[375689];DBLP2.[conf/sigmod/GionisGK01];0.7788249403238297
ACM.[671871];DBLP2.[conf/vldb/Bowker00];0.8723214343190193
ACM.[191856];DBLP2.[conf/sigmod/GibbsBT94];0.850864365696907
ACM.[219056];DBLP2.[journals/tods/SrivastavaSRN95];0.9167072474956512
ACM.[375688];DBLP2.[conf/sigmod/ChenGM01];0.7842385172843933
ACM.[245909];DBLP2.[journals/sigmod/Qian96b];0.9220607429742813
ACM.[672965];DBLP2.[conf/vldb/PoulovassilisS94];0.8723214343190193
ACM.[756643];DBLP2.[conf/vldb/DeutschPT99];0.7878619804978371
ACM.[672359];DBLP2.[conf/vldb/Sondag01];0.8723214343190193
ACM.[872790];DBLP2.[conf/sigmod/GangulyGR03];0.8535029739141464
ACM.[671351];DBLP2.[conf/vldb/Johnson99];0.8723214343190193
ACM.[671365];DBLP2.[conf/vldb/ChanI99];0.8723214343190193
ACM.[190648];DBLP2.[journals/sigmod/MattosD94];0.9081419110298157
ACM.[344864];DBLP2.[journals/sigmod/EisenbergM99a];0.9435081779956818
