First Object;Second Object;similaridade
ACM.[309852];DBLP2.[journals/sigmod/Mackay99];0.9863636295000712
ACM.[673321];DBLP2.[conf/vldb/PoosalaI96];1.0
ACM.[673135];DBLP2.[conf/vldb/HoelS95];1.0
ACM.[304219];DBLP2.[conf/sigmod/Keim99];0.9873737295468649
ACM.[765531];DBLP2.[journals/vldb/Seshadri98];0.9830508430798849
ACM.[672977];DBLP2.[conf/vldb/KemperK94];1.0
ACM.[673491];DBLP2.[conf/vldb/ShaferAM96];1.0
ACM.[253304];DBLP2.[conf/sigmod/GriffinH97];0.9863945643107096
ACM.[672029];DBLP2.[conf/vldb/CuiW01];1.0
ACM.[565135];DBLP2.[journals/sigmod/Hammer02];0.9906367063522339
ACM.[276374];DBLP2.[conf/sigmod/LiS98];0.9799999992052714
ACM.[672999];DBLP2.[conf/vldb/Bernstein94];1.0
ACM.[945737];DBLP2.[journals/sigmod/PitouraAPSV03];0.9053030411402384
ACM.[304573];DBLP2.[conf/sigmod/BraumandlKK99];0.9950980345408121
ACM.[673498];DBLP2.[conf/vldb/CochranePM96];0.9699453512827555
ACM.[767093];DBLP2.[journals/vldb/SaltenisJ02];0.9563492139180502
ACM.[872779];DBLP2.[conf/sigmod/Dyreson03];0.9830917914708456
ACM.[641006];DBLP2.[journals/sigmod/ChakravarthyAEFO03];0.9792632261912028
ACM.[564737];DBLP2.[conf/sigmod/WangWYY02];0.9184397061665853
ACM.[671678];DBLP2.[conf/sigmod/ChenDLT00];0.8419496814409891
ACM.[604280];DBLP2.[journals/sigmod/MeltonE01];0.9895833333333334
ACM.[673492];DBLP2.[conf/vldb/Sheth96];1.0
ACM.[248616];DBLP2.[journals/sigmod/ChaudhuriD97];0.9869281053543091
ACM.[191852];DBLP2.[conf/sigmod/BersonGMJ94];0.889140248298645
ACM.[959073];DBLP2.[journals/sigmod/GerlaX03];1.0
ACM.[672997];DBLP2.[conf/vldb/PirotteZMY94];0.9057971040407816
ACM.[190631];DBLP2.[journals/sigmod/Bertram94];0.9876543283462524
