First Object;Second Object;similaridade
ACM.[309852];DBLP2.[journals/sigmod/Mackay99];0.9795454442501068
ACM.[673321];DBLP2.[conf/vldb/PoosalaI96];1.0
ACM.[673484];DBLP2.[conf/vldb/GardarinGT96];1.0
ACM.[672963];DBLP2.[conf/vldb/GardarinGT96];0.7902777791023254
ACM.[673135];DBLP2.[conf/vldb/HoelS95];1.0
ACM.[304219];DBLP2.[conf/sigmod/Keim99];0.9810605943202972
ACM.[673655];DBLP2.[conf/sigmod/Keim99];0.8194444477558136
ACM.[253263];DBLP2.[conf/sigmod/Keim99];0.7935606241226196
ACM.[673628];DBLP2.[journals/vldb/Seshadri98];0.7916666865348816
ACM.[765531];DBLP2.[journals/vldb/Seshadri98];0.9745762646198273
ACM.[262769];DBLP2.[journals/sigmod/RamamrithamS97];0.9802631735801697
ACM.[234902];DBLP2.[journals/sigmod/DAndreaJ96];0.9746376872062683
ACM.[672977];DBLP2.[conf/vldb/KemperK94];1.0
ACM.[872855];DBLP2.[conf/sigmod/AbadiCCCCEGHMRSSTXYZ03];0.967948704957962
ACM.[872878];DBLP2.[conf/sigmod/AbadiCCCCEGHMRSSTXYZ03];0.8653846085071564
ACM.[765752];DBLP2.[journals/vldb/SivasankaranSTPR96];0.9744898080825806
ACM.[764221];DBLP2.[journals/vldb/SheikholeslamiCZ00];0.9691011309623718
ACM.[767145];DBLP2.[journals/vldb/ChangG01];1.0
ACM.[673491];DBLP2.[conf/vldb/ShaferAM96];1.0
ACM.[375774];DBLP2.[conf/sigmod/AgichteinGV01];0.9753086566925049
ACM.[253304];DBLP2.[conf/sigmod/GriffinH97];0.9795918464660645
ACM.[765552];DBLP2.[journals/vldb/IoannidisNSS97];0.9827586114406586
ACM.[234894];DBLP2.[journals/vldb/IoannidisNSS97];0.7946428656578064
ACM.[672834];DBLP2.[journals/vldb/IoannidisNSS97];0.8125
ACM.[672029];DBLP2.[conf/vldb/CuiW01];1.0
ACM.[775456];DBLP2.[conf/vldb/CuiW01];0.9159482717514038
ACM.[565135];DBLP2.[journals/sigmod/Hammer02];0.9859550595283508
ACM.[671873];DBLP2.[conf/vldb/Bar-YossefBCFW00];1.0
ACM.[276375];DBLP2.[journals/sigmod/FernandezFLS97];0.7895408272743225
ACM.[673631];DBLP2.[journals/sigmod/FernandezFLS97];0.7895408272743225
ACM.[191967];DBLP2.[journals/sigmod/FernandezFLS97];0.7946428656578064
ACM.[262763];DBLP2.[journals/sigmod/FernandezFLS97];0.9744898080825806
ACM.[253403];DBLP2.[journals/sigmod/FernandezFLS97];0.8775510191917419
ACM.[673475];DBLP2.[conf/vldb/BertinoBFS96];1.0
ACM.[276374];DBLP2.[conf/sigmod/LiS98];0.9699999988079071
ACM.[671032];DBLP2.[conf/sigmod/LiS98];0.8529411554336548
ACM.[671496];DBLP2.[conf/vldb/ChenCFGJMTW99];1.0
ACM.[276358];DBLP2.[conf/vldb/Bernstein94];0.824999988079071
ACM.[672999];DBLP2.[conf/vldb/Bernstein94];1.0
ACM.[375736];DBLP2.[conf/vldb/LuoN01];0.8669354915618896
ACM.[672041];DBLP2.[conf/vldb/LuoN01];1.0
ACM.[765527];DBLP2.[journals/vldb/AbiteboulCM98];0.9705882370471954
ACM.[945737];DBLP2.[journals/sigmod/PitouraAPSV03];1.0
ACM.[304573];DBLP2.[conf/sigmod/BraumandlKK99];0.9926470518112183
ACM.[671185];DBLP2.[conf/sigmod/BraumandlKK99];0.7980769276618958
ACM.[672998];DBLP2.[conf/vldb/ZemankovaI94];1.0
ACM.[671016];DBLP2.[conf/vldb/BerckenSW97];1.0
ACM.[673477];DBLP2.[conf/vldb/LabioG96];1.0
ACM.[673498];DBLP2.[conf/vldb/CochranePM96];1.0
ACM.[223844];DBLP2.[conf/vldb/CochranePM96];0.7916666865348816
ACM.[564782];DBLP2.[conf/vldb/HristidisGP03];0.8499999940395355
ACM.[767093];DBLP2.[journals/vldb/SaltenisJ02];1.0
ACM.[872779];DBLP2.[conf/sigmod/Dyreson03];0.9746376872062683
ACM.[641006];DBLP2.[journals/sigmod/ChakravarthyAEFO03];0.9924242496490479
ACM.[212023];DBLP2.[journals/sigmod/KimballS95];0.9602272808551788
ACM.[672984];DBLP2.[conf/vldb/OzdenBRS94];1.0
ACM.[671661];DBLP2.[conf/vldb/NinkHR99];1.0
ACM.[564737];DBLP2.[conf/sigmod/WangWYY02];1.0
ACM.[336575];DBLP2.[conf/sigmod/Rodriguez-Martinez00];0.9759615361690521
ACM.[336560];DBLP2.[conf/sigmod/ChenDLT00];0.9549999833106995
ACM.[564767];DBLP2.[conf/sigmod/ChenDLT00];0.8075000047683716
ACM.[671678];DBLP2.[conf/sigmod/ChenDLT00];0.8950000107288361
ACM.[604280];DBLP2.[journals/sigmod/MeltonE01];0.984375
ACM.[673492];DBLP2.[conf/vldb/Sheth96];1.0
ACM.[248616];DBLP2.[journals/sigmod/ChaudhuriD97];0.9803921580314636
ACM.[191852];DBLP2.[conf/sigmod/BersonGMJ94];0.9807692170143127
ACM.[672972];DBLP2.[conf/sigmod/BersonGMJ94];0.8557692170143127
ACM.[959073];DBLP2.[journals/sigmod/GerlaX03];1.0
ACM.[187445];DBLP2.[journals/sigmod/Klein94];0.9749999940395355
ACM.[672997];DBLP2.[conf/vldb/PirotteZMY94];1.0
ACM.[375780];DBLP2.[conf/sigmod/DattaDRTV01];0.9736842215061188
ACM.[190631];DBLP2.[journals/sigmod/Bertram94];0.9814814925193787
ACM.[375720];DBLP2.[conf/sigmod/TatarinovIHW01];1.0
ACM.[637435];DBLP2.[journals/sigmod/RoantreeS02];0.991525411605835
ACM.[276386];DBLP2.[conf/sigmod/BaumannDFRW98];0.9833333194255829
ACM.[641270];DBLP2.[conf/vldb/AnSVKIG01];0.8343749940395355
ACM.[672374];DBLP2.[conf/vldb/AnSVKIG01];1.0
ACM.[671528];DBLP2.[conf/vldb/Graefe99];1.0
ACM.[375674];DBLP2.[conf/sigmod/Weininger02];0.7885638475418091
ACM.[564754];DBLP2.[conf/sigmod/Weininger02];1.0
ACM.[758380];DBLP2.[conf/vldb/ChristopheBPV00];1.0
ACM.[767143];DBLP2.[conf/vldb/ChristopheBPV00];0.9124999940395355
ACM.[276344];DBLP2.[conf/vldb/JagadishKNS99];0.8002451062202454
ACM.[671501];DBLP2.[conf/vldb/JagadishKNS99];1.0
ACM.[765516];DBLP2.[journals/vldb/HarderST99];0.9791666567325592
ACM.[304230];DBLP2.[conf/sigmod/Mohan99];0.9886363744735718
