First Object;Second Object;similaridade
ACM.[309852];DBLP2.[journals/sigmod/Mackay99];0.884219765663147
ACM.[673321];DBLP2.[conf/vldb/PoosalaI96];0.9096123079458872
ACM.[673484];DBLP2.[conf/vldb/GardarinGT96];0.8310448825359344
ACM.[673135];DBLP2.[conf/vldb/HoelS95];0.9096123079458872
ACM.[304219];DBLP2.[conf/sigmod/Keim99];0.8695190449555715
ACM.[672977];DBLP2.[conf/vldb/KemperK94];0.9096123079458872
ACM.[764221];DBLP2.[journals/vldb/SheikholeslamiCZ00];0.8697489798069
ACM.[767145];DBLP2.[journals/vldb/ChangG01];0.8297302921613058
ACM.[673491];DBLP2.[conf/vldb/ShaferAM96];0.9096123079458872
ACM.[375774];DBLP2.[conf/sigmod/AgichteinGV01];0.8124109109242758
ACM.[672029];DBLP2.[conf/vldb/CuiW01];0.9096123079458872
ACM.[565135];DBLP2.[journals/sigmod/Hammer02];0.9063626726468405
ACM.[671873];DBLP2.[conf/vldb/Bar-YossefBCFW00];0.9096123079458872
ACM.[262763];DBLP2.[journals/sigmod/FernandezFLS97];0.8219936887423197
ACM.[673475];DBLP2.[conf/vldb/BertinoBFS96];0.8506867388884226
ACM.[671496];DBLP2.[conf/vldb/ChenCFGJMTW99];0.8775373001893362
ACM.[672999];DBLP2.[conf/vldb/Bernstein94];0.9096123079458872
ACM.[672041];DBLP2.[conf/vldb/LuoN01];0.8153314093748728
ACM.[945737];DBLP2.[journals/sigmod/PitouraAPSV03];0.9066345194975535
ACM.[304573];DBLP2.[conf/sigmod/BraumandlKK99];0.8988489707310995
ACM.[672998];DBLP2.[conf/vldb/ZemankovaI94];0.8153314093748728
ACM.[671016];DBLP2.[conf/vldb/BerckenSW97];0.8506867388884226
ACM.[673498];DBLP2.[conf/vldb/CochranePM96];0.861993283033371
ACM.[767093];DBLP2.[journals/vldb/SaltenisJ02];0.878533681233724
ACM.[872779];DBLP2.[conf/sigmod/Dyreson03];0.8570219377676646
ACM.[641006];DBLP2.[journals/sigmod/ChakravarthyAEFO03];0.864348977804184
ACM.[672984];DBLP2.[conf/vldb/OzdenBRS94];0.8374435206254324
ACM.[671661];DBLP2.[conf/vldb/NinkHR99];0.813387264808019
ACM.[564737];DBLP2.[conf/sigmod/WangWYY02];0.8830719987551371
ACM.[336575];DBLP2.[conf/sigmod/Rodriguez-Martinez00];0.8177723089853922
ACM.[336560];DBLP2.[conf/sigmod/ChenDLT00];0.7980973919232687
ACM.[671678];DBLP2.[conf/sigmod/ChenDLT00];0.7818822860717773
ACM.[604280];DBLP2.[journals/sigmod/MeltonE01];0.8876068989435831
ACM.[673492];DBLP2.[conf/vldb/Sheth96];0.9096123079458872
ACM.[248616];DBLP2.[journals/sigmod/ChaudhuriD97];0.879753053188324
ACM.[672992];DBLP2.[journals/sigmod/ChaudhuriD97];0.6912118196487427
ACM.[191852];DBLP2.[conf/sigmod/BersonGMJ94];0.8286195794741312
ACM.[959073];DBLP2.[journals/sigmod/GerlaX03];0.9537749787171682
ACM.[672997];DBLP2.[conf/vldb/PirotteZMY94];0.8374435206254324
ACM.[375780];DBLP2.[conf/sigmod/DattaDRTV01];0.8093729019165039
ACM.[190631];DBLP2.[journals/sigmod/Bertram94];0.898404081662496
ACM.[375720];DBLP2.[conf/sigmod/TatarinovIHW01];0.8925953110059103
ACM.[637435];DBLP2.[journals/sigmod/RoantreeS02];0.8057969709237417
ACM.[276386];DBLP2.[conf/sigmod/BaumannDFRW98];0.7654449244340261
ACM.[641270];DBLP2.[conf/vldb/AnSVKIG01];0.8087144792079926
ACM.[672374];DBLP2.[conf/vldb/AnSVKIG01];0.8759405513604482
ACM.[671528];DBLP2.[conf/vldb/Graefe99];0.9096123079458872
ACM.[564754];DBLP2.[conf/sigmod/Weininger02];0.935450275739034
ACM.[758380];DBLP2.[conf/vldb/ChristopheBPV00];0.8506867388884226
ACM.[767143];DBLP2.[conf/vldb/ChristopheBPV00];0.859664112329483
ACM.[671501];DBLP2.[conf/vldb/JagadishKNS99];0.8624718487262726
ACM.[765516];DBLP2.[journals/vldb/HarderST99];0.7635523974895477
ACM.[304230];DBLP2.[conf/sigmod/Mohan99];0.8884705603122711
ACM.[673169];DBLP2.[conf/vldb/GardarinGT95];0.8310448825359344
ACM.[671164];DBLP2.[conf/vldb/Garcia-MolinaLY98];0.8310448825359344
ACM.[248618];DBLP2.[journals/sigmod/Qian97];0.8893731435139974
ACM.[673666];DBLP2.[conf/vldb/EicklerKK97];0.8540567457675934
ACM.[375690];DBLP2.[conf/sigmod/HristidisKP01];0.7884318927923838
ACM.[564767];DBLP2.[conf/sigmod/ZhangMCMR02];0.8925953110059103
ACM.[202107];DBLP2.[journals/tods/AikenHW95];0.8068200945854187
ACM.[673149];DBLP2.[conf/vldb/MoserKK95];0.8310448825359344
ACM.[671500];DBLP2.[conf/vldb/Sarawagi99];0.9096123079458872
ACM.[673158];DBLP2.[conf/vldb/WuYCT95];0.8624718487262726
ACM.[672966];DBLP2.[conf/vldb/WuYCT95];0.7103931208451589
ACM.[191942];DBLP2.[conf/sigmod/Vaskevitch94];0.8723817865053812
ACM.[362091];DBLP2.[journals/sigmod/KantM00];0.8784709870815277
ACM.[671692];DBLP2.[conf/vldb/PottingerL00];0.9096123079458872
ACM.[507369];DBLP2.[journals/sigmod/Snodgrass02];0.7772673765818278
ACM.[375689];DBLP2.[conf/sigmod/GionisGK01];0.8550185064474741
ACM.[950488];DBLP2.[conf/vldb/ChakrabartiRS02];0.7831551233927408
ACM.[672211];DBLP2.[conf/vldb/DayalHL01];0.8310448825359344
ACM.[671871];DBLP2.[conf/vldb/Bowker00];0.9096123079458872
ACM.[191856];DBLP2.[conf/sigmod/GibbsBT94];0.8165978988011678
ACM.[219056];DBLP2.[journals/tods/SrivastavaSRN95];0.8687491118907928
ACM.[375688];DBLP2.[conf/sigmod/ChenGM01];0.8116974830627441
ACM.[672965];DBLP2.[conf/vldb/PoulovassilisS94];0.9096123079458872
ACM.[756643];DBLP2.[conf/vldb/DeutschPT99];0.9096123079458872
ACM.[304209];DBLP2.[conf/sigmod/IvesFFLW99];0.8120274146397909
ACM.[672359];DBLP2.[conf/vldb/Sondag01];0.9096123079458872
ACM.[671018];DBLP2.[conf/vldb/ShaferA97];0.8153314093748728
