First Object;Second Object;similaridade
ACM.[309852];DBLP2.[journals/sigmod/Mackay99];0.7824286818504333
ACM.[673321];DBLP2.[conf/vldb/PoosalaI96];1.0
ACM.[673484];DBLP2.[conf/vldb/GardarinGT96];0.7642977237701416
ACM.[673135];DBLP2.[conf/vldb/HoelS95];1.0
ACM.[672977];DBLP2.[conf/vldb/KemperK94];1.0
ACM.[601871];DBLP2.[conf/sigmod/AbadiCCCCEGHMRSSTXYZ03];0.7657623887062073
ACM.[507358];DBLP2.[conf/sigmod/AbadiCCCCEGHMRSSTXYZ03];0.8090957403182983
ACM.[565131];DBLP2.[conf/sigmod/AbadiCCCCEGHMRSSTXYZ03];0.7785962820053101
ACM.[565127];DBLP2.[conf/sigmod/AbadiCCCCEGHMRSSTXYZ03];0.8264898061752319
ACM.[641004];DBLP2.[conf/sigmod/AbadiCCCCEGHMRSSTXYZ03];0.7574643492698669
ACM.[959080];DBLP2.[conf/sigmod/AbadiCCCCEGHMRSSTXYZ03];0.7785962820053101
ACM.[945741];DBLP2.[conf/sigmod/AbadiCCCCEGHMRSSTXYZ03];0.7834390997886658
ACM.[764221];DBLP2.[journals/vldb/SheikholeslamiCZ00];0.753620445728302
ACM.[671018];DBLP2.[conf/vldb/ShaferAM96];0.7530675530433655
ACM.[673491];DBLP2.[conf/vldb/ShaferAM96];1.0
ACM.[672029];DBLP2.[conf/vldb/CuiW01];1.0
ACM.[565135];DBLP2.[journals/sigmod/Hammer02];0.8402808904647827
ACM.[777000];DBLP2.[journals/sigmod/Hammer02];0.7601370215415955
ACM.[671873];DBLP2.[conf/vldb/Bar-YossefBCFW00];1.0
ACM.[673475];DBLP2.[conf/vldb/BertinoBFS96];0.8232232928276062
ACM.[671496];DBLP2.[conf/vldb/ChenCFGJMTW99];0.9037749767303467
ACM.[672999];DBLP2.[conf/vldb/Bernstein94];1.0
ACM.[945737];DBLP2.[journals/sigmod/PitouraAPSV03];0.858578622341156
ACM.[304573];DBLP2.[conf/sigmod/BraumandlKK99];0.800000011920929
ACM.[671016];DBLP2.[conf/vldb/BerckenSW97];0.8232232928276062
ACM.[673498];DBLP2.[conf/vldb/CochranePM96];0.8571429252624512
ACM.[767093];DBLP2.[journals/vldb/SaltenisJ02];0.800000011920929
ACM.[641006];DBLP2.[journals/sigmod/ChakravarthyAEFO03];0.800000011920929
ACM.[672984];DBLP2.[conf/vldb/OzdenBRS94];0.7834936380386353
ACM.[564737];DBLP2.[conf/sigmod/WangWYY02];0.8428651690483093
ACM.[671678];DBLP2.[conf/sigmod/ChenDLT00];0.800000011920929
ACM.[673492];DBLP2.[conf/vldb/Sheth96];1.0
ACM.[248616];DBLP2.[journals/sigmod/ChaudhuriD97];0.75
ACM.[959073];DBLP2.[journals/sigmod/GerlaX03];1.0
ACM.[672997];DBLP2.[conf/vldb/PirotteZMY94];0.7834936380386353
ACM.[375780];DBLP2.[conf/sigmod/DattaDRTV01];0.7567479014396667
ACM.[672364];DBLP2.[conf/sigmod/DattaDRTV01];0.7984828948974609
ACM.[777000];DBLP2.[conf/sigmod/DattaDRTV01];0.7522377371788025
ACM.[375720];DBLP2.[conf/sigmod/TatarinovIHW01];0.8714351058006287
ACM.[641270];DBLP2.[conf/vldb/AnSVKIG01];0.803342878818512
ACM.[672374];DBLP2.[conf/vldb/AnSVKIG01];0.8989847302436829
ACM.[671528];DBLP2.[conf/vldb/Graefe99];1.0
ACM.[564754];DBLP2.[conf/sigmod/Weininger02];1.0
ACM.[758380];DBLP2.[conf/vldb/ChristopheBPV00];0.8232232928276062
ACM.[671501];DBLP2.[conf/vldb/JagadishKNS99];0.858578622341156
ACM.[304230];DBLP2.[conf/sigmod/Mohan99];0.7642977237701416
ACM.[673169];DBLP2.[conf/vldb/GardarinGT95];0.7642977237701416
ACM.[671164];DBLP2.[conf/vldb/Garcia-MolinaLY98];0.7642977237701416
ACM.[673666];DBLP2.[conf/vldb/EicklerKK97];0.8333333134651184
ACM.[375690];DBLP2.[conf/sigmod/HristidisKP01];0.7594771385192871
ACM.[564767];DBLP2.[conf/sigmod/ZhangMCMR02];0.8714351058006287
ACM.[202107];DBLP2.[journals/tods/AikenHW95];0.7594771385192871
ACM.[673149];DBLP2.[conf/vldb/MoserKK95];0.7642977237701416
ACM.[671500];DBLP2.[conf/vldb/Sarawagi99];1.0
ACM.[615216];DBLP2.[conf/vldb/WuYCT95];0.7503389716148376
ACM.[673158];DBLP2.[conf/vldb/WuYCT95];0.858578622341156
ACM.[191942];DBLP2.[conf/sigmod/Vaskevitch94];0.7958758473396301
ACM.[362091];DBLP2.[journals/sigmod/KantM00];0.7679522633552551
ACM.[777000];DBLP2.[journals/sigmod/KantM00];0.7530021071434021
ACM.[671692];DBLP2.[conf/vldb/PottingerL00];1.0
ACM.[672211];DBLP2.[conf/vldb/DayalHL01];0.7642977237701416
ACM.[671871];DBLP2.[conf/vldb/Bowker00];1.0
ACM.[672965];DBLP2.[conf/vldb/PoulovassilisS94];1.0
ACM.[756643];DBLP2.[conf/vldb/DeutschPT99];1.0
ACM.[672359];DBLP2.[conf/vldb/Sondag01];1.0
ACM.[673491];DBLP2.[conf/vldb/ShaferA97];0.7530675530433655
ACM.[958947];DBLP2.[journals/tods/DiaoAFZF03];0.8626394271850586
ACM.[671351];DBLP2.[conf/vldb/Johnson99];1.0
ACM.[671365];DBLP2.[conf/vldb/ChanI99];1.0
ACM.[937599];DBLP2.[journals/tods/WijesekeraJPH03];0.7834936380386353
ACM.[673158];DBLP2.[conf/sigmod/AmbiteABKMMMPT98];0.7574643492698669
ACM.[248611];DBLP2.[conf/sigmod/AmbiteABKMMMPT98];0.7620845437049866
