First Object;Second Object;similaridade
cd.[4975];cd.[5889];0.9583333283662796
cd.[5577];cd.[8990];0.9427083283662796
cd.[7008];cd.[8831];1.0
cd.[3475];cd.[8592];0.9565972238779068
cd.[4586];cd.[7633];0.9625668376684189
cd.[8224];cd.[8754];1.0
cd.[10240];cd.[7367];0.9833333343267441
cd.[5426];cd.[7869];1.0
cd.[4732];cd.[4911];1.0
cd.[3192];cd.[7923];0.9749999940395355
cd.[4395];cd.[8725];0.9555555582046509
cd.[6948];cd.[7365];0.9661904722452164
cd.[6339];cd.[7517];1.0
cd.[7852];cd.[8029];1.0
cd.[10383];cd.[7852];1.0
cd.[10230];cd.[7852];0.9474359005689621
cd.[6858];cd.[7852];0.9247086197137833
cd.[10383];cd.[8029];1.0
cd.[10230];cd.[8029];0.9474359005689621
cd.[6858];cd.[8029];0.9247086197137833
cd.[10230];cd.[10383];0.9474359005689621
cd.[10383];cd.[6858];0.9247086197137833
cd.[10230];cd.[6858];0.938811182975769
cd.[7350];cd.[8473];1.0
cd.[10938];cd.[11125];1.0
cd.[10064];cd.[2819];1.0
cd.[4297];cd.[4306];1.0
cd.[4297];cd.[8636];1.0
cd.[4306];cd.[8636];1.0
cd.[6925];cd.[6926];0.9791666716337204
cd.[4291];cd.[4905];1.0
cd.[6722];cd.[7707];1.0
cd.[3722];cd.[8453];1.0
cd.[6719];cd.[8453];1.0
cd.[3722];cd.[6719];1.0
cd.[7201];cd.[8536];1.0
cd.[7606];cd.[8538];1.0
cd.[7671];cd.[8759];1.0
cd.[5360];cd.[8430];0.9001748263835907
cd.[9333];cd.[9450];0.984375
cd.[9348];cd.[9485];0.96875
cd.[5477];cd.[9076];0.9833333343267441
cd.[5477];cd.[8368];0.9666666686534882
cd.[8368];cd.[9076];0.9833333343267441
cd.[6771];cd.[8507];1.0
cd.[8609];cd.[9130];0.9500000029802322
cd.[4843];cd.[8794];0.9666666686534882
cd.[7346];cd.[7719];1.0
cd.[4851];cd.[7708];1.0
cd.[8890];cd.[9063];0.964880958199501
cd.[6802];cd.[8890];0.964880958199501
cd.[6802];cd.[9063];1.0
cd.[4419];cd.[7644];0.984375
cd.[102361];cd.[103634];0.9516128897666931
cd.[5731];cd.[8779];1.0
cd.[7123];cd.[9038];0.960526317358017
cd.[6272];cd.[7460];1.0
cd.[7980];cd.[9790];0.9577643573284149
cd.[7604];cd.[9790];0.903623953461647
cd.[7604];cd.[7980];0.9458595961332321
cd.[8043];cd.[8234];1.0
cd.[11150];cd.[8901];0.9659090936183929
cd.[9421];cd.[9489];0.9749999940395355
cd.[7161];cd.[8131];0.9722222238779068
cd.[2813];cd.[3155];0.9653679579496384
cd.[6740];cd.[9193];0.9807692319154739
cd.[7061];cd.[7469];1.0
cd.[5835];cd.[9278];0.9583333283662796
cd.[5921];cd.[8423];1.0
cd.[7361];cd.[7750];1.0
cd.[8265];cd.[9149];1.0
cd.[1858];cd.[9637];1.0
cd.[5988];cd.[8859];1.0
cd.[6944];cd.[9868];0.9821428507566452
cd.[6358];cd.[9694];0.9698996692895889
cd.[8311];cd.[8312];1.0
cd.[8344];cd.[9229];0.9583333283662796
cd.[7094];cd.[9189];0.9545454531908035
cd.[2440];cd.[5443];1.0
cd.[2781];cd.[9669];1.0
cd.[4508];cd.[9662];1.0
cd.[8114];cd.[8659];1.0
cd.[3539];cd.[4190];0.984375
cd.[4348];cd.[7170];0.9327122122049332
cd.[8668];cd.[8843];1.0
cd.[3356];cd.[6955];1.0
cd.[2807];cd.[7064];0.9807692319154739
cd.[3529];cd.[4114];0.9880952388048172
cd.[6316];cd.[7311];1.0
cd.[7363];cd.[8118];0.9772727191448212
cd.[9614];cd.[9678];1.0
cd.[2406];cd.[7291];0.9874999970197678
cd.[3159];cd.[9969];0.9947916716337204
cd.[4292];cd.[8795];1.0
cd.[3678];cd.[4266];1.0
cd.[4266];cd.[6690];1.0
cd.[3678];cd.[6690];1.0
cd.[2577];cd.[2581];0.9833333343267441
cd.[4481];cd.[6716];1.0
cd.[8919];cd.[9083];1.0
cd.[7859];cd.[9798];0.9807692319154739
cd.[7037];cd.[7237];0.9327215254306793
cd.[100170];cd.[100358];0.9500000029802322
cd.[4441];cd.[7515];1.0
cd.[100198];cd.[106489];1.0
cd.[10253];cd.[10368];1.0
cd.[11530];cd.[5099];1.0
cd.[8274];cd.[8805];1.0
cd.[9713];cd.[9738];1.0
cd.[5324];cd.[7847];1.0
cd.[10061];cd.[3517];0.9861111044883728
cd.[7134];cd.[9695];1.0
cd.[10301];cd.[6246];0.9642857164144516
cd.[4178];cd.[7199];1.0
cd.[2187];cd.[2418];1.0
cd.[5238];cd.[8297];0.9484265595674515
cd.[6663];cd.[6665];0.9772727191448212
cd.[5394];cd.[5418];0.984375
cd.[4895];cd.[9209];0.9642857164144516
cd.[10652];cd.[9640];1.0
cd.[2004];cd.[3710];1.0
cd.[4613];cd.[6116];0.97826087474823
cd.[5912];cd.[8949];1.0
cd.[8778];cd.[9060];1.0
cd.[2619];cd.[6174];0.96875
cd.[10107];cd.[7341];1.0
cd.[7918];cd.[9172];1.0
cd.[2571];cd.[9019];1.0
cd.[3931];cd.[5754];1.0
cd.[6568];cd.[9557];1.0
cd.[6737];cd.[7722];1.0
cd.[7404];cd.[7405];1.0
cd.[2957];cd.[3106];1.0
cd.[4384];cd.[5657];1.0
cd.[2427];cd.[8640];0.9555921107530594
cd.[9588];cd.[9811];0.96875
cd.[2252];cd.[4733];1.0
