First Object;Second Object;similaridade
cd.[4975];cd.[5889];0.9583333283662796
cd.[5577];cd.[8990];0.9427083283662796
cd.[100856];cd.[105076];0.8039096146821976
cd.[102477];cd.[105076];0.7471590787172318
cd.[105076];cd.[105098];0.7173295468091965
cd.[103398];cd.[105076];0.7342657297849655
cd.[104872];cd.[105076];0.8414502292871475
cd.[102120];cd.[105076];0.7594696879386902
cd.[105076];cd.[107734];0.8693181723356247
cd.[104500];cd.[105076];0.7888528108596802
cd.[105076];cd.[106443];0.7999267727136612
cd.[102514];cd.[105076];0.7907467633485794
cd.[105076];cd.[107056];0.7191558480262756
cd.[100856];cd.[102477];0.6836444735527039
cd.[100856];cd.[105098];0.6420454531908035
cd.[100856];cd.[103398];0.6648195534944534
cd.[100856];cd.[104872];0.8027597367763519
cd.[100856];cd.[102120];0.6793154627084732
cd.[100856];cd.[107734];0.8247429579496384
cd.[100856];cd.[104500];0.7271645069122314
cd.[100856];cd.[106443];0.7904849499464035
cd.[100856];cd.[102514];0.7339285761117935
cd.[100856];cd.[107056];0.6412337571382523
cd.[102477];cd.[105098];0.7254103571176529
cd.[102477];cd.[103398];0.7387626320123672
cd.[102477];cd.[104872];0.8142361044883728
cd.[102120];cd.[102477];0.6776515245437622
cd.[102477];cd.[107734];0.7400568127632141
cd.[102477];cd.[104500];0.7586444765329361
cd.[102477];cd.[106443];0.7348325848579407
cd.[102477];cd.[102514];0.7360119074583054
cd.[102477];cd.[107056];0.8193181902170181
cd.[103398];cd.[105098];0.8628472238779068
cd.[104872];cd.[105098];0.734375
cd.[102120];cd.[105098];0.7534722238779068
cd.[105098];cd.[107734];0.7173295468091965
cd.[104500];cd.[105098];0.7514204531908035
cd.[105098];cd.[106443];0.651212751865387
cd.[102514];cd.[105098];0.71875
cd.[105098];cd.[107056];0.8506944477558136
cd.[103398];cd.[104872];0.7490079402923584
cd.[102120];cd.[103398];0.7232905924320221
cd.[103398];cd.[107734];0.7569930106401443
cd.[103398];cd.[104500];0.7661525905132294
cd.[103398];cd.[106443];0.6480614840984344
cd.[102514];cd.[103398];0.7491071373224258
cd.[103398];cd.[107056];0.8640872985124588
cd.[102120];cd.[104872];0.6636904776096344
cd.[104872];cd.[107734];0.8384740203619003
cd.[104500];cd.[104872];0.7676406800746918
cd.[104872];cd.[106443];0.7865896224975586
cd.[102514];cd.[104872];0.7505952268838882
cd.[104872];cd.[107056];0.7420634776353836
cd.[102120];cd.[107734];0.7973484992980957
cd.[102120];cd.[104500];0.7067460119724274
cd.[102120];cd.[106443];0.7101795226335526
cd.[102120];cd.[102514];0.7206349074840546
cd.[102120];cd.[107056];0.7296627014875412
cd.[104500];cd.[107734];0.7433982789516449
cd.[106443];cd.[107734];0.7771995067596436
cd.[102514];cd.[107734];0.7740800827741623
cd.[107056];cd.[107734];0.7191558480262756
cd.[104500];cd.[106443];0.7240896075963974
cd.[102514];cd.[104500];0.8413690477609634
cd.[104500];cd.[107056];0.7519480437040329
cd.[102514];cd.[106443];0.7951680570840836
cd.[106443];cd.[107056];0.6469792425632477
cd.[102514];cd.[107056];0.7241071462631226
cd.[104099];cd.[109749];0.830827072262764
cd.[3475];cd.[8592];0.9565972238779068
cd.[8224];cd.[8754];1.0
cd.[4179];cd.[4732];0.922222226858139
cd.[4179];cd.[4911];0.922222226858139
cd.[4732];cd.[4911];1.0
cd.[6811];cd.[7429];0.9227053225040436
cd.[6339];cd.[7517];1.0
cd.[7653];cd.[7852];0.9059829115867615
cd.[7653];cd.[8029];0.9059829115867615
cd.[10383];cd.[7653];0.9059829115867615
cd.[10230];cd.[7653];0.8534188121557236
cd.[6858];cd.[7653];0.8306915313005447
cd.[7852];cd.[8029];1.0
cd.[10383];cd.[7852];1.0
cd.[10230];cd.[7852];0.9474359005689621
cd.[6858];cd.[7852];0.9247086197137833
cd.[10383];cd.[8029];1.0
cd.[10230];cd.[8029];0.9474359005689621
cd.[6858];cd.[8029];0.9247086197137833
cd.[10230];cd.[10383];0.9474359005689621
cd.[10383];cd.[6858];0.9247086197137833
cd.[10230];cd.[6858];0.938811182975769
cd.[10064];cd.[2819];1.0
cd.[6314];cd.[8464];0.9193363785743713
cd.[4291];cd.[4905];1.0
cd.[6722];cd.[7707];1.0
cd.[3722];cd.[8453];1.0
cd.[6719];cd.[8453];1.0
cd.[3722];cd.[6719];1.0
cd.[6562];cd.[8870];0.8875000029802322
cd.[7606];cd.[8538];1.0
cd.[7671];cd.[8759];1.0
cd.[5360];cd.[8430];0.9001748263835907
cd.[7920];cd.[8494];0.8851190507411957
