First Object;Second Object;similaridade
cd.[4975];cd.[5889];1.0
cd.[5577];cd.[8990];1.0
cd.[3475];cd.[8592];0.9638888984918594
cd.[4441];cd.[8151];0.9711538404226303
cd.[3670];cd.[4441];0.967391312122345
cd.[4441];cd.[7769];0.9111111164093018
cd.[4441];cd.[7515];1.0
cd.[3670];cd.[8151];0.9423076957464218
cd.[7769];cd.[8151];0.8822649568319321
cd.[7515];cd.[8151];0.9711538404226303
cd.[3670];cd.[7769];0.8785024285316467
cd.[3670];cd.[7515];0.967391312122345
cd.[7515];cd.[7769];0.9111111164093018
cd.[8224];cd.[8754];1.0
cd.[102562];cd.[104023];0.7739845961332321
cd.[4179];cd.[4732];0.9722222238779068
cd.[4179];cd.[4911];0.9722222238779068
cd.[4732];cd.[4911];1.0
cd.[101556];cd.[105525];0.6497946828603745
cd.[101556];cd.[106101];0.7084375023841858
cd.[105525];cd.[106101];0.7928125113248825
cd.[6339];cd.[7517];1.0
cd.[7653];cd.[7852];0.8819444477558136
cd.[7653];cd.[8029];0.8819444477558136
cd.[10383];cd.[7653];0.8819444477558136
cd.[10230];cd.[7653];0.8736111223697662
cd.[6858];cd.[7653];0.8486111164093018
cd.[7852];cd.[8029];1.0
cd.[10383];cd.[7852];1.0
cd.[10230];cd.[7852];0.9916666746139526
cd.[6858];cd.[7852];0.9666666686534882
cd.[10383];cd.[8029];1.0
cd.[10230];cd.[8029];0.9916666746139526
cd.[6858];cd.[8029];0.9666666686534882
cd.[10230];cd.[10383];0.9916666746139526
cd.[10383];cd.[6858];0.9666666686534882
cd.[10230];cd.[6858];0.9583333432674408
cd.[10102];cd.[8140];0.8983239233493805
cd.[10064];cd.[2819];1.0
cd.[6314];cd.[8464];0.9736842066049576
cd.[4291];cd.[4905];1.0
cd.[6722];cd.[7707];1.0
cd.[3722];cd.[8453];1.0
cd.[6719];cd.[8453];1.0
cd.[3722];cd.[6719];1.0
cd.[6413];cd.[7975];0.9666666686534882
cd.[7606];cd.[8538];1.0
cd.[7671];cd.[8759];1.0
cd.[101693];cd.[102395];0.7394047677516937
cd.[5360];cd.[8430];0.9145146608352661
cd.[7540];cd.[7542];0.9615384638309479
cd.[7542];cd.[8823];1.0
cd.[7540];cd.[8823];0.9615384638309479
cd.[101723];cd.[106128];0.78125
cd.[7920];cd.[8494];0.9888889044523239
cd.[6382];cd.[7920];1.0
cd.[6382];cd.[8494];0.9888889044523239
cd.[7794];cd.[8890];0.9924242496490479
cd.[8890];cd.[9063];0.9690476208925247
cd.[6802];cd.[8890];0.9690476208925247
cd.[7794];cd.[9063];0.961904764175415
cd.[6802];cd.[7794];0.961904764175415
cd.[6802];cd.[9063];1.0
cd.[102024];cd.[105032];0.7347972989082336
cd.[102024];cd.[102960];0.7832207232713699
cd.[102960];cd.[105032];0.7483108043670654
cd.[9348];cd.[9485];1.0
cd.[5477];cd.[9076];1.0
cd.[5477];cd.[8368];1.0
cd.[8368];cd.[9076];1.0
cd.[5664];cd.[8717];1.0
cd.[103878];cd.[109649];0.7043478339910507
cd.[101624];cd.[109637];0.7173309326171875
cd.[100893];cd.[109637];0.750217393040657
cd.[101107];cd.[109637];0.7064990997314453
cd.[100893];cd.[101624];0.7368181794881821
cd.[101107];cd.[101624];0.75108902156353
cd.[100893];cd.[101107];0.7526190429925919
cd.[104610];cd.[105320];0.7802579402923584
cd.[4419];cd.[7644];1.0
cd.[4520];cd.[6174];0.8269230723381042
cd.[2619];cd.[4520];0.8269230723381042
cd.[2619];cd.[6174];0.96875
cd.[102361];cd.[103634];0.9758064448833466
cd.[5731];cd.[8779];1.0
cd.[7123];cd.[9038];1.0
cd.[105617];cd.[107999];0.7529304027557373
cd.[7980];cd.[9790];0.9796131104230881
cd.[7604];cd.[9790];0.9362103193998337
cd.[7604];cd.[7980];0.9565972238779068
cd.[7161];cd.[8131];0.9791666567325592
