First Object;Second Object;similaridade
cd.[4975];cd.[5889];0.9879032261669637
cd.[5577];cd.[8990];0.9812499955296516
cd.[103676];cd.[108771];0.7598535977303982
cd.[101613];cd.[108771];0.8511029444634916
cd.[104424];cd.[108771];0.7345045022666454
cd.[101613];cd.[103676];0.710171565413475
cd.[103676];cd.[104424];0.8186011885603269
cd.[101613];cd.[104424];0.842830877751112
cd.[3475];cd.[8592];0.9100845555464426
cd.[4441];cd.[8151];0.9098557718098165
cd.[3670];cd.[4441];0.9416666701436043
cd.[4441];cd.[7769];0.9259259303410848
cd.[4441];cd.[7515];0.9812499955296516
cd.[3670];cd.[8151];0.8653846010565758
cd.[7769];cd.[8151];0.8357817021509012
cd.[7515];cd.[8151];0.8954326957464219
cd.[3670];cd.[7769];0.867592600484689
cd.[3670];cd.[7515];0.9604166634380817
cd.[7515];cd.[7769];0.9071759258707365
cd.[8224];cd.[8754];1.0
cd.[4124];cd.[7722];0.8958333333333334
cd.[4124];cd.[6737];0.8958333333333334
cd.[6737];cd.[7722];1.0
cd.[4179];cd.[4732];0.8461538441479207
cd.[4179];cd.[4911];0.8461538441479207
cd.[4732];cd.[4911];1.0
cd.[6811];cd.[7429];0.9336881140867869
cd.[6339];cd.[7517];1.0
cd.[7852];cd.[8029];1.0
cd.[10383];cd.[7852];0.9779411777853966
cd.[10230];cd.[7852];0.9709967399636904
cd.[6858];cd.[7852];0.9611928127706051
cd.[10383];cd.[8029];0.9779411777853966
cd.[10230];cd.[8029];0.9709967399636904
cd.[6858];cd.[8029];0.9611928127706051
cd.[10230];cd.[10383];0.948937917749087
cd.[10383];cd.[6858];0.9391339905560017
cd.[10230];cd.[6858];0.9542483749488989
cd.[10064];cd.[2819];1.0
cd.[6314];cd.[8464];0.9375000037252903
cd.[4291];cd.[4905];1.0
cd.[6722];cd.[7707];1.0
cd.[3722];cd.[8453];1.0
cd.[6719];cd.[8453];1.0
cd.[3722];cd.[6719];1.0
cd.[6562];cd.[8870];0.9267361089587212
cd.[7606];cd.[8538];1.0
cd.[7671];cd.[8759];1.0
cd.[5360];cd.[8430];0.9233134997387729
cd.[7540];cd.[7542];0.8519736900925636
cd.[7542];cd.[8823];0.9697580710053444
cd.[7540];cd.[8823];0.8667763099074365
cd.[101462];cd.[104009];0.7517231230934461
cd.[101462];cd.[109714];0.8040937669575214
cd.[101462];cd.[109608];0.8248471803963185
cd.[104009];cd.[109714];0.8023473471403122
cd.[104009];cd.[109608];0.7895491756498815
cd.[109608];cd.[109714];0.926209680736065
cd.[7920];cd.[8494];0.9907407537102699
cd.[6382];cd.[7920];1.0
cd.[6382];cd.[8494];0.9907407537102699
cd.[7794];cd.[8890];0.9821428582072258
cd.[8890];cd.[9063];0.9608781971037388
cd.[6802];cd.[8890];0.9608781971037388
cd.[7794];cd.[9063];0.9430210553109646
cd.[6802];cd.[7794];0.9430210553109646
cd.[6802];cd.[9063];1.0
