First Object;Second Object;similaridade
cd.[4975];cd.[5889];0.9791666641831399
cd.[5577];cd.[8990];0.9921875
cd.[3475];cd.[8592];0.9809027835726738
cd.[4441];cd.[8151];0.9514860138297082
cd.[3670];cd.[4441];0.9680706560611726
cd.[4441];cd.[7769];0.9444444477558136
cd.[4441];cd.[7515];1.0
cd.[3670];cd.[8151];0.9256993010640144
cd.[7769];cd.[8151];0.8959304615855218
cd.[7515];cd.[8151];0.9514860138297082
cd.[3670];cd.[7769];0.9125151038169862
cd.[3670];cd.[7515];0.9680706560611726
cd.[7515];cd.[7769];0.9444444477558136
cd.[8224];cd.[8754];1.0
cd.[4124];cd.[7722];0.921875
cd.[4124];cd.[6737];0.921875
cd.[6737];cd.[7722];1.0
cd.[4179];cd.[4732];0.9611111134290696
cd.[4179];cd.[4911];0.9611111134290696
cd.[4732];cd.[4911];1.0
cd.[6811];cd.[7429];0.9630887769162656
cd.[6339];cd.[7517];1.0
cd.[7653];cd.[7852];0.9331597238779068
cd.[7653];cd.[8029];0.9331597238779068
cd.[10383];cd.[7653];0.9331597238779068
cd.[10230];cd.[7653];0.9112847298383714
cd.[6858];cd.[7653];0.8956597261130811
cd.[7852];cd.[8029];1.0
cd.[10383];cd.[7852];1.0
cd.[10230];cd.[7852];0.9781250059604646
cd.[6858];cd.[7852];0.9625000022351743
cd.[10383];cd.[8029];1.0
cd.[10230];cd.[8029];0.9781250059604646
cd.[6858];cd.[8029];0.9625000022351743
cd.[10230];cd.[10383];0.9781250059604646
cd.[10383];cd.[6858];0.9625000022351743
cd.[10230];cd.[6858];0.9739583395421505
cd.[10064];cd.[2819];1.0
cd.[6314];cd.[8464];0.9596681892871858
cd.[4291];cd.[4905];1.0
cd.[6722];cd.[7707];1.0
cd.[3722];cd.[8453];1.0
cd.[6719];cd.[8453];1.0
cd.[3722];cd.[6719];1.0
cd.[6413];cd.[7975];0.9791666679084301
cd.[6562];cd.[8870];0.9661458283662796
cd.[7606];cd.[8538];1.0
cd.[7671];cd.[8759];1.0
cd.[5360];cd.[8430];0.9456975348293781
cd.[7540];cd.[7542];0.8819320201873779
cd.[7542];cd.[8823];0.9215116277337074
cd.[7540];cd.[8823];0.9372909665107727
cd.[7920];cd.[8494];0.9618055652827026
cd.[6382];cd.[7920];0.9687500000000001
cd.[6382];cd.[8494];0.9930555652827024
cd.[7794];cd.[8890];0.964962124824524
cd.[8890];cd.[9063];0.9824404772371055
cd.[6802];cd.[8890];0.9824404772371055
cd.[7794];cd.[9063];0.9476190488785508
cd.[6802];cd.[7794];0.9476190488785508
cd.[6802];cd.[9063];1.0
cd.[6798];cd.[9068];0.8159362534061074
cd.[9348];cd.[9485];1.0
cd.[5477];cd.[9076];0.991666667163372
cd.[5477];cd.[8368];0.9833333343267442
cd.[8368];cd.[9076];0.991666667163372
cd.[5664];cd.[8717];1.0
cd.[8370];cd.[9876];0.9395833369344473
