First Object;Second Object;similaridade
cd.[4975];cd.[5889];0.9866071364709311
cd.[5577];cd.[8990];0.9900793603488377
cd.[102987];cd.[105760];0.9113906813519341
cd.[102987];cd.[107779];0.9278950265475682
cd.[102987];cd.[105156];0.9560335384947913
cd.[100083];cd.[102987];0.9357263211693082
cd.[102987];cd.[107056];0.9072356202772686
cd.[105760];cd.[107779];0.8956207398857389
cd.[105156];cd.[105760];0.9319728038140705
cd.[100083];cd.[105760];0.7500000042574746
cd.[105760];cd.[107056];0.8745748294251305
cd.[105156];cd.[107779];0.9402635970285961
cd.[100083];cd.[107779];0.8882275181157249
cd.[107056];cd.[107779];0.8690476162093026
cd.[100083];cd.[105156];0.9100529083183834
cd.[105156];cd.[107056];0.903273805975914
cd.[100083];cd.[107056];0.9031557036297662
cd.[8224];cd.[8754];1.0
cd.[4124];cd.[7722];0.9234693816729954
cd.[4124];cd.[6737];0.9234693816729954
cd.[6737];cd.[7722];1.0
cd.[4732];cd.[4911];1.0
cd.[6811];cd.[7429];0.960317462682724
cd.[6339];cd.[7517];1.0
cd.[7653];cd.[7852];0.951098904013634
cd.[7653];cd.[8029];0.9725274741649628
cd.[10383];cd.[7653];0.9725274741649628
cd.[10230];cd.[7653];0.9159340709447862
cd.[6858];cd.[7653];0.9051115704434259
cd.[7852];cd.[8029];0.9785714298486712
cd.[10383];cd.[7852];0.9785714298486712
cd.[10230];cd.[7852];0.9648351669311526
cd.[6858];cd.[7852];0.9540126664297923
cd.[10383];cd.[8029];1.0
cd.[10230];cd.[8029];0.9434065967798234
cd.[6858];cd.[8029];0.9325840962784632
cd.[10230];cd.[10383];0.9434065967798234
cd.[10383];cd.[6858];0.9325840962784632
cd.[10230];cd.[6858];0.9617049736636025
cd.[10064];cd.[2819];1.0
cd.[6314];cd.[8464];0.931122443505696
cd.[6722];cd.[7707];1.0
cd.[3722];cd.[8453];0.962912080543382
cd.[6719];cd.[8453];0.9752747267484665
cd.[3722];cd.[6719];0.9866071364709311
cd.[101756];cd.[102013];0.9107142857142857
cd.[7606];cd.[8538];1.0
cd.[101821];cd.[105944];0.8554421748433794
