First Object;Second Object;similaridade
cd.[4975];cd.[5889];0.9710144892982816
cd.[5577];cd.[8990];0.9528985464054606
cd.[104099];cd.[109749];0.8032036682833796
cd.[3475];cd.[8592];0.9535024166107178
cd.[8224];cd.[8754];1.0
cd.[4124];cd.[7722];0.8136645814646846
cd.[4124];cd.[6737];0.8136645814646846
cd.[6737];cd.[7722];1.0
cd.[4179];cd.[4732];0.945893723031749
cd.[4179];cd.[4911];0.945893723031749
cd.[4732];cd.[4911];1.0
cd.[6811];cd.[7429];0.8882587785306185
cd.[6339];cd.[7517];1.0
cd.[100856];cd.[105076];0.8065240745959076
cd.[100856];cd.[102477];0.6821005033410115
cd.[100856];cd.[105098];0.6640316196109938
cd.[100856];cd.[103398];0.7223075835601144
cd.[100856];cd.[104872];0.8146527383638466
cd.[100856];cd.[107734];0.8427559759305872
cd.[100856];cd.[104310];0.8210122533466505
cd.[100856];cd.[105349];0.7227790200191996
cd.[100558];cd.[100856];0.8342965685802959
cd.[100717];cd.[100856];0.8278985541799794
cd.[100856];cd.[107056];0.6914172742677772
cd.[102477];cd.[105076];0.7183794379234315
cd.[105076];cd.[105098];0.7099802390388821
cd.[103398];cd.[105076];0.759197323218636
cd.[104872];cd.[105076];0.811547162740127
cd.[105076];cd.[107734];0.8438735111899999
cd.[104310];cd.[105076];0.7891799470652705
cd.[105076];cd.[105349];0.7450592725173287
cd.[100558];cd.[105076];0.7217036744822627
cd.[100717];cd.[105076];0.7244306336278501
cd.[105076];cd.[107056];0.7368718230206034
cd.[102477];cd.[105098];0.7187637272088424
cd.[102477];cd.[103398];0.740008786968563
cd.[102477];cd.[104872];0.8146135210990906
cd.[102477];cd.[107734];0.7297430789988975
cd.[102477];cd.[104310];0.6041722971460094
cd.[102477];cd.[105349];0.6662055357642795
cd.[100558];cd.[102477];0.7000822036162666
cd.[100717];cd.[102477];0.6107142852700276
cd.[102477];cd.[107056];0.8003952632779661
cd.[103398];cd.[105098];0.8502415470455005
cd.[104872];cd.[105098];0.7192028968230538
cd.[105098];cd.[107734];0.7099802390388821
cd.[104310];cd.[105098];0.5781460948612379
cd.[105098];cd.[105349];0.7019762785538384
cd.[100558];cd.[105098];0.6041133714758832
cd.[100717];cd.[105098];0.5836438821709675
cd.[105098];cd.[107056];0.8309178766996965
cd.[103398];cd.[104872];0.7700138092041016
cd.[103398];cd.[107734];0.7750076055526735
cd.[103398];cd.[104310];0.6315980890522832
cd.[103398];cd.[105349];0.7705859438232754
cd.[100558];cd.[103398];0.6727279398752296
cd.[100717];cd.[103398];0.64336677737858
cd.[103398];cd.[107056];0.8813837041025577
cd.[104872];cd.[107734];0.8281102880187656
cd.[104310];cd.[104872];0.7326491993406544
cd.[104872];cd.[105349];0.720703933549964
cd.[100558];cd.[104872];0.7472902121751205
cd.[100717];cd.[104872];0.7387163664983667
cd.[104872];cd.[107056];0.7688060636105745
cd.[104310];cd.[107734];0.7339380824047586
cd.[105349];cd.[107734];0.8142292188561482
cd.[100558];cd.[107734];0.7422193910764612
cd.[100717];cd.[107734];0.7490683223890222
cd.[107056];cd.[107734];0.7368718230206034
cd.[104310];cd.[105349];0.6611592484557111
cd.[100558];cd.[104310];0.7559342591658883
cd.[100717];cd.[104310];0.8457557040712108
cd.[104310];cd.[107056];0.6181474250295889
cd.[100558];cd.[105349];0.6610289967578391
cd.[100717];cd.[105349];0.6293995613637179
cd.[105349];cd.[107056];0.7218238374461299
cd.[100558];cd.[100717];0.7387041890102884
cd.[100558];cd.[107056];0.6923638841380244
cd.[100717];cd.[107056];0.6302277368047964
cd.[7653];cd.[7852];0.8944630311883014
cd.[7653];cd.[8029];0.8944630311883014
cd.[10383];cd.[7653];0.8944630311883014
cd.[10230];cd.[7653];0.8378298127132914
cd.[6858];cd.[7653];0.8180669597957446
cd.[7852];cd.[8029];1.0
cd.[10383];cd.[7852];1.0
cd.[10230];cd.[7852];0.94336678152499
cd.[6858];cd.[7852];0.9236039286074432
cd.[10383];cd.[8029];1.0
cd.[10230];cd.[8029];0.94336678152499
cd.[6858];cd.[8029];0.9236039286074432
cd.[10230];cd.[10383];0.94336678152499
cd.[10383];cd.[6858];0.9236039286074432
cd.[10230];cd.[6858];0.9133475189623625
cd.[10064];cd.[2819];1.0
cd.[6314];cd.[8464];0.9438861763995628
cd.[4291];cd.[4905];1.0
cd.[6722];cd.[7707];1.0
cd.[3722];cd.[8453];1.0
cd.[6719];cd.[8453];1.0
cd.[3722];cd.[6719];1.0
cd.[6413];cd.[7975];0.8457222917805547
cd.[6562];cd.[8870];0.8478260895480281
cd.[7606];cd.[8538];1.0
cd.[7671];cd.[8759];1.0
cd.[5360];cd.[8430];0.8783824910288272
cd.[7540];cd.[7542];0.8357315063476562
cd.[7542];cd.[8823];0.8907987864121147
cd.[7540];cd.[8823];0.9127526490584663
cd.[7920];cd.[8494];0.8964803348416869
cd.[6382];cd.[7920];0.9565217391304349
cd.[6382];cd.[8494];0.939958595711252
cd.[7794];cd.[8890];0.9512516519297726
cd.[8890];cd.[9063];0.95383023697397
cd.[6802];cd.[8890];0.95383023697397
cd.[7794];cd.[9063];0.9053830323011981
cd.[6802];cd.[7794];0.9053830323011981
cd.[6802];cd.[9063];1.0
cd.[9348];cd.[9485];0.9728260869565217
cd.[5477];cd.[9076];0.9884057977925177
cd.[5477];cd.[8368];0.9768115955850353
cd.[8368];cd.[9076];0.9884057977925177
cd.[5664];cd.[8717];0.8418972284897513
cd.[103424];cd.[104842];0.801550971425098
cd.[4419];cd.[7644];0.9891304347826088
cd.[102361];cd.[103634];0.9663394015768302
cd.[105518];cd.[109651];0.8205840717191282
cd.[5731];cd.[8779];1.0
cd.[7123];cd.[9038];0.9725400468577511
cd.[101564];cd.[108252];0.8680124153261599
cd.[7980];cd.[9790];0.9552734157313472
cd.[7604];cd.[9790];0.9022652584573497
cd.[7604];cd.[7980];0.9469918427260026
cd.[4441];cd.[8151];0.9325022801108983
cd.[3670];cd.[4441];0.9555765649546749
cd.[4441];cd.[7515];1.0
