"";"First.Object";"Second.Object";"similaridade"
"1";"cd.[7008]";"cd.[8831]";1
"2";"cd.[4586]";"cd.[7633]";0,962566837668419
"3";"cd.[8224]";"cd.[8754]";1
"4";"cd.[10240]";"cd.[7367]";0,983333334326744
"5";"cd.[5426]";"cd.[7869]";1
"6";"cd.[4732]";"cd.[4911]";1
"7";"cd.[6948]";"cd.[7365]";0,966190472245216
"8";"cd.[6339]";"cd.[7517]";1
"9";"cd.[7350]";"cd.[8473]";1
"10";"cd.[10938]";"cd.[11125]";1
"11";"cd.[10064]";"cd.[2819]";1
"12";"cd.[4297]";"cd.[4306]";1
"13";"cd.[4297]";"cd.[8636]";1
"14";"cd.[4306]";"cd.[8636]";1
"15";"cd.[6925]";"cd.[6926]";0,97916667163372
"16";"cd.[4291]";"cd.[4905]";1
"17";"cd.[6722]";"cd.[7707]";1
"18";"cd.[3722]";"cd.[8453]";1
"19";"cd.[6719]";"cd.[8453]";1
"20";"cd.[3722]";"cd.[6719]";1
"21";"cd.[7201]";"cd.[8536]";1
"22";"cd.[7606]";"cd.[8538]";1
"23";"cd.[7671]";"cd.[8759]";1
"24";"cd.[9333]";"cd.[9450]";0,984375
"25";"cd.[5477]";"cd.[9076]";0,983333334326744
"26";"cd.[5477]";"cd.[8368]";0,966666668653488
"27";"cd.[8368]";"cd.[9076]";0,983333334326744
"28";"cd.[6771]";"cd.[8507]";1
"29";"cd.[7346]";"cd.[7719]";1
"30";"cd.[4851]";"cd.[7708]";1
"31";"cd.[8890]";"cd.[9063]";0,964880958199501
"32";"cd.[6802]";"cd.[8890]";0,964880958199501
"33";"cd.[6802]";"cd.[9063]";1
"34";"cd.[4419]";"cd.[7644]";0,984375
"35";"cd.[102361]";"cd.[103634]";0,951612889766693
"36";"cd.[5731]";"cd.[8779]";1
"37";"cd.[6272]";"cd.[7460]";1
"38";"cd.[7980]";"cd.[9790]";0,957764357328415
"39";"cd.[7604]";"cd.[9790]";0,903623953461647
"40";"cd.[7604]";"cd.[7980]";0,945859596133232
"41";"cd.[8043]";"cd.[8234]";1
"42";"cd.[2813]";"cd.[3155]";0,965367957949638
"43";"cd.[6740]";"cd.[9193]";0,980769231915474
"44";"cd.[7061]";"cd.[7469]";1
"45";"cd.[7852]";"cd.[8029]";1
"46";"cd.[10383]";"cd.[7852]";1
"47";"cd.[10383]";"cd.[8029]";1
"48";"cd.[5921]";"cd.[8423]";1
"49";"cd.[7361]";"cd.[7750]";1
"50";"cd.[8265]";"cd.[9149]";1
"51";"cd.[1858]";"cd.[9637]";1
"52";"cd.[5988]";"cd.[8859]";1
