First Object;Second Object;similaridade
ACM.[309870];DBLP2.[journals/sigmod/Mackay99];0.8347578446070353
ACM.[309852];DBLP2.[journals/sigmod/Mackay99];1.0
ACM.[309849];DBLP2.[journals/sigmod/Mackay99];0.8333333333333334
ACM.[309883];DBLP2.[journals/sigmod/Mackay99];0.8333333333333334
ACM.[310061];DBLP2.[journals/sigmod/Mackay99];0.8444444338480631
ACM.[309897];DBLP2.[journals/sigmod/Mackay99];0.8377193013827006
ACM.[671667];DBLP2.[journals/sigmod/Mackay99];0.8333333333333334
ACM.[673462];DBLP2.[journals/sigmod/Mackay99];0.7516501744588217
ACM.[765855];DBLP2.[journals/sigmod/Mackay99];0.75
ACM.[765512];DBLP2.[journals/sigmod/Mackay99];0.8456790049870809
ACM.[223843];DBLP2.[journals/sigmod/Mackay99];0.7555555502573649
ACM.[223897];DBLP2.[journals/sigmod/Mackay99];0.7564102609952291
ACM.[236714];DBLP2.[journals/sigmod/Mackay99];0.75
ACM.[672826];DBLP2.[journals/sigmod/Mackay99];0.7564102609952291
ACM.[615239];DBLP2.[conf/vldb/PoosalaI96];0.7587719360987345
ACM.[671491];DBLP2.[conf/vldb/PoosalaI96];0.7694444457689921
ACM.[673321];DBLP2.[conf/vldb/PoosalaI96];1.0
ACM.[673166];DBLP2.[conf/vldb/PoosalaI96];0.780701756477356
ACM.[191877];DBLP2.[conf/vldb/PoosalaI96];0.7587719360987345
ACM.[244811];DBLP2.[conf/vldb/PoosalaI96];0.7587719360987345
ACM.[233341];DBLP2.[conf/vldb/PoosalaI96];0.8484848340352377
ACM.[344808];DBLP2.[conf/vldb/PalpanasSCP02];0.7571428616841634
ACM.[950494];DBLP2.[conf/vldb/PalpanasSCP02];0.7523809671401978
ACM.[673484];DBLP2.[conf/vldb/GardarinGT96];0.8529411753018697
ACM.[276317];DBLP2.[conf/vldb/GardarinGT96];0.7761437892913818
ACM.[276333];DBLP2.[conf/vldb/GardarinGT96];0.7630718946456909
ACM.[233360];DBLP2.[conf/vldb/GardarinGT96];0.8367816209793091
ACM.[673135];DBLP2.[conf/vldb/HoelS95];1.0
ACM.[304219];DBLP2.[conf/sigmod/Keim99];1.0
ACM.[310063];DBLP2.[conf/sigmod/Keim99];0.8401360511779785
ACM.[276345];DBLP2.[conf/sigmod/Keim99];0.7623456716537476
ACM.[304190];DBLP2.[conf/sigmod/Keim99];0.83518519004186
ACM.[304185];DBLP2.[conf/sigmod/Keim99];0.8379629651705424
ACM.[615200];DBLP2.[conf/sigmod/Keim99];0.75
ACM.[670998];DBLP2.[conf/sigmod/Keim99];0.7678571542104086
ACM.[673651];DBLP2.[conf/sigmod/Keim99];0.7532679637273153
ACM.[673655];DBLP2.[conf/sigmod/Keim99];0.7604166666666666
ACM.[673317];DBLP2.[conf/sigmod/Keim99];0.7590909004211426
ACM.[673477];DBLP2.[conf/sigmod/Keim99];0.75
ACM.[765513];DBLP2.[conf/sigmod/Keim99];0.8435374101003011
ACM.[673302];DBLP2.[conf/sigmod/Keim99];0.7564102609952291
ACM.[223850];DBLP2.[conf/sigmod/Keim99];0.75
ACM.[210200];DBLP2.[conf/sigmod/Keim99];0.761904756228129
ACM.[223787];DBLP2.[conf/sigmod/Keim99];0.75
ACM.[276315];DBLP2.[conf/sigmod/Keim99];0.7738095124562582
ACM.[276313];DBLP2.[conf/sigmod/Keim99];0.75
ACM.[253332];DBLP2.[conf/sigmod/Keim99];0.75
ACM.[253355];DBLP2.[conf/sigmod/Keim99];0.7613636255264282
ACM.[672827];DBLP2.[conf/sigmod/Keim99];0.75
ACM.[335372];DBLP2.[journals/sigmod/Ouksel02];0.7607526779174805
ACM.[375730];DBLP2.[journals/sigmod/Ouksel02];0.75
ACM.[375673];DBLP2.[journals/sigmod/Ouksel02];0.75
ACM.[604270];DBLP2.[journals/sigmod/Ouksel02];0.75
ACM.[604272];DBLP2.[journals/sigmod/Ouksel02];0.7538759708404541
ACM.[564738];DBLP2.[journals/sigmod/Ouksel02];0.8333333333333334
ACM.[564719];DBLP2.[journals/sigmod/Ouksel02];0.8356164296468099
ACM.[565131];DBLP2.[journals/sigmod/Ouksel02];0.9285714228947958
ACM.[671697];DBLP2.[journals/sigmod/Ouksel02];0.75
ACM.[672176];DBLP2.[journals/sigmod/Ouksel02];0.75
ACM.[290596];DBLP2.[journals/vldb/Seshadri98];0.8333333333333334
ACM.[381878];DBLP2.[journals/vldb/Seshadri98];0.75
ACM.[765531];DBLP2.[journals/vldb/Seshadri98];1.0
ACM.[223840];DBLP2.[journals/vldb/Seshadri98];0.75
ACM.[276332];DBLP2.[journals/vldb/Seshadri98];0.8373015920321146
ACM.[310062];DBLP2.[journals/sigmod/RamamrithamS97];0.7613636255264282
ACM.[290595];DBLP2.[journals/sigmod/RamamrithamS97];0.7644927501678467
ACM.[344820];DBLP2.[journals/sigmod/RamamrithamS97];0.75
ACM.[219754];DBLP2.[journals/sigmod/RamamrithamS97];0.7558479507764181
ACM.[262769];DBLP2.[journals/sigmod/RamamrithamS97];0.8476190567016602
ACM.[273249];DBLP2.[journals/sigmod/RamamrithamS97];0.7547618945439657
ACM.[234897];DBLP2.[journals/sigmod/RamamrithamS97];0.7543859680493673
ACM.[245903];DBLP2.[journals/sigmod/RamamrithamS97];0.7513550122578939
ACM.[191938];DBLP2.[journals/sigmod/DAndreaJ96];0.7561728358268738
ACM.[234902];DBLP2.[journals/sigmod/DAndreaJ96];0.8333333333333334
ACM.[672977];DBLP2.[conf/vldb/KemperK94];1.0
ACM.[872855];DBLP2.[conf/sigmod/AbadiCCCCEGHMRSSTXYZ03];0.8603988488515218
