Algoritmo;Start Time;End Time;Runtime in ms;Max. Memory in KB;Min. Memory in KB;Avg. Memory in KB;Number of Data Records;Number of Comparison Candidates;Number of created pairs;Number of actual comparisons;Reduction Ratio;Number of real Duplicates;Precision;Recall;F-Measure;True Positives;False Positives;True Negatives;False Negatives;Precision based on actual comparisons;Recall based on actual comparisons;F-Measure based on actual comparisons;Reduction Ratio based on actual comparisons;True Positives based on actual comparisons;False Positives based on actual comparisons;True Negatives based on actual comparisons;False Negatives based on actual comparisons
Alg1;Tue Feb 20 15:28:25 GMT-03:00 2018;Tue Feb 20 16:16:13 GMT-03:00 2018;2868200;76,689;53,722;65,485;9763;47653203;47653205;47653205;-4,20E-08;299;0,981132075;0,347826087;0,513580247;104;2;47652902;195;0,981132075;0,347826087;0,513580247;-4,20E-08;104;2;47652902;197
Alg2;Tue Feb 20 20:28:49 GMT-03:00 2018;Tue Feb 20 21:17:53 GMT-03:00 2018;2943726;76,704;53,273;65,17;9763;47653203;47653205;47653205;-4,20E-08;299;0,97810219;0,448160535;0,614678899;134;3;47652901;165;0,97810219;0,448160535;0,614678899;-4,20E-08;134;3;47652901;167
Alg3;Tue Feb 20 22:34:31 GMT-03:00 2018;Tue Feb 20 23:17:29 GMT-03:00 2018;2578780;76,707;53,705;65,005;9763;47653203;47653206;47653206;-6,30E-08;299;0,976190476;0,548494983;0,70235546;164;4;47652900;135;0,976190476;0,548494983;0,70235546;-6,30E-08;164;4;47652900;138
Alg4;Wed Feb 21 20:03:46 GMT-03:00 2018;Wed Feb 21 21:04:51 GMT-03:00 2018;3664796;76,712;53,75;64,814;9763;47653203;47653205;47653205;-4,20E-08;299;0,954248366;0,488294314;0,646017699;146;7;47652897;153;0,954248366;0,488294314;0,646017699;-4,20E-08;146;7;47652897;155
Alg5;Wed Feb 21 21:11:15 GMT-03:00 2018;Wed Feb 21 22:07:06 GMT-03:00 2018;3350184;76,723;53,752;65,18;9763;47653203;47653209;47653209;-1,26E-07;299;0,908629442;0,598662207;0,721774194;179;18;47652886;120;0,908629442;0,598662207;0,721774194;-1,26E-07;179;18;47652889;123
Alg6;Wed Feb 21 22:09:06 GMT-03:00 2018;Wed Feb 21 23:01:49 GMT-03:00 2018;3162976;76,715;53,712;65,358;9763;47653203;47653205;47653205;-4,20E-08;299;0,974683544;0,515050167;0,673960613;154;4;47652900;145;0,974683544;0,515050167;0,673960613;-4,20E-08;154;4;47652900;147
Alg7;Thu Feb 22 14:35:14 GMT-03:00 2018;Thu Feb 22 15:27:34 GMT-03:00 2018;3140068;76,752;30,403;65,142;9763;47653203;47653418;47653418;-4,51E-06;299;0,402515723;0,642140468;0,494845361;192;285;47652619;107;0,402515723;0,642140468;0,494845361;-4,51E-06;192;285;47652834;107
Alg8;Thu Feb 22 15:37:00 GMT-03:00 2018;Thu Feb 22 16:09:47 GMT-03:00 2018;1966859;76,756;53,79;65,022;9763;47653203;47653205;47653205;-4,20E-08;299;0,978571429;0,45819398;0,624145786;137;3;47652901;162;0,978571429;0,45819398;0,624145786;-4,20E-08;137;3;47652901;164
Alg9;Thu Feb 22 16:19:46 GMT-03:00 2018;Thu Feb 22 16:57:59 GMT-03:00 2018;2293024;76,767;53,34;65,033;9763;47653203;47653206;47653206;-6,30E-08;299;0,98255814;0,565217391;0,717622081;169;3;47652901;130;0,98255814;0,565217391;0,717622081;-6,30E-08;169;3;47652901;133
Alg10;Thu Feb 22 20:53:45 GMT-03:00 2018;Thu Feb 22 22:41:31 GMT-03:00 2018;6465622;76,81;53,787;65,227;9763;47653203;47653205;47653205;-4,20E-08;299;0,978494624;0,608695652;0,750515464;182;4;47652900;117;0,978494624;0,608695652;0,750515464;-4,20E-08;182;4;47652900;119
Alg11;Thu Feb 22 22:48:02 GMT-03:00 2018;Fri Feb 23 00:29:15 GMT-03:00 2018;6072798;76,853;53,782;65,611;9763;47653203;47653235;47653235;-6,71518E-07;299;0,610497238;0,739130435;0,668683812;221;141;47652763;78;0,610497238;0,739130435;0,668683812;-6,71518E-07;221;141;47652794;79
