First Object;Second Object;similaridade
restaurant.[32];restaurant.[42];0.7287678321202596
restaurant.[13];restaurant.[14];0.9612794717152914
restaurant.[35];restaurant.[36];0.9516176382700602
restaurant.[57];restaurant.[58];0.8853987058003744
restaurant.[746];restaurant.[747];0.8666666547457377
restaurant.[71];restaurant.[72];0.9612794717152914
restaurant.[93];restaurant.[94];0.9612794717152914
restaurant.[100];restaurant.[99];0.8785654703776041
restaurant.[240];restaurant.[244];0.7458207607269287
restaurant.[39];restaurant.[40];0.9612794717152914
restaurant.[103];restaurant.[104];0.9158249100049337
restaurant.[3];restaurant.[4];0.9118967652320862
restaurant.[147];restaurant.[148];0.9215969244639078
restaurant.[161];restaurant.[162];0.9612794717152914
restaurant.[213];restaurant.[214];0.9612794717152914
restaurant.[119];restaurant.[120];0.9612794717152914
restaurant.[25];restaurant.[26];0.9137673179308573
restaurant.[47];restaurant.[48];0.9612794717152914
restaurant.[61];restaurant.[62];0.9104485710461935
restaurant.[83];restaurant.[84];0.9612794717152914
restaurant.[29];restaurant.[30];0.9612794717152914
restaurant.[317];restaurant.[319];0.7224658727645874
restaurant.[312];restaurant.[319];0.7754035194714864
restaurant.[319];restaurant.[322];0.7828675309816996
restaurant.[319];restaurant.[321];0.782059113184611
restaurant.[312];restaurant.[317];0.7573505640029907
restaurant.[317];restaurant.[322];0.6882674694061279
restaurant.[317];restaurant.[321];0.7012392481168112
restaurant.[312];restaurant.[322];0.7239687840143839
restaurant.[312];restaurant.[321];0.6976834138234457
restaurant.[321];restaurant.[322];0.7612849871317545
restaurant.[115];restaurant.[116];0.9554315209388733
restaurant.[137];restaurant.[138];0.8984775543212891
restaurant.[394];restaurant.[735];0.6754375497500101
restaurant.[735];restaurant.[79];0.7321598132451376
restaurant.[399];restaurant.[735];0.6649927298227946
restaurant.[735];restaurant.[80];0.7661104202270508
restaurant.[398];restaurant.[735];0.7351139585177103
restaurant.[441];restaurant.[735];0.6682336131731669
restaurant.[394];restaurant.[79];0.7591473658879598
restaurant.[394];restaurant.[399];0.6240001022815704
restaurant.[394];restaurant.[80];0.7386446992556254
restaurant.[394];restaurant.[398];0.68494779864947
restaurant.[394];restaurant.[441];0.6736467580000559
restaurant.[399];restaurant.[79];0.7129768331845602
restaurant.[79];restaurant.[80];0.9612794717152914
restaurant.[398];restaurant.[79];0.5052909851074219
restaurant.[441];restaurant.[79];0.6945767203966776
restaurant.[399];restaurant.[80];0.6773134271303812
restaurant.[398];restaurant.[399];0.8163839181264242
restaurant.[399];restaurant.[441];0.7281704545021057
restaurant.[398];restaurant.[80];0.4682539701461792
restaurant.[441];restaurant.[80];0.6919312278429667
restaurant.[398];restaurant.[441];0.7888889114061991
restaurant.[151];restaurant.[152];0.901219387849172
restaurant.[173];restaurant.[174];0.9612794717152914
restaurant.[195];restaurant.[196];0.94276096423467
restaurant.[203];restaurant.[204];0.9194324215253195
restaurant.[15];restaurant.[16];0.8541556000709534
restaurant.[37];restaurant.[38];0.9713804721832275
restaurant.[51];restaurant.[52];0.9534446994463602
restaurant.[73];restaurant.[74];0.8926767508188883
restaurant.[777];restaurant.[778];0.8159737388292948
restaurant.[149];restaurant.[150];0.8876124024391174
restaurant.[19];restaurant.[20];0.9118967652320862
restaurant.[101];restaurant.[102];0.9612794717152914
restaurant.[316];restaurant.[54];0.6863787770271301
restaurant.[315];restaurant.[54];0.722398579120636
restaurant.[53];restaurant.[54];0.9612794717152914
restaurant.[315];restaurant.[316];0.7213955918947855
restaurant.[316];restaurant.[53];0.6940947969754537
restaurant.[315];restaurant.[53];0.7429012457529703
restaurant.[123];restaurant.[124];0.881279468536377
restaurant.[145];restaurant.[146];0.9217263261477152
restaurant.[167];restaurant.[168];0.9026375015576681
restaurant.[184];restaurant.[823];0.9419065515200297
restaurant.[182];restaurant.[184];0.49377524852752686
restaurant.[180];restaurant.[184];0.7479363481203715
restaurant.[181];restaurant.[184];0.6467198630174001
restaurant.[179];restaurant.[184];0.7007841865221659
restaurant.[182];restaurant.[823];0.7237576246261597
restaurant.[180];restaurant.[823];0.7746394276618958
restaurant.[181];restaurant.[823];0.6580316225687662
