First Object;Second Object;similaridade
restaurant.[13];restaurant.[14];0.9612794717152914
restaurant.[17];restaurant.[18];0.9612794717152914
restaurant.[35];restaurant.[36];0.932293971379598
restaurant.[53];restaurant.[54];0.9612794717152914
restaurant.[57];restaurant.[58];0.8853987058003744
restaurant.[213];restaurant.[214];0.9612794717152914
restaurant.[214];restaurant.[611];0.6277621984481812
restaurant.[213];restaurant.[611];0.6740584770838419
restaurant.[71];restaurant.[72];0.9612794717152914
restaurant.[75];restaurant.[76];0.9612794717152914
restaurant.[93];restaurant.[94];0.9612794717152914
restaurant.[97];restaurant.[98];0.8954358299573263
restaurant.[100];restaurant.[99];0.8785654703776041
restaurant.[169];restaurant.[170];0.9612794717152914
restaurant.[39];restaurant.[40];0.9612794717152914
restaurant.[107];restaurant.[108];0.9612794717152914
restaurant.[3];restaurant.[4];0.8131313323974609
restaurant.[7];restaurant.[8];0.9713804721832275
restaurant.[121];restaurant.[122];0.736940840880076
restaurant.[160];restaurant.[831];0.6956469615300497
restaurant.[154];restaurant.[160];0.7179961601893107
restaurant.[154];restaurant.[831];0.7097698648770651
restaurant.[147];restaurant.[148];0.8422318498293558
restaurant.[161];restaurant.[162];0.9612794717152914
restaurant.[165];restaurant.[166];0.8939445813496908
restaurant.[79];restaurant.[80];0.9612794717152914
restaurant.[187];restaurant.[188];0.9612794717152914
restaurant.[217];restaurant.[218];0.9412631193796793
restaurant.[119];restaurant.[120];0.9612794717152914
restaurant.[43];restaurant.[44];0.9612794717152914
restaurant.[47];restaurant.[48];0.9612794717152914
restaurant.[61];restaurant.[62];0.9104485710461935
restaurant.[65];restaurant.[66];0.9713804721832275
restaurant.[83];restaurant.[84];0.9612794717152914
restaurant.[10];restaurant.[9];0.9612794717152914
restaurant.[29];restaurant.[30];0.9612794717152914
restaurant.[111];restaurant.[112];0.9612794717152914
restaurant.[115];restaurant.[116];0.9554315209388733
restaurant.[151];restaurant.[152];0.901219387849172
restaurant.[155];restaurant.[156];0.895357072353363
restaurant.[173];restaurant.[174];0.9612794717152914
restaurant.[177];restaurant.[178];0.9024559458096822
restaurant.[191];restaurant.[192];0.9612794717152914
restaurant.[195];restaurant.[196];0.94276096423467
restaurant.[180];restaurant.[182];0.8952380816141764
restaurant.[181];restaurant.[182];0.745406448841095
restaurant.[179];restaurant.[182];0.7644540667533875
restaurant.[180];restaurant.[181];0.7644540667533875
restaurant.[179];restaurant.[180];0.8025493025779724
restaurant.[179];restaurant.[181];0.8952380816141764
restaurant.[141];restaurant.[556];0.683237095673879
restaurant.[203];restaurant.[204];0.9194324215253195
restaurant.[207];restaurant.[208];0.9713804721832275
restaurant.[109];restaurant.[110];0.9001683592796326
restaurant.[11];restaurant.[12];0.9612794717152914
restaurant.[33];restaurant.[34];0.9612794717152914
restaurant.[37];restaurant.[38];0.9713804721832275
restaurant.[51];restaurant.[52];0.9534446994463602
restaurant.[55];restaurant.[56];0.9713804721832275
restaurant.[73];restaurant.[74];0.8926767508188883
restaurant.[77];restaurant.[78];0.9713804721832275
restaurant.[189];restaurant.[190];0.9612794717152914
restaurant.[91];restaurant.[92];0.9534446994463602
restaurant.[95];restaurant.[96];0.8569143811861674
restaurant.[149];restaurant.[150];0.8876124024391174
restaurant.[19];restaurant.[20];0.8131313323974609
restaurant.[101];restaurant.[102];0.9612794717152914
restaurant.[105];restaurant.[106];0.9612794717152914
restaurant.[1];restaurant.[2];0.9564485549926758
restaurant.[123];restaurant.[124];0.881279468536377
restaurant.[145];restaurant.[146];0.8522818883260092
restaurant.[163];restaurant.[164];0.8886298934618632
restaurant.[167];restaurant.[168];0.9026375015576681
restaurant.[185];restaurant.[186];0.9378876686096191
restaurant.[59];restaurant.[60];0.8312581181526184
restaurant.[199];restaurant.[200];0.9421407183011373
restaurant.[219];restaurant.[220];0.9713804721832275
restaurant.[23];restaurant.[24];0.9612794717152914
restaurant.[27];restaurant.[28];0.8009153207143148
restaurant.[63];restaurant.[64];0.9713804721832275
restaurant.[184];restaurant.[823];0.8888888756434122
restaurant.[67];restaurant.[68];0.9612794717152914
restaurant.[81];restaurant.[82];0.899158239364624
restaurant.[85];restaurant.[86];0.8020202120145162
restaurant.[113];restaurant.[114];0.9024149576822916
restaurant.[117];restaurant.[118];0.851262629032135
restaurant.[131];restaurant.[132];0.9612794717152914
restaurant.[135];restaurant.[136];0.9665495554606119
restaurant.[89];restaurant.[90];0.9612794717152914
restaurant.[157];restaurant.[158];0.9423978328704834
restaurant.[171];restaurant.[172];0.8921586871147156
restaurant.[175];restaurant.[176];0.9192971388498942
restaurant.[49];restaurant.[50];0.9612794717152914
restaurant.[193];restaurant.[194];0.9612794717152914
restaurant.[197];restaurant.[198];0.9713804721832275
restaurant.[209];restaurant.[210];0.9713804721832275
restaurant.[433];restaurant.[434];0.6640313665072123
restaurant.[201];restaurant.[202];0.9612794717152914
restaurant.[205];restaurant.[206];0.9713804721832275
restaurant.[223];restaurant.[224];0.9713804721832275
