First Object;Second Object;similaridade
restaurant.[13];restaurant.[14];0.9833333373069764
restaurant.[14];restaurant.[235];0.5541038036346435
restaurant.[13];restaurant.[235];0.5694884061813354
restaurant.[17];restaurant.[18];0.9833333373069764
restaurant.[53];restaurant.[54];0.8064102530479431
restaurant.[57];restaurant.[58];0.7698248863220215
restaurant.[71];restaurant.[72];0.820695960521698
restaurant.[75];restaurant.[76];0.8448717951774597
restaurant.[93];restaurant.[94];0.820695960521698
restaurant.[97];restaurant.[98];0.7878917336463929
restaurant.[100];restaurant.[99];0.6498327612876892
restaurant.[39];restaurant.[40];0.853333342075348
restaurant.[103];restaurant.[104];0.720695960521698
restaurant.[107];restaurant.[108];0.9064102530479431
restaurant.[3];restaurant.[4];0.7444444537162781
restaurant.[7];restaurant.[8];0.8756410241127014
restaurant.[147];restaurant.[148];0.7846320390701294
restaurant.[161];restaurant.[162];0.8633333325386048
restaurant.[165];restaurant.[166];0.7824102520942688
restaurant.[79];restaurant.[80];0.7814102530479431
restaurant.[187];restaurant.[188];0.9833333373069764
restaurant.[312];restaurant.[319];0.7384242296218873
restaurant.[213];restaurant.[214];0.8833333373069763
restaurant.[217];restaurant.[218];0.8194677948951721
restaurant.[119];restaurant.[120];0.7564102530479431
restaurant.[25];restaurant.[26];0.7719373226165771
restaurant.[43];restaurant.[44];0.9833333373069764
restaurant.[47];restaurant.[48];0.820695960521698
restaurant.[65];restaurant.[66];0.8064102530479431
restaurant.[10];restaurant.[9];0.8560606122016907
restaurant.[159];restaurant.[160];0.7785714268684387
restaurant.[115];restaurant.[116];0.8958839416503906
restaurant.[137];restaurant.[138];0.8702898621559143
restaurant.[155];restaurant.[156];0.7387989163398743
restaurant.[69];restaurant.[70];0.725043785572052
restaurant.[173];restaurant.[174];0.9064102530479431
restaurant.[195];restaurant.[196];0.8589743614196778
restaurant.[180];restaurant.[182];0.9371428489685059
restaurant.[627];restaurant.[628];0.6803921461105347
restaurant.[203];restaurant.[204];0.818498170375824
restaurant.[109];restaurant.[110];0.7964102506637574
restaurant.[33];restaurant.[34];0.9833333373069764
restaurant.[51];restaurant.[52];0.80659339427948
restaurant.[181];restaurant.[506];0.6529670119285583
restaurant.[179];restaurant.[506];0.6511363506317138
restaurant.[179];restaurant.[181];0.855324673652649
restaurant.[73];restaurant.[74];0.6790292978286743
restaurant.[189];restaurant.[190];0.8833333373069763
restaurant.[91];restaurant.[92];0.8923076868057251
restaurant.[149];restaurant.[150];0.864102566242218
restaurant.[101];restaurant.[102];0.9064102530479431
restaurant.[123];restaurant.[124];0.7006959557533264
restaurant.[127];restaurant.[128];0.7318070769309998
restaurant.[145];restaurant.[146];0.8954710245132447
restaurant.[167];restaurant.[168];0.7777777791023255
restaurant.[185];restaurant.[186];0.8412280678749084
restaurant.[59];restaurant.[60];0.6497435927391052
restaurant.[219];restaurant.[220];0.8560606122016907
restaurant.[27];restaurant.[28];0.8656862735748291
restaurant.[63];restaurant.[64];0.8064102530479431
restaurant.[67];restaurant.[68];0.9064102530479431
restaurant.[81];restaurant.[82];0.6514102578163147
restaurant.[113];restaurant.[114];0.7734811186790467
restaurant.[117];restaurant.[118];0.6564102530479431
restaurant.[131];restaurant.[132];0.820695960521698
restaurant.[89];restaurant.[90];0.7814102530479431
restaurant.[157];restaurant.[158];0.8642857074737549
restaurant.[171];restaurant.[172];0.8684397220611573
restaurant.[175];restaurant.[176];0.8895833373069764
restaurant.[49];restaurant.[50];0.7897435903549195
restaurant.[193];restaurant.[194];0.8976190447807312
restaurant.[197];restaurant.[198];0.8976190447807312
restaurant.[209];restaurant.[210];0.8833333373069763
restaurant.[153];restaurant.[498];0.5659090876579285
restaurant.[201];restaurant.[202];0.8833333373069763
restaurant.[205];restaurant.[206];0.8560606122016907
restaurant.[223];restaurant.[224];0.9833333373069764
