First Object;Second Object;similaridade
cd.[4975];cd.[5889];0.9583333283662796
cd.[5577];cd.[8990];0.984375
cd.[3475];cd.[8592];0.9722222238779068
cd.[8224];cd.[8754];1.0
cd.[4124];cd.[7722];1.0
cd.[4124];cd.[6737];1.0
cd.[6737];cd.[7722];1.0
cd.[106803];cd.[107918];1.0
cd.[4732];cd.[4911];1.0
cd.[6811];cd.[7429];0.97826087474823
cd.[6339];cd.[7517];1.0
cd.[7653];cd.[7852];0.9444444477558136
cd.[7653];cd.[8029];0.9444444477558136
cd.[10383];cd.[7653];0.9444444477558136
cd.[10230];cd.[7653];0.9111111164093018
cd.[6858];cd.[7653];0.9111111164093018
cd.[7852];cd.[8029];1.0
cd.[10383];cd.[7852];1.0
cd.[10230];cd.[7852];0.9666666686534882
cd.[6858];cd.[7852];0.9666666686534882
cd.[10383];cd.[8029];1.0
cd.[10230];cd.[8029];0.9666666686534882
cd.[6858];cd.[8029];0.9666666686534882
cd.[10230];cd.[10383];0.9666666686534882
cd.[10383];cd.[6858];0.9666666686534882
cd.[10230];cd.[6858];1.0
cd.[10064];cd.[2819];1.0
cd.[4291];cd.[4905];1.0
cd.[6722];cd.[7707];1.0
cd.[3722];cd.[8453];1.0
cd.[6719];cd.[8453];1.0
cd.[3722];cd.[6719];1.0
cd.[6413];cd.[7975];1.0
cd.[6562];cd.[8870];1.0
cd.[7606];cd.[8538];1.0
cd.[7671];cd.[8759];1.0
cd.[5360];cd.[8430];0.9501748234033585
cd.[7920];cd.[8494];0.9375
cd.[6382];cd.[7920];0.9375
cd.[6382];cd.[8494];1.0
cd.[7794];cd.[8890];0.9299242496490479
cd.[8890];cd.[9063];0.9857142865657806
cd.[6802];cd.[8890];0.9857142865657806
cd.[7794];cd.[9063];0.916071429848671
cd.[6802];cd.[7794];0.916071429848671
cd.[6802];cd.[9063];1.0
cd.[9348];cd.[9485];1.0
cd.[5477];cd.[9076];0.9833333343267441
cd.[5477];cd.[8368];0.9666666686534882
cd.[8368];cd.[9076];0.9833333343267441
cd.[5664];cd.[8717];1.0
cd.[8370];cd.[9876];0.9833333343267441
cd.[4419];cd.[7644];0.984375
cd.[102361];cd.[103634];0.9516128897666931
cd.[11531];cd.[3134];1.0
cd.[3134];cd.[6210];1.0
cd.[11531];cd.[6210];1.0
cd.[5731];cd.[8779];1.0
cd.[7123];cd.[9038];0.960526317358017
cd.[7980];cd.[9790];0.9724702388048172
cd.[7604];cd.[9790];0.9330357164144516
cd.[7604];cd.[7980];0.9605654776096344
cd.[7161];cd.[8131];1.0
cd.[2813];cd.[3155];0.9880952388048172
cd.[7061];cd.[7469];1.0
cd.[5835];cd.[9278];1.0
cd.[5921];cd.[8423];1.0
cd.[5988];cd.[8859];1.0
cd.[6358];cd.[9694];0.9807692319154739
cd.[5780];cd.[5782];1.0
cd.[5010];cd.[5205];0.9396929889917374
cd.[7094];cd.[9189];1.0
cd.[2440];cd.[5443];1.0
cd.[2781];cd.[9669];1.0
cd.[4508];cd.[9662];1.0
cd.[105016];cd.[107434];1.0
cd.[8114];cd.[8659];1.0
cd.[4297];cd.[4306];1.0
cd.[4297];cd.[8636];1.0
cd.[4306];cd.[8636];1.0
cd.[2807];cd.[7064];1.0
cd.[6316];cd.[7311];1.0
cd.[7363];cd.[8118];0.9772727191448212
cd.[9614];cd.[9678];1.0
cd.[3159];cd.[9969];0.9947916716337204
cd.[3678];cd.[4266];1.0
cd.[4266];cd.[6690];1.0
cd.[3678];cd.[6690];1.0
cd.[8919];cd.[9083];1.0
cd.[7859];cd.[9798];0.9807692319154739
cd.[6354];cd.[8424];0.9833333343267441
cd.[7037];cd.[7237];0.9604993015527725
cd.[3670];cd.[4441];0.936141312122345
cd.[4441];cd.[7515];1.0
cd.[4441];cd.[7769];1.0
cd.[3670];cd.[7515];0.936141312122345
cd.[3670];cd.[7769];0.936141312122345
cd.[7515];cd.[7769];1.0
cd.[11530];cd.[5099];1.0
cd.[8274];cd.[8805];1.0
cd.[109053];cd.[109245];1.0
cd.[6944];cd.[7731];0.9321428537368774
cd.[7731];cd.[9868];0.9142857193946838
cd.[6944];cd.[9868];0.9821428507566452
cd.[10361];cd.[5426];1.0
cd.[10361];cd.[7869];1.0
cd.[5426];cd.[7869];1.0
cd.[5324];cd.[7847];1.0
cd.[10301];cd.[6246];0.9642857164144516
cd.[4178];cd.[7199];1.0
cd.[5238];cd.[8297];0.9711538404226303
cd.[6663];cd.[6665];0.9772727191448212
cd.[3395];cd.[5122];1.0
cd.[6756];cd.[8537];0.9821428507566452
cd.[4895];cd.[9209];0.9642857164144516
cd.[10652];cd.[9640];1.0
cd.[7192];cd.[7778];1.0
cd.[5912];cd.[8949];1.0
cd.[109532];cd.[109725];0.9472222179174423
cd.[7918];cd.[9172];1.0
cd.[10449];cd.[6162];1.0
cd.[2571];cd.[9019];1.0
cd.[3931];cd.[5754];1.0
cd.[6568];cd.[9557];1.0
cd.[4384];cd.[5657];1.0
cd.[2427];cd.[8640];0.9712171107530594
cd.[7622];cd.[8349];0.9380252063274384
cd.[2252];cd.[4733];1.0
cd.[7008];cd.[8831];1.0
cd.[4586];cd.[7633];0.9772727191448212
cd.[10240];cd.[7367];0.9833333343267441
cd.[3192];cd.[7923];0.9749999940395355
cd.[4395];cd.[8725];0.9555555582046509
cd.[6948];cd.[7365];0.9761904776096344
cd.[10312];cd.[9807];1.0
cd.[7350];cd.[8473];1.0
cd.[11423];cd.[11538];0.989999994635582
cd.[7288];cd.[7483];1.0
cd.[10938];cd.[11125];1.0
cd.[6925];cd.[6926];1.0
cd.[7201];cd.[8536];1.0
cd.[109296];cd.[109299];0.9250301122665405
cd.[6102];cd.[9115];1.0
cd.[9333];cd.[9450];1.0
cd.[6771];cd.[8507];1.0
cd.[8609];cd.[9130];1.0
cd.[4843];cd.[8794];0.9666666686534882
cd.[7346];cd.[7719];1.0
cd.[4851];cd.[7708];1.0
cd.[10119];cd.[7664];0.9449404776096344
cd.[10320];cd.[7581];0.9466666728258133
