"First Object";"Second Object";"Similarity Value";"First Object Data";"Second Object Data"
"cd.[1858]";"cd.[9637]";"1.0";"";""
"cd.[2004]";"cd.[3710]";"1.0";"";""
"cd.[103002]";"cd.[2004]";"0.9047619104385376";"";""
"cd.[2187]";"cd.[2418]";"1.0";"";""
"cd.[2252]";"cd.[4733]";"1.0";"";""
"cd.[2406]";"cd.[7291]";"1.0";"";""
"cd.[2427]";"cd.[8640]";"0.9375";"";""
"cd.[10314]";"cd.[2427]";"0.9375";"";""
"cd.[2440]";"cd.[5443]";"1.0";"";""
"cd.[2571]";"cd.[9019]";"1.0";"";""
"cd.[2577]";"cd.[2581]";"1.0";"";""
"cd.[2619]";"cd.[4520]";"1.0";"";""
"cd.[2619]";"cd.[6174]";"1.0";"";""
"cd.[2781]";"cd.[9669]";"1.0";"";""
"cd.[2807]";"cd.[7064]";"0.9230769276618958";"";""
"cd.[2813]";"cd.[3155]";"0.9090908765792847";"";""
"cd.[10064]";"cd.[2819]";"1.0";"";""
"cd.[2823]";"cd.[4684]";"0.9411764740943909";"";""
"cd.[2957]";"cd.[3106]";"1.0";"";""
"cd.[3086]";"cd.[3215]";"1.0";"";""
"cd.[3096]";"cd.[3123]";"0.9523809552192688";"";""
"cd.[3159]";"cd.[9969]";"1.0";"";""
