"First Object";"Second Object";"Similarity Value";"First Object Data";"Second Object Data"
"cd.[4975]";"cd.[5889]";"0.9166666567325592";"";""
"cd.[5577]";"cd.[8990]";"0.96875";"";""
"cd.[100856]";"cd.[103424]";"-1.0";"";""
"cd.[101021]";"cd.[103424]";"-1.0";"";""
"cd.[100521]";"cd.[103424]";"0.7083333134651184";"";""
"cd.[103424]";"cd.[104099]";"-1.0";"";""
"cd.[103424]";"cd.[104310]";"-1.0";"";""
"cd.[100558]";"cd.[103424]";"-1.0";"";""
"cd.[103424]";"cd.[104533]";"-1.0";"";""
"cd.[103424]";"cd.[104117]";"-1.0";"";""
"cd.[103424]";"cd.[108876]";"-1.0";"";""
"cd.[100717]";"cd.[103424]";"-1.0";"";""
"cd.[103424]";"cd.[106511]";"-1.0";"";""
"cd.[103424]";"cd.[104842]";"0.8114034831523895";"";""
"cd.[100054]";"cd.[103424]";"-1.0";"";""
"cd.[103424]";"cd.[109426]";"-1.0";"";""
"cd.[103424]";"cd.[105066]";"-1.0";"";""
"cd.[100187]";"cd.[103424]";"-1.0";"";""
"cd.[103424]";"cd.[109749]";"-1.0";"";""
"cd.[103424]";"cd.[3710]";"-1.0";"";""
"cd.[103056]";"cd.[103424]";"-1.0";"";""
"cd.[101555]";"cd.[103424]";"0.7797619104385376";"";""
"cd.[103002]";"cd.[103424]";"-1.0";"";""
"cd.[103424]";"cd.[107620]";"-1.0";"";""
"cd.[100856]";"cd.[101021]";"-1.0";"";""
"cd.[100521]";"cd.[100856]";"-1.0";"";""
"cd.[100856]";"cd.[104099]";"0.7045454382896423";"";""
"cd.[100856]";"cd.[104310]";"-1.0";"";""
"cd.[100558]";"cd.[100856]";"0.7012986838817596";"";""
"cd.[100856]";"cd.[104533]";"-1.0";"";""
"cd.[100856]";"cd.[104117]";"-1.0";"";""
"cd.[100856]";"cd.[108876]";"-1.0";"";""
"cd.[100717]";"cd.[100856]";"-1.0";"";""
"cd.[100856]";"cd.[106511]";"-1.0";"";""
"cd.[100856]";"cd.[104842]";"-1.0";"";""
"cd.[100054]";"cd.[100856]";"-1.0";"";""
"cd.[100856]";"cd.[109426]";"-1.0";"";""
"cd.[100856]";"cd.[105066]";"-1.0";"";""
"cd.[100187]";"cd.[100856]";"-1.0";"";""
"cd.[100856]";"cd.[109749]";"-1.0";"";""
"cd.[100856]";"cd.[3710]";"-1.0";"";""
"cd.[100856]";"cd.[103056]";"0.8511904776096344";"";""
"cd.[100856]";"cd.[101555]";"-1.0";"";""
"cd.[100856]";"cd.[103002]";"-1.0";"";""
"cd.[100856]";"cd.[107620]";"-1.0";"";""
"cd.[100521]";"cd.[101021]";"-1.0";"";""
"cd.[101021]";"cd.[104099]";"-1.0";"";""
"cd.[101021]";"cd.[104310]";"0.7288359701633453";"";""
"cd.[100558]";"cd.[101021]";"-1.0";"";""
"cd.[101021]";"cd.[104533]";"-1.0";"";""
"cd.[101021]";"cd.[104117]";"-1.0";"";""
"cd.[101021]";"cd.[108876]";"-1.0";"";""
"cd.[100717]";"cd.[101021]";"0.7000000178813934";"";""
"cd.[101021]";"cd.[106511]";"-1.0";"";""
"cd.[101021]";"cd.[104842]";"-1.0";"";""
"cd.[100054]";"cd.[101021]";"-1.0";"";""
"cd.[101021]";"cd.[109426]";"-1.0";"";""
"cd.[101021]";"cd.[105066]";"-1.0";"";""
"cd.[100187]";"cd.[101021]";"-1.0";"";""
"cd.[101021]";"cd.[109749]";"-1.0";"";""
"cd.[101021]";"cd.[3710]";"-1.0";"";""
"cd.[101021]";"cd.[103056]";"-1.0";"";""
"cd.[101021]";"cd.[101555]";"-1.0";"";""
"cd.[101021]";"cd.[103002]";"-1.0";"";""
"cd.[101021]";"cd.[107620]";"-1.0";"";""
"cd.[100521]";"cd.[104099]";"-1.0";"";""
"cd.[100521]";"cd.[104310]";"-1.0";"";""
"cd.[100521]";"cd.[100558]";"-1.0";"";""
"cd.[100521]";"cd.[104533]";"-1.0";"";""
"cd.[100521]";"cd.[104117]";"-1.0";"";""
"cd.[100521]";"cd.[108876]";"-1.0";"";""
"cd.[100521]";"cd.[100717]";"-1.0";"";""
